tps,epcount,best_ext_ret,n_updates,retstd,idn_loss,rew_mean_ext,advstd,ups,rew_std_int,vfn_loss,tcount,nsn_loss,vpredstd,advmean,rew_mean_int,metricmean,total_secs,eprew,rew_std_ext,idn_pg_loss,metricstd,metric,eprew_recent,eplen,retmean,vpredmean
9470.794220897207,9.0,0.0,1,0.12302616,-0.2653448780377706,0.0,0.12042788,18.497644962689858,0.18123035,0.03993397764861584,113.0,4.0680216153462725,0.028524892,0.26382154,4.075801,4.075801,0.054060935974121094,0.0,0.0,-0.2639664262533188,0.18123035,0.0,0.0,12.555555555555555,0.21858472,-0.04523684
10862.884556629066,18.0,0.0,2,0.122256435,-0.26093733807404834,0.0,0.12295221,21.216571399666144,0.18119682,0.039190803964932755,319.0,4.045805295308432,0.02549239,0.25950733,4.0517297,4.0517297,0.10119390487670898,0.0,0.0,-0.25955882792671525,0.18119682,0.0,0.0,17.72222222222222,0.22507082,-0.034436487
10594.707529576603,37.0,0.0,3,0.119976975,-0.2648102467258771,0.0,0.121731296,20.692788143704302,0.19216734,0.03994609074046213,935.0,4.060921669006348,0.018528147,0.26343375,4.0655394,4.0655394,0.1495199203491211,0.0,0.0,-0.26343174527088803,0.19216734,0.0,0.0,25.27027027027027,0.2442249,-0.019208854
10720.908041615912,53.0,0.0,4,0.118587986,-0.2630706901351611,0.0,0.11992791,20.93927351878108,0.18612239,0.03940009418874979,1406.0,4.055892149607341,0.01172223,0.26167625,4.06042,4.06042,0.19727706909179688,0.0,0.0,-0.2616924047470093,0.18612239,0.0,0.0,26.528301886792452,0.26169354,1.7252227e-05
11161.557422037422,64.0,0.0,5,0.118065976,-0.2599581678708394,0.0,0.1184461,21.79991683991684,0.19185083,0.038441202913721405,1725.0,4.0456924835840855,0.010937528,0.2585287,4.0504284,4.0504284,0.2431488037109375,0.0,0.0,-0.2585797632733981,0.19185083,0.0,0.0,26.953125,0.27410212,0.01557342
11005.738135749574,79.0,0.0,6,0.11613239,-0.25768059243758523,0.0,0.116748616,21.495582296385887,0.18073644,0.03761348438759645,2344.0,4.011098543802897,0.012093604,0.25626707,4.016095,4.016095,0.2896699905395508,0.0,0.0,-0.25630195687214535,0.18073644,0.0,0.0,29.670886075949365,0.28974664,0.033479538
10937.575878577976,95.0,0.0,7,0.11568125,-0.2575431714455287,0.0,0.118478484,21.36245288784761,0.18292932,0.03762942552566528,2880.0,4.004705488681793,0.014441917,0.2560914,4.0101843,4.0101843,0.33648109436035156,0.0,0.0,-0.256164347132047,0.18292932,0.0,0.0,30.31578947368421,0.3070307,0.050939314
11120.577746246938,112.0,0.0,8,0.115659796,-0.25067579994599026,0.0,0.11800795,21.71987841063855,0.1781003,0.035543373165031276,3389.0,3.978372693061828,0.017767731,0.2492814,3.9843664,3.9843664,0.3825218677520752,0.0,0.0,-0.2492965211470922,0.1781003,0.0,0.0,32.18,0.32352072,0.07423933
11070.01689769113,133.0,0.0,9,0.115183085,-0.25136429568131763,0.0,0.11720885,21.62112675330299,0.19442281,0.035162889709075294,4043.0,3.9895682930946346,0.021792095,0.24994135,3.9958458,3.9958458,0.4287729263305664,0.0,0.0,-0.24998459095756215,0.19442281,0.0,0.0,32.63,0.34850723,0.09856589
10978.169497070761,149.0,0.0,10,0.11157987,-0.25596644481023156,0.0,0.113964595,21.44173729896633,0.19192082,0.0354261143753926,4416.0,3.9635386665662127,0.023766857,0.2545867,3.970498,3.970498,0.47541093826293945,0.0,0.0,-0.2545864147444566,0.19192082,0.0,0.0,31.7,0.37560907,0.1210224
11027.100161235661,169.0,0.0,11,0.11276634,-0.23898652320106825,0.0,0.11163033,21.5373050024134,0.18457845,0.030664545328666765,4967.0,3.9329410592714953,0.027211033,0.23759052,3.9412642,3.9412642,0.5218420028686523,0.0,0.0,-0.23760628451903665,0.18457845,0.0,0.0,30.2,0.39692828,0.15933776
11067.677743877299,191.0,0.0,12,0.11098308,-0.24500709772109983,0.0,0.11525044,21.61655809351035,0.20229407,0.03204381978139281,5617.0,3.940687000751496,0.028226105,0.2436035,3.9497354,3.9497354,0.5681028366088867,0.0,0.0,-0.24362688139080999,0.20229407,0.0,0.0,28.44,0.43217066,0.18856718
10914.506101496785,203.0,0.0,13,0.107991435,-0.24096269408861798,0.0,0.11371865,21.31739472948591,0.20774806,0.030398647766560316,5883.0,3.8925239642461142,0.03152549,0.23955537,3.90268,3.90268,0.6150128841400146,0.0,0.0,-0.23958251749475795,0.20774806,0.0,0.0,27.57,0.4756608,0.23610544
11075.783423590696,225.0,0.0,14,0.10949878,-0.23315256585677466,0.0,0.11464412,21.632389499200578,0.21118322,0.028298184896508854,6665.0,3.8757090568542476,0.037635826,0.23176348,3.8867779,3.8867779,0.6612398624420166,0.0,0.0,-0.2317725072304408,0.21118322,0.0,0.0,28.7,0.51509506,0.28333157
7415.984280410947,243.0,0.0,15,0.107169084,-0.22888905803362528,0.0,0.11113672,14.48434429767763,0.24718104,0.02655526374777158,7086.0,3.8740232785542803,0.040397476,0.22749111,3.886711,3.886711,0.7302799224853516,0.0,0.0,-0.22750905404488245,0.24718104,0.0,0.0,27.75,0.561618,0.3341269
11023.30772587045,263.0,0.0,16,0.10610682,-0.22817991673946378,0.0,0.12017641,21.529897902090724,0.24571836,0.026993746248384316,7554.0,3.869588971138001,0.048472993,0.22678746,3.88339,3.88339,0.7767269611358643,0.0,0.0,-0.22679994131127992,0.24571836,0.0,0.0,27.37,0.619642,0.39285454
11019.065555601166,278.0,0.0,17,0.102323644,-0.21934008349974948,0.0,0.12033624,21.521612413283528,0.26063728,0.024831415774921577,8036.0,3.8015672763188677,0.050105654,0.21793999,3.8186114,3.8186114,0.8231918811798096,0.0,0.0,-0.21796007578571638,0.26063728,0.0,0.0,27.33,0.68026483,0.46232486
11138.631755845558,293.0,0.0,18,0.097671606,-0.2134575980405013,0.0,0.111756094,21.755140148135855,0.23675174,0.02217042756577333,8396.0,3.697609901428223,0.051239863,0.21205513,3.7210648,3.7210648,0.8691580295562744,0.0,0.0,-0.21207757294178012,0.23675174,0.0,0.0,27.19,0.74395806,0.5319029
11088.536756391124,308.0,0.0,19,0.09827702,-0.2081065997481346,0.0,0.11099472,21.657298352326414,0.26957685,0.02061619252587358,8780.0,3.6790542006492624,0.057433654,0.20671484,3.7031238,3.7031238,0.9153318405151367,0.0,0.0,-0.20672657961646712,0.26957685,0.0,0.0,27.25,0.8151041,0.60838926
10957.946921801251,328.0,1.0,20,0.15058362,-0.2098149408896764,0.001953125,0.17102793,21.40224008164307,0.31987742,0.02896964596584439,9585.0,3.654348870118459,0.062228635,0.2083709,3.6774857,3.6774857,0.9620559215545654,0.01,0.044150993,-0.20843495801091194,0.31987742,0.0,0.05,28.73,0.9003632,0.69199234
11017.652224325724,348.0,1.0,21,0.09637139,-0.18027210856477419,0.0,0.114271335,21.51885200063618,0.35873196,0.016111272464816768,10097.0,3.617535173892975,0.063452385,0.17888898,3.6408315,3.6408315,1.0085268020629883,0.01,0.0,-0.1788921455542246,0.35873196,0.0,0.0,28.83,0.969044,0.79015505
11129.453230027726,370.0,1.0,22,0.08462713,-0.17602760841449103,0.0,0.105079934,21.737213339897902,0.36849377,0.014441821025684478,10614.0,3.5355970064798985,0.06418843,0.17463437,3.5621915,3.5621915,1.0545308589935303,0.01,0.0,-0.17464763422807056,0.36849377,0.0,0.0,28.7,1.0575997,0.8829653
11102.409967687734,380.0,1.0,23,0.08429341,-0.1674191392958164,0.0,0.10817788,21.684394468140106,0.43583554,0.013480801600962877,10836.0,3.482162872950236,0.0780236,0.16603462,3.5116935,3.5116935,1.10064697265625,0.01,0.0,-0.1660393017033736,0.43583554,0.0,0.0,27.63,1.1519468,0.9859122
11082.013448170874,402.0,1.0,24,0.0819363,-0.1619451989730199,0.0,0.09866279,21.644557515958738,0.45367026,0.011639351452079911,11480.0,3.442692816257477,0.06787855,0.16054137,3.4709013,3.4709013,1.1468479633331299,0.01,0.0,-0.1605652819077174,0.45367026,0.0,0.0,28.42,1.2463932,1.0858518
10878.843201621074,420.0,1.0,25,0.07248486,-0.15165843442082405,0.0,0.10512882,21.24774062816616,0.45909086,0.011138614422331255,12046.0,3.3361025849978128,0.07237966,0.1502696,3.364986,3.364986,1.1939117908477783,0.0,0.0,-0.15027853225668272,0.45909086,0.0,0.0,28.05,1.3393626,1.1890931
11080.526750839754,435.0,1.0,26,0.06961769,-0.12613451418777305,0.0,0.09889889,21.641653810233894,0.41421962,0.00824381581818064,12363.0,3.1318678657213845,0.06974067,0.12474896,3.1681046,3.1681046,1.2401189804077148,0.0,0.0,-0.12475466107328732,0.41421962,0.0,0.0,26.11,1.431201,1.306452
10989.967697692984,452.0,1.0,27,0.06884844,-0.12734053718547028,0.0,0.10462211,21.46478065955661,0.58756286,0.00908095711686959,12944.0,3.2208274006843567,0.079707354,0.12594417,3.2519615,3.2519615,1.2867069244384766,0.0,0.0,-0.1259605462352435,0.58756286,0.0,0.0,26.8,1.5129673,1.3870231
11043.715694795143,475.0,1.0,28,0.07084495,-0.10065748915076256,0.0,0.096484296,21.569757216396763,0.5536344,0.006510274931012343,13599.0,3.120968719323476,0.06490904,0.09927225,3.1483731,3.1483731,1.3330681324005127,0.0,0.0,-0.09927738333741822,0.5536344,0.0,0.0,29.16,1.5909292,1.4916568
10986.42557567262,498.0,1.0,29,0.06779078,-0.10747908055782318,0.0,0.09623396,21.457862452485585,0.6776479,0.006951421227616569,14018.0,3.1420982877413435,0.06738137,0.10608861,3.1639953,3.1639953,1.3796710968017578,0.0,0.0,-0.10609900703032811,0.6776479,0.0,0.0,26.97,1.6875796,1.5814911
11116.433023951631,521.0,1.0,30,0.06367314,-0.099163173387448,0.0,0.10249434,21.71178324990553,0.7340628,0.007043151068501173,14687.0,3.1169881224632268,0.077389956,0.09777166,3.136774,3.136774,1.4257290363311768,0.0,0.0,-0.09778330537180106,0.7340628,0.0,0.0,26.36,1.7618761,1.6641045
10994.46892342979,534.0,1.0,31,0.053605296,-0.08470319894452889,0.0,0.08688469,21.473572116073807,0.6944147,0.004947304298790793,14977.0,2.9748814900716147,0.06257912,0.08331879,2.9945126,2.9945126,1.4722979068756104,0.0,0.0,-0.08332331789036593,0.6944147,0.0,0.0,26.46,1.8481681,1.7648494
