advstd_NSN,best_ext_ret,ext_reward,total_secs,tps,rew_mean_IDN,retstd_NSN,vpredmean_NSN,retstd_IDN,loss,retmean_NSN,advstd_IDN,vpredstd_NSN,vfn_loss,eplen,ups,metric,idn_pg_loss,retmean_IDN,n_updates,eprew_recent,ext_reward_std,rew_mean_NSN,vpredstd_IDN,tcount,eprew,advmean_NSN,advmean_IDN,vpredmean_IDN,epcount
0.0001505554,1.0,0.125,74.51890420913696,9560.092810399323,-0.031436916,0.27434558,16.628647,0.012277855,-1.0354216935108223e-05,16.628448,0.0023683792,0.2744207,1.1957079815753483e-05,5.68,18.672056270311177,0.031436916440725333,8.19563865661621e-08,-3.1904802,1402,0.6666666666666666,0.33071890473365784,0.125,0.012381736,745930.0,0.68,-0.00019721292,0.006438002,-3.196918,120487.0
0.00015175606,1.0,0.125,74.57346415519714,9384.173500377992,-0.031346664,0.27434638,16.628757,0.012189541,-9.421900282783703e-06,16.628555,0.002363647,0.27442032,1.1908448660354528e-05,5.68,18.328463867925766,0.03134666383266449,4.5945247014363616e-08,-3.182353,1403,0.6666666666666666,0.33071890473365784,0.125,0.012286669,746474.0,0.68,-0.00020433823,0.0064206584,-3.188774,120583.0
0.00015648927,1.0,0.125,74.62656807899475,9641.47210574048,-0.031256855,0.2743463,16.628868,0.012102278,-1.0236887571106006e-05,16.628653,0.002360496,0.27442273,1.1876758473287433e-05,5.68,18.831000206524376,0.03125685453414917,-2.1109978357950843e-07,-3.1742837,1404,0.6666666666666666,0.33071890473365784,0.125,0.012192767,747018.0,0.68,-0.00021501763,0.0064054346,-3.1806893,120679.0
0.00015645816,1.0,0.125,74.67958521842957,9657.254341862661,-0.031167846,0.2743469,16.628971,0.012015838,-1.0850932994799223e-05,16.628748,0.0023559185,0.2744212,1.18335474705115e-05,5.68,18.86182488645051,0.031167846173048023,2.7442971865336097e-07,-3.1662688,1405,0.6666666666666666,0.33071890473365784,0.125,0.012100135,747562.0,0.68,-0.00022197489,0.0063880156,-3.1726565,120775.0
0.00016040423,1.0,0.125,74.73225927352905,9720.155378828684,-0.031079259,0.27434692,16.629066,0.011930207,-9.448328682992722e-06,16.62884,0.0023523078,0.27442136,1.1788891754349606e-05,5.68,18.984678474274773,0.031079258769750595,7.450580596923828e-08,-3.15831,1406,0.6666666666666666,0.33071890473365784,0.125,0.012007569,748106.0,0.68,-0.00022751512,0.006372392,-3.1646824,120871.0
0.00016002182,1.0,0.125,74.78508710861206,9691.860345885836,-0.030991172,0.27434716,16.629158,0.011845831,-1.094196098468577e-05,16.628922,0.002349514,0.27442107,1.1752897213076114e-05,5.68,18.929414738058274,0.030991172417998317,1.924733320871989e-08,-3.150405,1407,0.6666666666666666,0.33071890473365784,0.125,0.011916379,748650.0,0.68,-0.00023293207,0.0063578244,-3.1567626,120967.0
0.00016310302,1.0,0.125,74.83787798881531,9698.644880115256,-0.030903772,0.27434734,16.629236,0.011761784,-1.0117118032818931e-05,16.628992,0.0023457382,0.27442047,1.1722494074698869e-05,5.68,18.94266578147511,0.030903771519660953,-1.949568589528402e-07,-3.1425567,1408,0.6666666666666666,0.33071890473365784,0.125,0.011826311,749194.0,0.68,-0.0002445408,0.006344348,-3.148901,121063.0
0.0001642562,1.0,0.125,74.89048099517822,9733.283996500977,-0.030816756,0.27434757,16.629303,0.011679134,-1.012301966814751e-05,16.629059,0.0023436479,0.2744205,1.1691471475690681e-05,5.68,19.01032030566597,0.03081675618886948,1.117587089538574e-08,-3.1347604,1409,0.6666666666666666,0.33071890473365784,0.125,0.011736634,749738.0,0.68,-0.00024482352,0.0063294517,-3.1410897,121159.0
0.00016381757,1.0,0.125,74.94334697723389,9684.866904787676,-0.030730583,0.2743479,16.629356,0.011596797,-1.0810502544700284e-05,16.629107,0.002339953,0.27441922,1.1659767134612293e-05,5.68,18.91575567341343,0.030730582773685455,-2.0240743954976403e-07,-3.1270204,1410,0.6666666666666666,0.33071890473365784,0.125,0.011647677,750282.0,0.68,-0.00024932195,0.0063167075,-3.133337,121255.0
0.00016579946,1.0,0.125,74.99630999565125,9667.122745258685,-0.030644946,0.27434734,16.629402,0.011515295,-1.0676057399905403e-05,16.62915,0.0023368166,0.27441946,1.1624064730616133e-05,5.68,18.881099111833368,0.03064494580030441,-8.319814999898274e-08,-3.1193352,1411,0.6666666666666666,0.33071890473365784,0.125,0.011560511,750826.0,0.68,-0.00025242832,0.0063026925,-3.125638,121351.0
0.00016631107,1.0,0.125,75.04907512664795,9703.377786212288,-0.03056007,0.27434775,16.629429,0.011434518,-9.678835340309888e-06,16.629173,0.002333346,0.27441803,1.1589801564089914e-05,5.68,18.951909738695875,0.030560070648789402,-7.761021455128987e-08,-3.1117053,1412,0.6666666666666666,0.33071890473365784,0.125,0.011473194,751370.0,0.68,-0.00025705673,0.006286638,-3.117992,121447.0
0.00016600383,1.0,0.125,75.10183191299438,9704.912589593181,-0.030475996,0.27434784,16.629444,0.011354221,-1.0795791164734206e-05,16.629189,0.0023288059,0.2744179,1.154883257944069e-05,5.68,18.954907401549182,0.030475996434688568,4.0108958880106615e-07,-3.1041312,1413,0.6666666666666666,0.33071890473365784,0.125,0.011388221,751914.0,0.68,-0.0002584157,0.006271731,-3.110403,121543.0
0.00016534333,1.0,0.125,75.15493297576904,9641.991576943454,-0.030392643,0.27434784,16.629442,0.011274586,-1.0283568599334101e-05,16.629185,0.0023242277,0.27441713,1.1511366854695856e-05,5.68,18.832014798717683,0.030392643064260486,-1.5894571940104166e-07,-3.0966175,1414,0.6666666666666666,0.33071890473365784,0.125,0.011301735,752458.0,0.68,-0.00025909627,0.0062553072,-3.1028728,121639.0
0.00016528177,1.0,0.125,75.20756506919861,9727.9049081561,-0.030309865,0.27434778,16.629417,0.011196055,-1.051547163418339e-05,16.629158,0.0023198056,0.27441642,1.1463358835802257e-05,5.68,18.999814273742384,0.030309865251183506,-9.12696123123169e-08,-3.0891623,1415,0.6666666666666666,0.33071890473365784,0.125,0.011216778,753002.0,0.68,-0.00025919214,0.006238162,-3.0954006,121735.0
