vfn_loss,rew_std_int,metricmean,tcount,nsn_loss,metricstd,ups,idn_pg_loss,tps,retmean,best_ext_ret,vpredstd,idn_loss,eprew,advmean,vpredmean,n_updates,total_secs,rew_mean_ext,eprew_recent,p_below_line,rew_std_ext,advstd,retstd,eplen,epcount,rew_mean_int
0.014317891014798079,0.10736971,2.733982,299.0,2.7278013626734414,0.10764022,19.329302462763604,-0.05507357713455955,9896.602860934965,-0.24703903,1.0,0.012488939,-0.055209386007239424,0.03773584905660377,0.05503186,-0.30207092,1,0.05173492431640625,0.00390625,0.03773584905660377,1.0,0.06237781,0.16199975,0.16223457,5.6415094339622645,53.0,-0.024357818
0.00015978885736937326,0.12597437,2.7259693,830.0,2.720236976941427,0.12644622,21.49194750892871,-0.015237734963496523,11003.8771245715,-0.2749852,1.0,0.010572388,-0.015373684853936236,0.02,0.015238979,-0.2902242,2,0.09826397895812988,0.0,0.0,1.0,0.0,0.014896165,0.010476482,7.29,122.0,-0.031796448
0.00477409953600727,0.11574689,2.7107291,1404.0,2.7053524057070413,0.116097316,21.514216101151547,-0.02625986561179161,11015.278643789592,-0.2535813,1.0,0.007606096,-0.02639580424875021,0.01,0.026247196,-0.2798285,3,0.144744873046875,0.001953125,0.014084507042253521,1.0,0.044150993,0.09516432,0.09505357,7.96,193.0,-0.046963353
0.004137785446194661,0.14610563,2.7195466,1826.0,2.7142881949742637,0.14655174,21.889568503016513,-0.02238090359605849,11207.459073544454,-0.24960896,1.0,0.006343051,-0.02251674304716289,0.02,0.022378987,-0.27198797,4,0.1904287338256836,0.001953125,0.019230769230769232,1.0,0.044150993,0.088936135,0.08899097,8.02,245.0,-0.03796366
9.314057388110085e-05,0.11868268,2.6978216,2356.0,2.691761453946431,0.118845165,21.553020492898398,-0.013497928235058985,11035.14649236398,-0.250126,1.0,0.004786318,-0.013633809518069029,0.0,0.013497278,-0.26362327,5,0.23682594299316406,0.0,0.0,1.0,0.0,0.008624274,0.0070988056,8.32,311.0,-0.05944299
0.007612123837134277,0.11913698,2.6836262,2853.0,2.675483345985413,0.11957101,21.73867794466731,-0.032935107902934156,11130.203107669662,-0.22429614,1.0,0.0056905146,-0.03307098033837974,0.0,0.03289702,-0.25719315,6,0.28282690048217773,0.001953125,0.0,1.0,0.044150993,0.119864985,0.119904965,7.41,377.0,-0.07308911
5.5192305505139906e-05,0.13331836,2.6615798,3330.0,2.6532976229985556,0.13363144,22.21324012286834,-0.008841411249401668,11373.17894290859,-0.23895454,1.0,0.0064047338,-0.008977348489376407,0.0,0.0088378005,-0.24779232,7,0.32784509658813477,0.0,0.0,1.0,0.0,0.009156398,0.006965702,7.53,439.0,-0.09401828
0.004033884986559618,0.14633465,2.6606455,3852.0,2.6529821157455444,0.14623441,21.78938454904854,-0.017021224096727867,11156.164889112852,-0.22256798,1.0,0.0066754674,-0.017157161724753678,0.01,0.01701781,-0.23958582,8,0.37373900413513184,0.001953125,0.017241379310344827,1.0,0.044150993,0.088756375,0.08852988,8.09,497.0,-0.094274454
0.005037875175275985,0.14802359,2.6328256,4377.0,2.624548316001892,0.14837594,21.299640969129438,-0.018243434295679133,10905.416176194272,-0.21426962,1.0,0.005987939,-0.01837943005375564,0.01,0.018233797,-0.23250344,9,0.4206881523132324,0.001953125,0.014925373134328358,1.0,0.044150993,0.09938718,0.09921,8.54,564.0,-0.120854184
0.008377000040657851,0.1531001,2.609251,4862.0,2.599413335323334,0.1526985,21.507265995959347,-0.027471859318514667,11011.720189931186,-0.19449204,1.0,0.0044090776,-0.027607835227778803,0.02,0.027454529,-0.2219466,10,0.46718406677246094,0.00390625,0.018518518518518517,1.0,0.06237781,0.12783116,0.12855268,8.26,618.0,-0.14292604
4.2629093513824046e-05,0.15957464,2.591307,5423.0,2.5812360843022666,0.15928778,22.254373351868455,-0.00419320414463679,11394.23915615665,-0.20719384,1.0,0.0059620775,-0.00432923094679912,0.0,0.004192612,-0.21138646,11,0.5121190547943115,0.0,0.0,1.0,0.0,0.008411278,0.0059542875,8.52,686.0,-0.15837827
0.005682055442624308,0.17566617,2.5599322,5929.0,2.54747211933136,0.1754596,21.931345328292732,-0.013492716532103564,11228.848808085879,-0.19020066,1.0,0.0062129046,-0.013628710113456084,0.01,0.01346541,-0.20366609,12,0.557715892791748,0.001953125,0.014084507042253521,1.0,0.044150993,0.106171794,0.10684483,7.51,757.0,-0.18672097
4.932476288862139e-05,0.19100307,2.5437264,6435.0,2.5302475889523826,0.19127071,21.209812240522268,-0.0003276180553560456,10859.423867147401,-0.19925448,1.0,0.0066013993,-0.00046370995308582985,0.01,0.00032821158,-0.1995827,13,0.6048638820648193,0.0,0.0,1.0,0.0,0.00983462,0.008789105,7.89,822.0,-0.19935805
7.017300110116291e-05,0.19601822,2.5059,6976.0,2.4913168350855504,0.19583806,21.40912246314672,0.0011789766673852378,10961.47070113112,-0.1981648,1.0,0.008687998,0.00104285733444461,0.0,-0.0011794837,-0.1969853,14,0.6515729427337646,0.0,0.0,1.0,0.0,0.011798122,0.008945753,8.05,886.0,-0.23326448
7.454209753632311e-05,0.20945144,2.452679,7448.0,2.4358259439468384,0.20971115,21.44634201214898,0.006100393851132443,10980.527110220277,-0.2029109,1.0,0.0070183966,0.005964265961665661,0.0,-0.0061012823,-0.1968096,15,0.6982009410858154,0.0,0.0,1.0,0.0,0.011122711,0.009968467,8.57,941.0,-0.27986795
