vpredmean_IDN,ups,retstd_NSN,retmean_IDN,advstd_IDN,vpredstd_NSN,advmean_NSN,advmean_IDN,loss,rew_mean_IDN,eplen,vpredmean_NSN,vfn_loss,idn_pg_loss,n_updates,eprew_recent,tps,advstd_NSN,ext_reward,retstd_IDN,epcount,retmean_NSN,rew_mean_NSN,metric,ext_reward_std,total_secs,vpredstd_IDN,eprew,best_ext_ret,tcount
-0.3084855,15.435216533694469,0.027688626,-19.548153,8.718018,0.04181146,-0.024586523,-19.23967,3.702317734559377,-2.9994981,4.916666666666667,0.29339823,222.91359202067056,9.877607226371223e-06,1,0.0,7902.830865251568,0.05135531,0.0,8.719552,72.0,0.2688117,0.0,2.999498049418132,0.0,0.06478691101074219,0.026406756,0.0,0.0,354.0
-0.32393682,19.08905303495765,0.11681593,-19.248644,8.601342,0.042077594,0.009403162,-18.924707,3.649140258630117,-2.9508162,6.46,0.28885645,215.90452448527017,-9.234001239140821e-05,2,0.013513513513513514,9773.595153898317,0.12654893,0.001953125,8.603674,146.0,0.29825962,0.001953125,2.9508161942164106,0.04415099322795868,0.1171729564666748,0.029274091,0.01,1.0,865.0
-0.34586865,18.71922307912025,0.025997555,-19.282297,8.608012,0.04145282,-0.02437475,-18.936428,3.6641316612561545,-2.9543014,5.88,0.2903245,216.17724736531574,0.0001522954553365703,3,0.0,9584.242216509569,0.050105207,0.0,8.609426,229.0,0.26594976,0.0,2.954301456610362,0.0,0.1705939769744873,0.028044749,0.0,1.0,1349.0
-0.36615285,18.288584634167613,0.030646978,-18.911026,8.481672,0.0422771,-0.026792355,-18.544872,3.5999736587206526,-2.9018617,6.31,0.29722005,207.75209935506183,6.127481659253366e-06,4,0.0,9363.755332693818,0.05330325,0.0,8.484403,305.0,0.2704277,0.0,2.901861508687337,0.0,0.22527289390563965,0.033527244,0.0,1.0,1833.0
-0.38065135,18.88254414161332,0.031115865,-18.875618,8.422476,0.045928255,-0.020584308,-18.494965,3.5805085102717085,-2.8837564,6.96,0.29068792,206.3324139912923,-3.501959145069122e-05,5,0.0,9667.86260050602,0.05556512,0.0,8.420536,382.0,0.27010363,0.0,2.883756438891093,0.0,0.2782318592071533,0.039906826,0.0,1.0,2357.0
-0.40347934,18.593915965492478,0.07633589,-18.930624,8.351608,0.04485464,-0.009412747,-18.527145,3.574914773305257,-2.8762767,6.55,0.2928605,206.32271448771158,0.00023107727368672638,6,0.0125,9520.084974332149,0.088824354,0.001953125,8.344844,462.0,0.28344774,0.001953125,2.8762767910957336,0.04415099322795868,0.3320128917694092,0.041381348,0.01,1.0,2899.0
-0.4286841,17.852964211529947,0.05446812,-18.56649,8.338112,0.046437223,-0.013053415,-18.137806,3.5332262317339582,-2.8427763,5.68,0.2946053,199.05939483642578,-0.00020163009564081857,7,0.012345679012345678,9140.717676303333,0.07120009,0.001953125,8.340134,543.0,0.2815519,0.001953125,2.842776278654734,0.04415099322795868,0.38802599906921387,0.04424272,0.01,1.0,3367.0
-0.4413802,17.960065943006402,0.14661959,-18.378105,8.144843,0.047824636,0.015337799,-17.936726,3.488762954870859,-2.7953067,6.73,0.29197967,193.85059356689453,2.435532708962758e-05,8,0.029850746268656716,9195.553762819278,0.15529816,0.00390625,8.143428,610.0,0.30731747,0.00390625,2.7953065832455954,0.06237781047821045,0.44370508193969727,0.051058084,0.02,1.0,3849.0
-0.4719985,18.165653205827834,0.14589842,-18.339052,8.154016,0.050203826,-0.00084351003,-17.867054,3.4678487579027815,-2.7860618,6.38,0.3027025,192.66712188720706,0.000266226008534431,9,0.03409090909090909,9300.81444138385,0.15532781,0.005859375,8.149863,698.0,0.30185896,0.005859375,2.786061823368072,0.07632196694612503,0.49875402450561523,0.05490554,0.03,1.0,4379.0
-0.49942055,17.898064383982522,0.07729355,-18.399271,8.070155,0.04976444,-0.0054573575,-17.899849,3.47468231121699,-2.775572,6.6,0.31403363,192.5375709533691,0.00020352192223072017,10,0.014285714285714285,9163.808964599051,0.091370344,0.001953125,8.068387,768.0,0.3085763,0.001953125,2.7755719621976214,0.04415099322795868,0.5546259880065918,0.05693017,0.01,1.0,4886.0
-0.5288528,18.47816835325371,0.1159652,-17.872278,7.969222,0.051088117,-0.014297877,-17.343426,3.3953171173731485,-2.717896,6.83,0.31870705,181.88674036661786,-0.00018163149555524205,11,0.02531645569620253,9460.8221968659,0.13014163,0.001953125,7.9684024,847.0,0.3044092,0.001953125,2.7178961038589473,0.04415099322795868,0.6087439060211182,0.06346696,0.02,1.0,5409.0
-0.5584778,19.121600736725494,0.1693358,-17.758055,7.8859644,0.05454492,0.015938548,-17.199577,3.3620161016782126,-2.6896212,7.48,0.32142913,178.7441864013672,-9.65390354394903e-05,12,0.0273972602739726,9790.259577203453,0.18039002,0.00390625,7.879477,920.0,0.3373677,0.00390625,2.6896212299664812,0.06237781047821045,0.6610407829284668,0.074986495,0.02,1.0,5969.0
