metric,ups,nsn_loss,epcount,retstd,vpredstd,n_updates,eplen,advstd,vfn_loss,eprew_recent,vpredmean,idn_pg_loss,rew_std_ext,tcount,total_secs,p_below_line,advmean,metricmean,rew_std_int,idn_loss,retmean,tps,rew_mean_ext,eprew,metricstd,best_ext_ret,rew_mean_int
0.0,8.080233951475874,4.16247284412384,13.0,0.11971844,0.020110851,1,12.538461538461538,0.11987729,0.03840887360274792,0.0,0.12646788,-0.2582981859644254,0.0,163.0,0.12375879287719727,1.0,0.25817642,4.1682725,0.19710171,-0.2582981859644254,0.38464433,4137.079783155647,0.0,0.0,0.19710171,0.0,4.1682725
0.0,20.845508898707315,4.174302617708841,34.0,0.119763635,0.023351163,2,15.205882352941176,0.121412024,0.03781076210240523,0.0,0.1452439,-0.25534946471452713,0.0,517.0,0.17173075675964355,1.0,0.2552969,4.179539,0.1987646,-0.25534946471452713,0.4005408,10672.900556138145,0.0,0.0,0.1987646,0.0,4.179539
0.0,21.698080216033894,4.173345327377319,56.0,0.119480565,0.025400858,3,18.267857142857142,0.12162217,0.03690822391460338,0.0,0.16130956,-0.25200895344217616,0.0,1023.0,0.2178177833557129,1.0,0.25193942,4.1786356,0.20081362,-0.25200895344217616,0.41324896,11109.417070609354,0.0,0.0,0.20081362,0.0,4.1786356
0.0,21.660989289071136,4.155822356541952,77.0,0.11773786,0.029994681,4,20.2987012987013,0.124437645,0.03817080551137526,0.0,0.1827817,-0.2561338332792123,0.0,1563.0,0.26398372650146484,1.0,0.25607294,4.1614375,0.19960149,-0.2561338332792123,0.43885463,11090.426516004422,0.0,0.0,0.19960149,0.0,4.1614375
0.0,21.648691056239162,4.125360608100891,100.0,0.11711231,0.03501049,5,20.74,0.123960495,0.036996999134620026,0.0,0.20663293,-0.25362738346060115,0.0,2074.0,0.31017589569091797,1.0,0.2536351,4.1312647,0.20766264,-0.25362738346060115,0.46026802,11084.129820794451,0.0,0.0,0.20766264,0.0,4.1312647
0.0,21.74814630453494,4.141492009162903,121.0,0.1165002,0.038667135,6,22.73,0.1206132,0.036139510571956635,0.0,0.22911134,-0.2531996853649616,0.0,2579.0,0.3561568260192871,1.0,0.25318187,4.147172,0.19718951,-0.2531996853649616,0.4822932,11135.05090792189,0.0,0.0,0.19718951,0.0,4.147172
0.0,21.57264165985177,4.102400422096252,141.0,0.115686685,0.047219146,7,24.03,0.12512937,0.03556444045777122,0.0,0.26294932,-0.2505543927351634,0.0,3099.0,0.4025118350982666,1.0,0.25048816,4.108918,0.20701338,-0.2505543927351634,0.5134375,11045.192529844106,0.0,0.0,0.20701338,0.0,4.108918
0.0,21.27166316729047,4.09814989566803,162.0,0.116975255,0.04999884,8,23.23,0.13009615,0.03389083780348301,0.0,0.30513823,-0.2427453560133775,0.0,3519.0,0.4495227336883545,1.0,0.24268487,4.1047153,0.20335707,-0.2427453560133775,0.54782313,10891.09154165272,0.0,0.0,0.20335707,0.0,4.1047153
0.0,21.745214740465773,4.1133828560511265,183.0,0.116255604,0.060439773,9,23.88,0.12801567,0.033957515532771744,0.0,0.33545113,-0.24660544221599898,0.0,4083.0,0.4955098628997803,1.0,0.246555,4.121297,0.2108897,-0.24660544221599898,0.58200616,11133.549947118476,0.0,0.0,0.2108897,0.0,4.121297
0.0,20.83991593089639,4.026742418607076,209.0,0.11577415,0.06376579,10,22.9,0.12953056,0.028155530802905563,0.0,0.39283794,-0.2216598403950532,0.0,4591.0,0.543494701385498,1.0,0.2216307,4.0373716,0.21793029,-0.2216598403950532,0.61446863,10670.036956618951,0.0,0.0,0.21793029,0.0,4.0373716
0.0,21.91106653293213,4.040053963661194,224.0,0.110600166,0.07108088,11,22.53,0.13514791,0.03494369021306435,0.0,0.4256904,-0.25259464854995406,0.0,4891.0,0.5891337394714355,1.0,0.25255767,4.0526476,0.228779,-0.25259464854995406,0.67824805,11218.46606486125,0.0,0.0,0.228779,0.0,4.0526476
0.0,21.255277960776365,4.034302055835724,243.0,0.11171647,0.07240034,12,21.64,0.13022904,0.02882200743382176,0.0,0.4861739,-0.23048195863763493,0.0,5323.0,0.6361808776855469,1.0,0.23046611,4.0460663,0.22618458,-0.23048195863763493,0.71664,10882.702315917499,0.0,0.0,0.22618458,0.0,4.0460663
0.0,21.786441857686775,3.965437114238739,268.0,0.11411241,0.07876997,13,24.77,0.14056595,0.028268012994279463,0.0,0.56682503,-0.22256419807672503,0.0,6152.0,0.6820809841156006,1.0,0.22253068,3.979909,0.23839425,-0.22256419807672503,0.78935575,11154.658231135629,0.0,0.0,0.23839425,0.0,3.979909
0.0,22.033767953014845,3.9742819666862483,290.0,0.10906668,0.0794937,14,23.8,0.13359703,0.02664044235522548,0.0,0.63451636,-0.22158855944871905,0.0,6596.0,0.7274658679962158,1.0,0.22155608,3.9893646,0.25520656,-0.22158855944871905,0.8560724,11281.2891919436,0.0,0.0,0.25520656,0.0,3.9893646
0.0,21.81783377201652,3.9136787652969365,313.0,0.11390292,0.08321884,15,24.03,0.14187472,0.02395878328631322,0.0,0.71459013,-0.20192715898156166,0.0,7081.0,0.7732999324798584,1.0,0.20189935,3.9317493,0.28278702,-0.20192715898156166,0.9164895,11170.730891272458,0.0,0.0,0.28278702,0.0,3.9317493
0.0,21.33800015262127,3.8332982063293457,342.0,0.1103104,0.08876945,16,24.32,0.15095231,0.025434429214025542,0.0,0.7906679,-0.20483461767435077,0.0,7743.0,0.820164680480957,1.0,0.20481236,3.8564496,0.278533,-0.20483461767435077,0.99548024,10925.05607814209,0.0,0.0,0.278533,0.0,3.8564496
0.0,21.688094647141558,3.8132039507230124,366.0,0.10384697,0.092769325,17,21.71,0.1383508,0.022505337294812005,0.0,0.8769394,-0.2007884606719017,0.0,8250.0,0.8662729263305664,1.0,0.20075066,3.8387253,0.31454268,-0.2007884606719017,1.0776899,11104.304459336478,0.0,0.0,0.31454268,0.0,3.8387253
0.0,21.638081087913164,3.7830711404482527,389.0,0.10627584,0.09348096,18,21.57,0.13440958,0.02037085150368512,0.0,0.9705244,-0.1932294194897016,0.0,8731.0,0.9124877452850342,1.0,0.19321841,3.808803,0.34438846,-0.1932294194897016,1.1637428,11078.69751701154,0.0,0.0,0.34438846,0.0,3.808803
0.0,21.453252791431595,3.726307511329651,417.0,0.11060091,0.09283368,19,22.07,0.14096682,0.01531035080552101,0.0,1.0843829,-0.14459536100427312,0.0,9362.0,0.9591007232666016,1.0,0.14456268,3.7542322,0.39232746,-0.14459536100427312,1.2289456,10984.065429212977,0.0,0.0,0.39232746,0.0,3.7542322
0.0,21.43702499782783,3.635659714539845,436.0,0.10096052,0.1005094,20,21.32,0.13999586,0.01714357951035102,0.0,1.1742619,-0.16121537052094936,0.0,9787.0,1.005748987197876,1.0,0.16115192,3.6651325,0.40404472,-0.16121537052094936,1.3354139,10975.756798887849,0.0,0.0,0.40404472,0.0,3.6651325
0.0,21.57463903420109,3.5444411238034568,462.0,0.08694116,0.093972124,21,22.02,0.12637581,0.014368984460209806,0.0,1.2756236,-0.1570830444494883,0.0,10380.0,1.0520997047424316,1.0,0.15700302,3.576704,0.47323182,-0.1570830444494883,1.4326266,11046.215185510959,0.0,0.0,0.47323182,0.0,3.576704
0.0,21.84499200533325,3.620831290880839,475.0,0.11067054,0.0992438,22,22.9,0.13413738,0.014151924677814048,0.0,1.3661981,-0.1465856029341618,0.0,10726.0,1.097876787185669,1.0,0.14655247,3.647859,0.5309678,-0.1465856029341618,1.5127506,11184.635906730624,0.0,0.0,0.5309678,0.0,3.647859
0.0,21.846016021334002,3.4231882095336914,499.0,0.09306068,0.09371992,23,23.92,0.12630118,0.011281943220334748,0.0,1.477035,-0.12553404830396175,0.0,11389.0,1.1436517238616943,1.0,0.1254933,3.454718,0.57500225,-0.12553404830396175,1.6025285,11185.160202923009,0.0,0.0,0.57500225,0.0,3.454718
0.0,21.391215651074074,3.435543974240621,526.0,0.09249936,0.0957085,24,24.86,0.12360195,0.010110933372440437,0.0,1.5773635,-0.11113987552622955,0.0,11983.0,1.1903998851776123,1.0,0.11107688,3.4624538,0.61481506,-0.11113987552622955,1.6884403,10952.302413349926,0.0,0.0,0.61481506,0.0,3.4624538
0.0,21.787460391667967,3.328134735425313,548.0,0.07385643,0.09502162,25,23.99,0.12241058,0.010128566335576277,0.0,1.6753386,-0.11241462950905165,0.0,12437.0,1.236297845840454,1.0,0.1123804,3.3550146,0.6897917,-0.11241462950905165,1.787719,11155.179720533999,0.0,0.0,0.6897917,0.0,3.3550146
0.0,21.51465752932788,3.439204474290212,572.0,0.095826834,0.094706014,26,23.85,0.12397112,0.009958378660182158,0.0,1.7637599,-0.10882313922047615,0.0,12991.0,1.2827777862548828,1.0,0.10879163,3.4586802,0.7199247,-0.10882313922047615,1.8725514,11015.504655015875,0.0,0.0,0.7199247,0.0,3.4586802
0.0,21.74949960071767,3.275593419869741,600.0,0.060302608,0.09100548,27,21.37,0.110307276,0.00803722053145369,0.0,1.8741956,-0.10536934776852527,0.0,13537.0,1.3287558555603027,1.0,0.10534107,3.2951999,0.75709945,-0.10536934776852527,1.9795365,11135.743795567447,0.0,0.0,0.75709945,0.0,3.2951999
0.0,21.616446686903775,3.1688435872395835,625.0,0.071139805,0.076609015,28,20.9,0.09744833,0.005695704448347291,0.0,1.9826541,-0.08266181343545517,0.0,14054.0,1.3750169277191162,1.0,0.08264977,3.18956,0.76737124,-0.08266181343545517,2.0653038,11067.620703694733,0.0,0.0,0.76737124,0.0,3.18956
0.0,21.995060122815204,3.3406260609626774,641.0,0.08409211,0.07966485,29,20.96,0.10510585,0.00670497538521886,0.0,2.0699878,-0.08451558897892635,0.0,14374.0,1.4204816818237305,1.0,0.08439729,3.3586066,0.80140734,-0.08451558897892635,2.1543853,11261.470782881384,0.0,0.0,0.80140734,0.0,3.3586066
