total_secs,retmean_NSN,vpredmean_NSN,advstd_IDN,retmean_IDN,epcount,ups,ext_reward_std,ext_reward,vpredstd_IDN,advmean_NSN,eprew,rew_mean_NSN,vfn_loss,metric,advstd_NSN,vpredmean_IDN,rew_mean_IDN,retstd_NSN,eplen,tcount,best_ext_ret,tps,n_updates,eprew_recent,idn_pg_loss,vpredstd_NSN,loss,advmean_IDN,retstd_IDN
0.1374530792236328,-0.21171564,-0.24873206,8.18511,-17.707623,66.0,7.275209879969472,0.04415099322795868,0.001953125,0.017361829,0.03701639,0.015151515151515152,0.001953125,195.8471361796061,2.803663869698842,0.11928533,0.31948665,-2.8036637,0.11810009,5.045454545454546,333.0,1.0,3724.9074585443695,1,0.015151515151515152,0.00043785447875658657,0.03216464,2.7802191178003945,-18.02711,8.18507
0.18829607963562012,-0.21261454,-0.23195077,8.137195,-17.550396,135.0,19.668390769562627,0.0,0.0,0.023087515,0.01933623,0.01,0.0,192.1994717915853,2.7798230846722918,0.04425938,0.294854,-2.779823,0.02679057,7.04,845.0,1.0,10070.216074016065,2,0.0,0.00010526614884535457,0.03777399,2.7584678133328753,-17.84525,8.137492
0.23818421363830566,-0.21617621,-0.23627347,8.03471,-17.470547,207.0,20.044846735421466,0.04415099322795868,0.001953125,0.017141135,0.020097248,0.01,0.001953125,189.73002243041992,2.7579170266787205,0.058691233,0.28298387,-2.757917,0.050972145,6.74,1306.0,1.0,10262.96152853579,3,0.013888888888888888,0.0005675442516803744,0.03344803,2.7372164328893027,-17.753532,8.037738
0.2901461124420166,-0.2079087,-0.23543057,8.053833,-17.545155,279.0,19.244870241897,0.06237781047821045,0.00390625,0.019203054,0.027521841,0.02,0.00390625,190.89366149902344,2.7670232852300005,0.12156499,0.26505142,-2.7670233,0.12012612,7.3,1877.0,1.0,9853.373563851264,4,0.027777777777777776,9.586413701375253e-06,0.03416741,2.746629397074382,-17.810204,8.052226
0.3427581787109375,-0.19749412,-0.22619404,7.961669,-17.284853,348.0,19.007046689415464,0.06237781047821045,0.00390625,0.017590743,0.028699914,0.02,0.00390625,185.22362518310547,2.7265356183052063,0.12669523,0.24598843,-2.7265356,0.121550575,7.32,2384.0,1.0,9731.607904980718,5,0.028985507246376812,0.0004090325285991032,0.039123956,2.7065540353457127,-17.530842,7.963027
0.3937649726867676,-0.18225381,-0.22009587,7.992317,-17.300808,422.0,19.605231422187735,0.04415099322795868,0.001953125,0.020620381,0.037842073,0.02,0.001953125,185.38698450724286,2.7325403491655984,0.121167116,0.22592561,-2.7325404,0.1135942,7.08,2886.0,1.0,10037.87848816012,6,0.013513513513513514,-0.000286327054103216,0.04017916,2.7123407920201617,-17.526733,7.990499
0.44509196281433105,-0.11881303,-0.21106553,7.9187827,-17.230106,504.0,19.482926965222198,0.10761701315641402,0.01171875,0.018986192,0.09225252,0.07,0.01171875,183.2552553812663,2.7076481382052107,0.24819277,0.20696732,-2.7076483,0.25198606,6.44,3416.0,1.0,9975.258606193765,7,0.07317073170731707,0.0003393081327279409,0.043164276,2.6861578524112706,-17.437073,7.918084
0.4960930347442627,-0.19067025,-0.20021108,7.909644,-17.166473,578.0,19.607431023682416,0.0,0.0,0.022652097,0.009540832,0.03,0.0,181.71013768513998,2.7014759580294285,0.058254883,0.18826173,-2.701476,0.032379262,6.88,3943.0,1.0,10039.004684125397,8,0.013513513513513514,2.746780713398962e-06,0.049659275,2.6810100277264914,-17.354736,7.909041
0.5461978912353516,-0.16453096,-0.19755584,7.8598113,-17.217438,652.0,19.958145178558684,0.06237781047821045,0.00390625,0.025530059,0.033024877,0.02,0.00390625,181.84812037150067,2.7008434534072876,0.14906022,0.1678432,-2.7008436,0.14589056,6.87,4431.0,1.0,10218.570331422046,9,0.02702702702702703,0.0005208750565846758,0.04640089,2.680318256219228,-17.385283,7.860628
0.5957920551300049,-0.17296444,-0.19020654,7.7899966,-17.028358,731.0,20.163662847995077,0.04415099322795868,0.001953125,0.024171257,0.0172421,0.02,0.001953125,177.6333351135254,2.668669660886129,0.088306956,0.14545019,-2.6686697,0.073955074,7.18,4980.0,1.0,10323.79537817348,10,0.012658227848101266,3.437946240107193e-05,0.047179557,2.646771391232808,-17.17381,7.790477
