rew_std_ext,advmean,nsn_loss,epcount,ups,advstd,vpredstd,rew_mean_ext,metricstd,tcount,vfn_loss,tps,eprew_recent,rew_std_int,idn_loss,eplen,eprew,total_secs,n_updates,best_ext_ret,retmean,metric,rew_mean_int,idn_pg_loss,metricmean,retstd,vpredmean
0.0,0.20408478,2.7419505715370174,55.0,8.131742517361582,0.15490457,0.09920838,0.0,0.25181764,305.0,0.02932783868163824,4163.45216888913,0.0,0.25181764,-0.20555183415611583,5.545454545454546,0.0,0.12297487258911133,1,0.0,-0.12711057,0.0,2.7481203,-0.2041676243146261,2.7481203,0.111584656,-0.33119538
0.0,0.17554872,2.767368276913961,113.0,21.109045430982853,0.1353421,0.094103105,0.0,0.24847957,818.0,0.02201981858039896,10807.83126066322,0.0,0.24847957,-0.17696425815423333,7.77,0.0,0.1703479290008545,2,0.0,-0.10128604,0.0,2.7729127,-0.1755801762143771,2.7729127,0.10999898,-0.2768348
0.044150993,0.19868168,2.7365637024243674,169.0,21.460936660543698,0.16659766,0.08291137,0.001953125,0.24738438,1345.0,0.030870882483820118,10987.999570198373,0.017857142857142856,0.24738438,-0.2001070330540339,9.44,0.01,0.21694421768188477,3,1.0,-0.05594068,0.0,2.742009,-0.19872309640049937,2.742009,0.15259077,-0.2546224
0.06237781,0.23114148,2.748464186986287,232.0,21.664905293932303,0.20211959,0.071288936,0.00390625,0.24511467,1896.0,0.04401102801784873,11092.43151049334,0.015873015873015872,0.24511467,-0.23262866213917732,9.13,0.02,0.26310181617736816,4,1.0,0.0073577147,0.0,2.7530897,-0.2312445193529129,2.7530897,0.19401518,-0.22378376
0.0,0.18176098,2.736607650915782,289.0,22.026362500131288,0.11409616,0.06537841,0.0,0.24514776,2346.0,0.020586974918842316,11277.49760006722,0.0,0.24514776,-0.18318972984949744,8.32,0.01,0.3085019588470459,5,1.0,-0.007250201,0.0,2.7414289,-0.18180529773235318,2.7414289,0.098192856,-0.18901117
0.07632197,0.21985689,2.727564414342244,348.0,21.55778393408751,0.19633752,0.054062262,0.005859375,0.2314224,2895.0,0.040600032079964876,11037.585374252805,0.05084745762711865,0.2314224,-0.22127894312143326,8.73,0.03,0.354888916015625,6,1.0,0.05274932,0.0,2.7321033,-0.21989430611332259,2.7321033,0.19500339,-0.16710755
0.044150993,0.18775192,2.72341384490331,413.0,21.515981922550132,0.14112414,0.045539156,0.001953125,0.2349197,3412.0,0.02517394861206412,11016.182744345668,0.015384615384615385,0.2349197,-0.18916400894522667,8.02,0.03,0.4013659954071045,7,1.0,0.04887154,0.0,2.728316,-0.18777933344244957,2.728316,0.13592164,-0.13888037
0.0,0.18157783,2.672224561373393,473.0,22.462225602082185,0.09653863,0.03889325,0.0,0.25232416,3941.0,0.018971182793999713,11500.659508266079,0.0,0.25232416,-0.18298529957731566,8.52,0.01,0.44588518142700195,8,1.0,0.0717029,0.0,2.6790466,-0.18160061289866763,2.6790466,0.08527833,-0.10987492
0.0,0.17583515,2.674562156200409,525.0,23.29004386695541,0.08851123,0.03379899,0.0,0.25924832,4419.0,0.017329321010038257,11924.50245988117,0.0,0.25924832,-0.1772525447110335,8.86,0.0,0.48882198333740234,9,1.0,0.09271985,0.0,2.6819468,-0.17586791763703027,2.6819468,0.08451348,-0.0831153
0.0,0.16890758,2.6669939756393433,586.0,22.680863259556475,0.089863695,0.030789744,0.0,0.23990759,5001.0,0.01629530747110645,11612.601988892915,0.0,0.23990759,-0.17033793156345686,9.45,0.0,0.532912015914917,10,1.0,0.1141739,0.0,2.675579,-0.16895363728205365,2.675579,0.085028894,-0.0547337
