# {"t_start": 1636398183.6842399, "env_id": "FrozenLake-v1"} 
r,l,t
0.0,24,0.065412
0.0,11,0.097934
0.0,4,0.101185
0.0,6,0.106459
0.0,10,0.139201
0.0,5,0.143678
0.0,32,0.219651
0.0,8,0.226021
0.0,11,0.25898
0.0,13,0.294309
0.0,4,0.297368
0.0,3,0.299636
0.0,8,0.330597
0.0,27,0.377655
0.0,8,0.409174
0.0,4,0.41256
0.0,2,0.414238
0.0,26,0.48414
0.0,3,0.486475
0.0,17,0.52507
0.0,16,0.563301
0.0,2,0.565115
0.0,22,0.60745
0.0,4,0.610782
0.0,7,0.640577
0.0,6,0.645418
0.0,3,0.648073
0.0,24,0.717832
0.0,7,0.723784
0.0,28,0.796878
0.0,3,0.799417
0.0,6,0.804537
0.0,13,0.83973
0.0,4,0.843222
0.0,6,0.872855
0.0,27,0.919966
0.0,3,0.922257
0.0,12,0.956994
0.0,3,0.9595
0.0,2,0.961249
0.0,4,0.988662
0.0,17,1.0265
0.0,6,1.0313
0.0,4,1.0348
0.0,2,1.036474
0.0,4,1.064008
0.0,19,1.104311
0.0,20,1.145056
0.0,4,1.148239
0.0,17,1.186463
0.0,2,1.188094
0.0,9,1.220609
0.0,8,1.227656
0.0,12,1.261517
0.0,6,1.266626
0.0,17,1.305427
0.0,7,1.335998
0.0,3,1.338324
0.0,5,1.342306
0.0,9,1.374501
0.0,2,1.376217
0.0,14,1.412441
0.0,4,1.415769
0.0,2,1.417545
0.0,10,1.450275
0.0,4,1.453389
0.0,6,1.458037
0.0,3,1.460464
0.0,6,1.489561
0.0,3,1.492302
0.0,30,1.566092
0.0,6,1.570913
0.0,3,1.573265
0.0,20,1.613896
0.0,23,1.681659
0.0,7,1.687345
0.0,6,1.716876
0.0,9,1.724288
0.0,9,1.756747
0.0,12,1.766869
0.0,15,1.8043
0.0,5,1.80856
0.0,6,1.837583
0.0,4,1.840707
1.0,14,1.876684
0.0,6,1.881691
0.0,17,1.921883
0.0,2,1.923745
0.0,2,1.925445
0.0,4,1.953363
0.0,8,1.959691
0.0,2,1.961297
0.0,7,1.991395
0.0,5,1.995487
0.0,25,2.040422
0.0,5,2.069364
0.0,3,2.072141
0.0,8,2.079529
0.0,5,2.1084
0.0,3,2.110724
0.0,3,2.113177
0.0,4,2.116655
0.0,6,2.146116
0.0,2,2.147732
0.0,7,2.153971
0.0,2,2.155715
0.0,17,2.195244
0.0,6,2.224641
0.0,6,2.229752
0.0,10,2.26286
0.0,11,2.272634
0.0,5,2.301948
0.0,2,2.303642
0.0,5,2.30788
0.0,2,2.309653
0.0,3,2.312337
0.0,5,2.342119
0.0,2,2.343799
0.0,3,2.346308
0.0,3,2.349151
