# {"t_start": 1636380128.867025, "env_id": "FrozenLake-v0"} 
r,l,t
0.0,7,0.058015
0.0,9,0.099608
0.0,8,0.18026
0.0,21,0.282054
0.0,15,0.374682
0.0,16,0.464953
0.0,3,0.470671
0.0,24,0.6437
0.0,12,0.668589
0.0,5,0.739324
0.0,10,0.759754
0.0,10,0.839631
0.0,14,0.924983
0.0,5,0.934946
0.0,14,1.028213
0.0,4,1.035805
0.0,12,1.11805
0.0,2,1.122115
0.0,2,1.126128
0.0,9,1.144941
0.0,5,1.213958
0.0,13,1.240925
0.0,6,1.312444
0.0,10,1.332859
0.0,14,1.418762
0.0,11,1.498751
0.0,8,1.514325
0.0,6,1.585004
0.0,5,1.59514
0.0,5,1.60506
0.0,12,1.688417
0.0,2,1.692395
0.0,32,1.873454
0.0,2,1.877261
0.0,3,1.882893
0.0,14,1.97211
0.0,10,2.050337
0.0,6,2.061853
0.0,30,2.240803
0.0,17,2.332267
0.0,2,2.33632
0.0,19,2.432782
0.0,4,2.440734
0.0,10,2.519139
0.0,4,2.527371
0.0,7,2.599764
0.0,3,2.60575
0.0,7,2.618806
0.0,2,2.62303
0.0,3,2.628708
0.0,6,2.69913
0.0,5,2.709918
0.0,13,2.794508
0.0,11,2.815652
0.0,3,2.880317
0.0,9,2.898175
0.0,16,2.987842
0.0,14,3.073836
0.0,8,3.0902
0.0,9,3.167304
0.0,2,3.171721
0.0,4,3.179907
0.0,12,3.26387
0.0,8,3.278981
0.0,13,3.363771
0.0,22,3.525245
0.0,4,3.533193
0.0,13,3.616251
0.0,8,3.632375
0.0,8,3.648478
0.0,5,3.716725
0.0,6,3.728797
0.0,6,3.740647
0.0,8,3.814661
0.0,11,3.894694
0.0,7,3.909428
0.0,4,3.917294
0.0,16,4.00781
0.0,11,4.087518
0.0,5,4.097094
0.0,8,4.171792
0.0,5,4.181674
0.0,10,4.201254
1.0,19,4.357303
0.0,6,4.380247
0.0,14,4.474701
0.0,5,4.484362
0.0,3,4.490177
0.0,9,4.566563
0.0,7,4.580449
0.0,4,4.588603
0.0,9,4.665224
0.0,9,4.683073
0.0,2,4.745894
0.0,13,4.772067
0.0,7,4.845162
0.0,15,4.933444
0.0,2,4.937486
0.0,10,4.957799
0.0,3,5.022492
0.0,15,5.0529
1.0,15,5.142746
0.0,11,5.22491
0.0,3,5.231227
0.0,15,5.321126
0.0,2,5.325216
0.0,12,5.408764
0.0,4,5.416782
0.0,7,5.431517
0.0,2,5.494218
1.0,10,5.514927
0.0,11,5.599232
0.0,5,5.610046
1.0,16,5.703568
0.0,20,5.80529
1.0,11,5.888221
0.0,6,5.901451
0.0,4,5.909545
0.0,3,5.974727
0.0,2,5.979324
0.0,4,5.987938
0.0,5,5.998569
1.0,6,6.070367
0.0,6,6.083275
0.0,3,6.090076
0.0,3,6.096315
0.0,3,6.161556
1.0,10,6.183156
0.0,2,6.187379
0.0,5,6.257952
0.0,3,6.264065
1.0,8,6.281532
0.0,3,6.288026
0.0,4,6.355418
0.0,5,6.366895
0.0,2,6.371099
0.0,7,6.386715
1.0,6,6.459059
0.0,7,6.4739
0.0,3,6.480278
0.0,12,6.564686
0.0,3,6.571783
0.0,2,6.576046
0.0,2,6.580495
0.0,2,6.64445
0.0,2,6.648814
1.0,11,6.67358
0.0,3,6.739445
0.0,8,6.756951
1.0,12,6.842585
0.0,7,6.858416
0.0,5,6.869044
0.0,5,6.94254
1.0,12,6.970715
1.0,6,7.042565
0.0,5,7.053312
0.0,4,7.062189
0.0,4,7.130516
0.0,2,7.13522
1.0,7,7.150854
1.0,7,7.166036
0.0,2,7.230373
1.0,7,7.245347
0.0,2,7.249624
0.0,6,7.262486
0.0,2,7.325853
0.0,3,7.332152
0.0,2,7.336388
0.0,3,7.343014
0.0,3,7.349614
0.0,3,7.356476
1.0,6,7.429961
0.0,3,7.436395
0.0,2,7.441134
0.0,6,7.454517
1.0,8,7.530619
0.0,2,7.535072
0.0,3,7.541442
0.0,3,7.54811
0.0,2,7.552364
0.0,4,7.620919
0.0,2,7.62538
0.0,4,7.634066
0.0,3,7.640686
0.0,3,7.647376
0.0,3,7.71404
0.0,5,7.725358
0.0,2,7.729883
0.0,3,7.736547
1.0,10,7.818083
0.0,2,7.822754
1.0,8,7.840214
0.0,3,7.905316
0.0,5,7.916372
0.0,3,7.923102
0.0,3,7.929688
0.0,6,8.00222
0.0,2,8.007135
1.0,7,8.023295
0.0,2,8.027734
1.0,7,8.102085
0.0,3,8.109137
0.0,3,8.115911
1.0,8,8.133802
0.0,3,8.19956
0.0,5,8.211143
0.0,2,8.215462
1.0,10,8.296919
0.0,5,8.308502
0.0,3,8.316783
0.0,2,8.322006
0.0,4,8.331452
0.0,5,8.403155
0.0,3,8.410195
0.0,2,8.414727
0.0,3,8.421378
0.0,5,8.432719
0.0,3,8.497765
0.0,2,8.502378
0.0,3,8.509517
1.0,6,8.522833
0.0,4,8.590833
0.0,4,8.59935
0.0,2,8.603982
0.0,3,8.610463
0.0,3,8.617196
0.0,3,8.623891
1.0,7,8.698236
0.0,3,8.704738
0.0,4,8.714283
0.0,3,8.721145
0.0,3,8.787394
0.0,3,8.794221
0.0,3,8.800814
0.0,3,8.807712
1.0,8,8.884639
0.0,4,8.89364
0.0,2,8.897788
0.0,3,8.904281
1.0,10,8.986686
0.0,3,8.993278
0.0,4,9.002133
0.0,3,9.008785
0.0,2,9.013579
0.0,5,9.083232
1.0,6,9.097546
1.0,6,9.111217
1.0,6,9.183959
0.0,5,9.195176
0.0,2,9.199592
1.0,6,9.271611
1.0,7,9.287016
0.0,2,9.291478
0.0,2,9.296171
0.0,3,9.302709
0.0,2,9.307347
0.0,2,9.375358
0.0,2,9.379848
1.0,8,9.397597
