# {"t_start": 1636380128.8872619, "env_id": "FrozenLake-v0"} 
r,l,t
0.0,5,0.029153
0.0,2,0.03803
0.0,15,0.156259
0.0,2,0.160258
0.0,24,0.26772
0.0,15,0.360452
0.0,4,0.368215
0.0,16,0.459093
0.0,7,0.531513
0.0,28,0.654411
0.0,5,0.725395
0.0,13,0.810821
0.0,5,0.82165
0.0,13,0.904885
0.0,2,0.908672
0.0,4,0.916825
0.0,30,1.099896
0.0,2,1.104061
0.0,5,1.114353
0.0,5,1.124838
0.0,26,1.296281
0.0,20,1.394446
0.0,6,1.406359
0.0,2,1.469138
0.0,7,1.482576
0.0,19,1.57877
0.0,4,1.586916
0.0,9,1.663997
0.0,8,1.680126
0.0,5,1.748673
0.0,6,1.760568
0.0,3,1.766781
0.0,11,1.847095
0.0,2,1.851255
0.0,34,2.038062
0.0,14,2.125682
0.0,25,2.233941
0.0,4,2.241826
0.0,2,2.304701
0.0,7,2.318313
0.0,7,2.332524
0.0,9,2.408826
0.0,17,2.501038
0.0,9,2.518901
0.0,7,2.591082
0.0,4,2.598757
0.0,17,2.691757
0.0,5,2.70193
0.0,34,2.886133
0.0,4,2.952617
0.0,13,2.977938
0.0,10,3.055672
0.0,2,3.059823
0.0,9,3.137442
0.0,7,3.15164
0.0,3,3.157452
0.0,3,3.163865
0.0,8,3.239845
0.0,23,3.343676
0.0,5,3.412639
0.0,9,3.430941
0.0,7,3.444508
0.0,12,3.526313
0.0,8,3.600057
0.0,25,3.708767
0.0,10,3.787029
0.0,12,3.810412
0.0,15,3.89916
0.0,4,3.966233
1.0,9,3.983859
1.0,12,4.06547
0.0,16,4.155751
0.0,7,4.169265
0.0,10,4.248526
0.0,12,4.272537
0.0,8,4.357037
0.0,10,4.38256
0.0,13,4.47008
0.0,4,4.477724
0.0,3,4.54255
0.0,7,4.556607
0.0,3,4.562614
0.0,8,4.637278
1.0,23,4.741949
0.0,4,4.749881
0.0,5,4.818869
0.0,7,4.832951
0.0,2,4.837151
1.0,12,4.919499
0.0,6,4.931273
0.0,2,4.935566
1.0,14,5.022478
0.0,5,5.032803
0.0,3,5.096993
1.0,10,5.118426
0.0,14,5.207043
0.0,3,5.213214
0.0,11,5.295305
1.0,7,5.309077
0.0,7,5.381938
0.0,2,5.386646
1.0,10,5.406966
0.0,2,5.411422
