# {"t_start": 1636398183.677242, "env_id": "FrozenLake-v1"} 
r,l,t
0.0,2,0.022768
0.0,10,0.032546
0.0,4,0.036066
0.0,2,0.067289
0.0,14,0.078305
0.0,13,0.113053
0.0,25,0.183566
0.0,16,0.22169
0.0,7,0.227103
0.0,10,0.25954
0.0,9,0.266456
0.0,2,0.268197
0.0,8,0.299461
0.0,4,0.302458
0.0,3,0.304769
0.0,5,0.308669
0.0,9,0.340374
0.0,4,0.343537
0.0,10,0.376525
0.0,3,0.378907
0.0,4,0.382441
0.0,10,0.415749
0.0,11,0.425263
0.0,3,0.452385
0.0,7,0.457731
0.0,3,0.460034
0.0,4,0.463091
0.0,11,0.496307
0.0,9,0.528099
0.0,2,0.529848
0.0,10,0.538668
0.0,7,0.569192
0.0,17,0.607769
0.0,8,0.613921
0.0,2,0.615671
0.0,8,0.646456
0.0,2,0.648026
0.0,10,0.656461
0.0,9,0.688935
0.0,3,0.69165
0.0,12,0.726059
0.0,3,0.728615
0.0,3,0.731252
0.0,2,0.732944
0.0,7,0.763766
0.0,10,0.77229
0.0,10,0.805168
0.0,2,0.806856
0.0,5,0.811138
0.0,11,0.84478
0.0,3,0.847196
0.0,2,0.848953
0.0,5,0.877729
0.0,8,0.884586
0.0,3,0.887279
0.0,7,0.917884
0.0,10,0.925671
0.0,5,0.954401
0.0,4,0.95756
0.0,4,0.960996
0.0,6,0.966105
0.0,15,1.002319
0.0,10,1.034756
0.0,2,1.036331
0.0,16,1.074029
0.0,2,1.075789
0.0,8,1.082507
0.0,5,1.110817
0.0,8,1.117548
0.0,4,1.120891
0.0,3,1.147842
0.0,8,1.154122
0.0,6,1.158694
0.0,5,1.187234
0.0,7,1.193096
0.0,7,1.223553
0.0,7,1.229923
0.0,2,1.231628
0.0,8,1.262712
0.0,6,1.2674
1.0,14,1.303893
0.0,10,1.311989
0.0,15,1.34893
0.0,6,1.378739
0.0,4,1.381956
0.0,6,1.38717
0.0,2,1.389032
0.0,6,1.418335
0.0,8,1.425064
0.0,2,1.426911
0.0,8,1.45776
0.0,2,1.459294
0.0,4,1.462457
0.0,11,1.495479
0.0,6,1.500608
0.0,3,1.503107
0.0,5,1.53171
0.0,4,1.534992
0.0,5,1.538886
0.0,3,1.541415
0.0,16,1.5792
0.0,10,1.611686
0.0,5,1.615665
0.0,6,1.62051
0.0,4,1.648138
0.0,7,1.653501
0.0,11,1.687523
0.0,2,1.689108
0.0,2,1.69063
0.0,6,1.695675
0.0,16,1.733535
0.0,6,1.763358
0.0,8,1.770011
0.0,6,1.775312
0.0,4,1.803139
0.0,7,1.809068
0.0,3,1.811782
0.0,7,1.841894
0.0,2,1.843466
0.0,5,1.84731
0.0,3,1.849845
0.0,5,1.878532
0.0,3,1.880984
0.0,3,1.883321
0.0,4,1.886671
0.0,8,1.91853
0.0,3,1.921261
0.0,4,1.924937
0.0,4,1.928514
0.0,10,1.961674
0.0,9,1.968715
0.0,10,2.001211
0.0,4,2.004729
0.0,2,2.006524
0.0,9,2.038135
0.0,10,2.046148
0.0,9,2.078762
0.0,6,2.0843
0.0,6,2.114278
0.0,14,2.12583
0.0,4,2.15359
0.0,5,2.157858
0.0,3,2.160521
0.0,2,2.162307
0.0,10,2.195687
0.0,5,2.200064
0.0,10,2.232969
0.0,7,2.239155
1.0,13,2.274603
0.0,7,2.28102
0.0,3,2.308551
0.0,3,2.311092
0.0,4,2.314471
0.0,3,2.317092
0.0,10,2.351226
0.0,7,2.357651
0.0,2,2.359386
0.0,8,2.390901
0.0,4,2.39456
0.0,2,2.396395
0.0,10,2.429933
0.0,3,2.432366
0.0,2,2.434121
0.0,2,2.435722
0.0,3,2.438522
0.0,9,2.470946
0.0,17,2.510601
0.0,12,2.521171
0.0,6,2.551418
0.0,4,2.554823
0.0,2,2.556615
0.0,18,2.596495
0.0,6,2.626329
0.0,8,2.633648
0.0,4,2.637076
0.0,11,2.671125
0.0,4,2.674716
0.0,9,2.707345
0.0,11,2.717445
0.0,7,2.747865
0.0,3,2.750559
0.0,3,2.753313
0.0,9,2.786061
0.0,4,2.789319
0.0,5,2.793665
0.0,3,2.79617
1.0,8,2.827698
0.0,2,2.829536
0.0,3,2.832511
0.0,6,2.837768
0.0,3,2.864848
0.0,10,2.87313
0.0,10,2.90705
0.0,2,2.908915
0.0,14,2.945913
0.0,8,2.95301
0.0,3,2.95573
0.0,10,2.989113
0.0,4,2.992764
0.0,4,2.996454
0.0,5,3.025337
0.0,3,3.027938
1.0,6,3.033439
0.0,2,3.035261
0.0,10,3.068836
0.0,5,3.073444
0.0,3,3.076211
0.0,3,3.103625
0.0,2,3.105208
0.0,4,3.108846
0.0,3,3.111498
0.0,2,3.113285
0.0,2,3.115039
0.0,5,3.14411
0.0,5,3.148384
0.0,2,3.150315
0.0,2,3.152011
0.0,5,3.181158
0.0,2,3.18302
0.0,2,3.184746
1.0,10,3.193729
0.0,5,3.222698
0.0,7,3.228852
0.0,4,3.232582
0.0,2,3.234395
1.0,6,3.264214
0.0,6,3.269699
0.0,2,3.271615
0.0,2,3.273348
1.0,9,3.306106
0.0,6,3.311691
0.0,2,3.313594
0.0,3,3.340936
1.0,7,3.346986
1.0,7,3.353403
1.0,8,3.385073
0.0,2,3.386751
0.0,6,3.392366
0.0,7,3.423219
0.0,6,3.42803
1.0,11,3.461972
0.0,3,3.464783
0.0,6,3.470576
1.0,9,3.502823
1.0,7,3.509376
1.0,7,3.54001
0.0,5,3.544382
0.0,7,3.551084
0.0,6,3.580819
1.0,6,3.586115
0.0,4,3.589996
1.0,9,3.622743
1.0,7,3.629156
1.0,6,3.659002
0.0,2,3.660712
1.0,8,3.668158
0.0,2,3.669985
1.0,8,3.701439
1.0,7,3.707563
0.0,3,3.710387
0.0,4,3.738663
0.0,8,3.745908
0.0,5,3.750564
0.0,2,3.752373
1.0,10,3.785714
0.0,2,3.787543
0.0,3,3.790109
0.0,2,3.791846
1.0,8,3.822854
1.0,9,3.831064
0.0,5,3.860034
0.0,3,3.86257
0.0,5,3.867057
0.0,3,3.869917
0.0,2,3.871742
0.0,3,3.898441
0.0,4,3.901772
0.0,2,3.903581
0.0,7,3.909964
1.0,9,3.942342
1.0,8,3.949454
0.0,6,3.979825
0.0,2,3.981733
1.0,6,3.987159
1.0,8,4.018077
0.0,3,4.020845
0.0,4,4.024546
0.0,3,4.02726
0.0,2,4.029096
0.0,4,4.057023
1.0,6,4.062106
0.0,2,4.063965
1.0,8,4.095534
1.0,6,4.100895
0.0,3,4.103693
1.0,7,4.134243
1.0,7,4.140788
1.0,6,4.146265
1.0,8,4.177472
0.0,3,4.180187
0.0,2,4.182047
1.0,7,4.188504
0.0,2,4.214199
1.0,9,4.221574
1.0,7,4.251132
0.0,2,4.252877
0.0,3,4.255502
1.0,8,4.262494
1.0,6,4.292373
0.0,3,4.29493
1.0,6,4.300231
0.0,4,4.304217
1.0,7,4.335623
1.0,7,4.341797
0.0,3,4.34466
1.0,7,4.374747
1.0,8,4.381995
0.0,2,4.383851
1.0,6,4.413452
0.0,2,4.415149
0.0,7,4.421451
0.0,5,4.450331
1.0,6,4.455836
1.0,6,4.461214
1.0,6,4.491186
1.0,9,4.498867
1.0,7,4.529722
1.0,6,4.53505
0.0,2,4.536822
0.0,3,4.539569
0.0,2,4.541338
0.0,2,4.54324
1.0,9,4.575549
0.0,2,4.57743
1.0,6,4.582765
0.0,2,4.6089
1.0,8,4.616063
1.0,9,4.648812
1.0,6,4.654122
1.0,6,4.659455
0.0,5,4.688379
0.0,5,4.692616
1.0,6,4.698065
1.0,9,4.730184
1.0,6,4.735375
0.0,2,4.737121
0.0,5,4.765678
1.0,8,4.772526
1.0,6,4.777896
0.0,2,4.779834
1.0,6,4.80966
1.0,7,4.815721
1.0,8,4.847494
0.0,2,4.849117
1.0,7,4.855249
1.0,6,4.884957
0.0,3,4.887491
1.0,7,4.893778
1.0,8,4.92533
1.0,8,4.932351
0.0,3,4.93508
0.0,2,4.936711
1.0,6,4.966404
1.0,6,4.97129
0.0,2,4.972922
0.0,5,5.001838
1.0,7,5.008203
1.0,7,5.014429
0.0,3,5.041491
0.0,3,5.044045
0.0,3,5.046636
0.0,3,5.049196
1.0,6,5.054845
1.0,7,5.086385
1.0,6,5.091757
1.0,6,5.121536
1.0,6,5.127155
1.0,7,5.133395
1.0,6,5.163268
1.0,6,5.16863
1.0,6,5.173837
0.0,3,5.201361
0.0,2,5.203189
1.0,6,5.208505
1.0,6,5.213752
0.0,3,5.241536
1.0,6,5.246952
1.0,8,5.254242
0.0,3,5.281727
1.0,7,5.287752
1.0,7,5.293992
0.0,3,5.321421
1.0,6,5.326678
1.0,6,5.332044
1.0,7,5.362661
1.0,6,5.367596
1.0,6,5.373016
0.0,3,5.399463
1.0,8,5.406327
1.0,6,5.411626
0.0,3,5.43909
1.0,6,5.444058
0.0,2,5.445745
1.0,6,5.451181
0.0,3,5.47824
1.0,6,5.483234
1.0,6,5.488532
0.0,5,5.51703
0.0,2,5.518892
1.0,6,5.523938
1.0,6,5.529086
0.0,3,5.556247
1.0,6,5.56165
1.0,7,5.567919
1.0,6,5.597582
1.0,6,5.602785
1.0,6,5.608015
0.0,2,5.609796
1.0,6,5.639477
1.0,6,5.644687
0.0,5,5.649181
0.0,2,5.675513
1.0,6,5.680921
1.0,6,5.686257
1.0,6,5.715501
1.0,6,5.720493
1.0,6,5.725847
0.0,3,5.752758
1.0,7,5.758742
1.0,9,5.766728
0.0,2,5.792924
0.0,2,5.794753
0.0,3,5.797265
1.0,6,5.802769
1.0,8,5.834464
1.0,7,5.840696
1.0,6,5.846088
0.0,2,5.872444
1.0,7,5.878356
1.0,6,5.883851
0.0,3,5.911042
1.0,6,5.915953
1.0,6,5.921266
1.0,8,5.952436
0.0,3,5.955145
1.0,6,5.960628
0.0,2,5.962366
0.0,3,5.989259
0.0,2,5.99114
0.0,3,5.993682
0.0,3,5.996262
1.0,6,6.001635
0.0,3,6.028774
1.0,6,6.033794
1.0,6,6.038983
0.0,5,6.067898
1.0,6,6.07292
1.0,6,6.078199
