# {"t_start": 1636398183.676482, "env_id": "FrozenLake-v1"} 
r,l,t
0.0,6,0.027241
0.0,5,0.032292
0.0,3,0.035089
0.0,15,0.076503
0.0,14,0.11209
0.0,7,0.118095
0.0,4,0.145838
0.0,13,0.157111
0.0,2,0.183522
0.0,25,0.228648
0.0,13,0.263317
0.0,3,0.265639
0.0,7,0.271422
0.0,4,0.299314
0.0,7,0.304751
0.0,4,0.307852
0.0,3,0.310193
0.0,5,0.338775
0.0,2,0.340334
0.0,7,0.345879
0.0,6,0.375726
0.0,8,0.382273
0.0,3,0.38499
0.0,2,0.3867
0.0,4,0.414692
0.0,10,0.423351
0.0,14,0.459286
0.0,11,0.492386
0.0,3,0.494665
0.0,2,0.496313
0.0,3,0.498619
0.0,14,0.534963
0.0,2,0.536755
0.0,3,0.539395
0.0,6,0.569178
0.0,5,0.573297
0.0,11,0.606949
0.0,7,0.612278
0.0,6,0.617317
0.0,11,0.650312
0.0,4,0.653728
0.0,11,0.687806
0.0,4,0.691522
0.0,9,0.723633
0.0,3,0.726021
0.0,18,0.766246
0.0,16,0.804293
0.0,6,0.809402
0.0,6,0.83897
0.0,6,0.843792
0.0,4,0.847112
0.0,9,0.879415
0.0,5,0.883547
0.0,11,0.917799
0.0,8,0.924093
0.0,4,0.92721
0.0,13,0.962715
0.0,17,1.000692
0.0,4,1.003832
0.0,8,1.034678
0.0,10,1.043054
0.0,10,1.075625
0.0,12,1.109946
0.0,2,1.111552
0.0,4,1.114923
0.0,4,1.118278
0.0,2,1.120003
0.0,12,1.154058
0.0,3,1.15643
0.0,2,1.157917
0.0,9,1.18982
0.0,4,1.192919
0.0,10,1.226101
0.0,12,1.236802
0.0,4,1.26428
0.0,2,1.265909
0.0,7,1.271585
0.0,2,1.273112
0.0,4,1.301439
0.0,2,1.303099
0.0,13,1.313667
0.0,4,1.341788
0.0,6,1.346523
0.0,3,1.348884
0.0,12,1.383574
0.0,8,1.390717
0.0,7,1.420675
0.0,6,1.425798
0.0,8,1.456887
0.0,3,1.459305
0.0,20,1.499691
0.0,5,1.503841
0.0,6,1.53335
0.0,5,1.537176
0.0,6,1.542142
0.0,10,1.575128
0.0,25,1.619497
0.0,5,1.648036
0.0,2,1.649667
0.0,7,1.655129
0.0,2,1.656781
0.0,15,1.694005
0.0,11,1.727486
0.0,2,1.72929
0.0,6,1.734265
0.0,2,1.736104
0.0,2,1.737799
0.0,2,1.76409
0.0,6,1.768906
0.0,8,1.776044
0.0,3,1.803142
0.0,7,1.809033
0.0,3,1.811674
0.0,3,1.81425
0.0,10,1.846529
0.0,3,1.848884
0.0,15,1.885785
0.0,2,1.887404
0.0,6,1.892723
0.0,9,1.925652
0.0,4,1.929244
0.0,8,1.960759
0.0,5,1.964766
0.0,4,1.967866
0.0,4,1.971135
0.0,8,2.001947
0.0,3,2.004686
0.0,4,2.008099
0.0,2,2.009735
0.0,6,2.03887
0.0,7,2.044416
1.0,7,2.074986
0.0,3,2.077669
0.0,6,2.083215
0.0,2,2.085026
0.0,2,2.086762
0.0,9,2.118963
