# {"t_start": 1636398183.688021, "env_id": "FrozenLake-v1"} 
r,l,t
0.0,9,0.019438
0.0,11,0.05845
0.0,4,0.061695
0.0,8,0.067942
0.0,7,0.097506
0.0,8,0.104427
0.0,7,0.134721
0.0,4,0.138135
0.0,3,0.140844
0.0,6,0.146052
0.0,8,0.177428
0.0,7,0.183502
0.0,8,0.214357
0.0,16,0.251415
0.0,10,0.259444
0.0,11,0.292845
0.0,3,0.295195
0.0,2,0.296749
0.0,16,0.33396
0.0,2,0.3357
0.0,2,0.337422
0.0,13,0.373043
0.0,8,0.404536
0.0,9,0.412226
0.0,17,0.450414
0.0,2,0.451936
0.0,4,0.479606
0.0,14,0.490719
0.0,7,0.521356
0.0,10,0.530029
0.0,4,0.558044
0.0,5,0.5622
0.0,3,0.564597
0.0,2,0.566258
1.0,18,0.605338
0.0,9,0.636881
0.0,5,0.640879
0.0,6,0.646138
0.0,17,0.685509
0.0,2,0.71169
0.0,14,0.723463
0.0,23,0.792333
0.0,3,0.794877
0.0,10,0.827882
0.0,17,0.8665
0.0,10,0.875204
0.0,7,0.905882
0.0,6,0.91054
0.0,6,0.915279
0.0,15,0.952446
0.0,2,0.954053
0.0,10,0.986523
0.0,7,0.991928
0.0,9,1.023578
0.0,3,1.026034
0.0,9,1.033587
0.0,2,1.059454
0.0,13,1.070487
0.0,4,1.09802
0.0,4,1.101404
0.0,19,1.141338
0.0,16,1.1787
0.0,2,1.180236
0.0,17,1.219561
0.0,9,1.251454
0.0,9,1.258785
0.0,8,1.29038
0.0,4,1.293532
0.0,2,1.295076
0.0,2,1.296587
0.0,11,1.330725
0.0,4,1.333878
0.0,11,1.367558
0.0,4,1.370786
1.0,17,1.409682
0.0,10,1.418245
0.0,11,1.451269
0.0,5,1.455144
0.0,9,1.486653
0.0,3,1.489424
0.0,5,1.493587
0.0,5,1.522251
0.0,4,1.525265
1.0,12,1.559982
0.0,20,1.600459
0.0,7,1.606053
0.0,3,1.608482
0.0,5,1.636931
0.0,12,1.646535
0.0,3,1.649223
0.0,2,1.675482
0.0,6,1.680398
0.0,4,1.683648
0.0,4,1.687076
1.0,17,1.725859
0.0,6,1.755413
0.0,3,1.757747
0.0,16,1.796269
0.0,4,1.799669
0.0,25,1.868995
0.0,8,1.875496
0.0,9,1.908184
0.0,4,1.911884
0.0,3,1.914588
0.0,5,1.919005
0.0,8,1.950473
0.0,5,1.95442
0.0,10,1.986665
0.0,9,1.99441
0.0,12,2.028611
0.0,6,2.033275
0.0,2,2.034927
0.0,6,2.064797
0.0,6,2.070406
0.0,10,2.103944
0.0,8,2.110418
0.0,2,2.112135
0.0,14,2.148378
0.0,5,2.153027
0.0,3,2.180362
0.0,12,2.19056
0.0,2,2.192403
0.0,6,2.221755
0.0,2,2.223457
0.0,3,2.226072
0.0,5,2.230677
0.0,7,2.260891
0.0,6,2.266263
0.0,6,2.271676
0.0,9,2.304168
0.0,7,2.310431
0.0,10,2.344451
0.0,5,2.349053
0.0,7,2.379713
0.0,9,2.387797
0.0,9,2.420387
0.0,3,2.422935
0.0,7,2.428983
0.0,6,2.458778
0.0,4,2.462341
0.0,2,2.464065
0.0,21,2.507378
0.0,3,2.50996
0.0,16,2.549064
0.0,4,2.577289
0.0,3,2.579732
0.0,2,2.581239
0.0,10,2.58978
0.0,4,2.61785
0.0,14,2.654629
0.0,6,2.659911
0.0,10,2.668664
0.0,4,2.697088
0.0,4,2.700703
0.0,4,2.704443
0.0,9,2.736609
0.0,5,2.741145
0.0,4,2.744746
0.0,3,2.747689
0.0,3,2.77487
0.0,7,2.78064
0.0,3,2.783274
0.0,3,2.785902
0.0,4,2.813773
0.0,2,2.815585
0.0,2,2.817434
0.0,4,2.821279
0.0,7,2.827447
0.0,3,2.854575
0.0,10,2.862824
0.0,4,2.866525
0.0,3,2.894003
0.0,11,2.90403
0.0,4,2.932223
0.0,2,2.933871
0.0,3,2.936385
0.0,5,2.940843
0.0,3,2.943563
0.0,5,2.972686
0.0,4,2.976142
0.0,7,2.982458
1.0,12,3.017683
0.0,8,3.024958
0.0,6,3.054897
0.0,4,3.05853
0.0,5,3.063122
1.0,15,3.101155
0.0,2,3.102915
0.0,6,3.132917
0.0,4,3.136292
0.0,3,3.139078
0.0,12,3.174374
0.0,6,3.179893
0.0,3,3.18252
1.0,9,3.214919
0.0,4,3.218519
0.0,2,3.220437
1.0,12,3.255805
0.0,3,3.258374
0.0,2,3.260405
0.0,3,3.263005
0.0,5,3.29216
0.0,3,3.294844
0.0,2,3.296783
0.0,7,3.303287
0.0,3,3.330663
0.0,3,3.333352
0.0,2,3.334973
0.0,4,3.338378
0.0,3,3.341139
0.0,3,3.343932
0.0,6,3.373907
0.0,2,3.375562
0.0,5,3.380248
0.0,6,3.410402
1.0,11,3.419407
0.0,3,3.421934
0.0,3,3.448896
1.0,6,3.45447
1.0,6,3.46025
0.0,4,3.463703
1.0,6,3.493508
0.0,3,3.496334
1.0,6,3.50169
1.0,11,3.53611
0.0,2,3.538045
0.0,2,3.539863
0.0,3,3.542584
1.0,7,3.573075
0.0,2,3.574892
0.0,2,3.576809
0.0,2,3.578661
0.0,5,3.583286
0.0,2,3.60987
1.0,8,3.61702
0.0,6,3.622485
0.0,4,3.650476
1.0,11,3.660634
0.0,3,3.663344
0.0,3,3.690246
0.0,4,3.693575
1.0,6,3.69911
0.0,5,3.728337
0.0,2,3.730215
0.0,6,3.735604
0.0,5,3.740255
0.0,5,3.769162
1.0,6,3.774537
0.0,2,3.776303
1.0,8,3.807565
1.0,6,3.812648
1.0,6,3.817883
0.0,2,3.819846
0.0,3,3.847111
0.0,4,3.85048
1.0,8,3.857769
0.0,4,3.861452
0.0,5,3.8898
0.0,4,3.89336
0.0,11,3.927769
1.0,8,3.934684
1.0,7,3.965743
1.0,9,3.974016
0.0,3,3.976834
0.0,6,4.005866
0.0,2,4.007776
0.0,2,4.009611
1.0,7,4.016043
0.0,5,4.044978
0.0,5,4.049248
0.0,4,4.052745
0.0,4,4.05642
1.0,7,4.087022
0.0,5,4.091527
1.0,6,4.096791
0.0,3,4.124074
1.0,8,4.131328
1.0,7,4.137779
1.0,7,4.168018
1.0,8,4.175413
0.0,2,4.177232
1.0,7,4.207002
1.0,6,4.211963
1.0,9,4.243503
1.0,6,4.248504
0.0,2,4.250359
1.0,7,4.281174
0.0,2,4.282838
0.0,3,4.285425
1.0,7,4.291802
0.0,5,4.321747
0.0,4,4.325336
1.0,9,4.333405
0.0,3,4.360375
1.0,9,4.368031
1.0,6,4.373559
0.0,5,4.40231
0.0,5,4.406557
1.0,6,4.412005
0.0,3,4.439145
1.0,6,4.444607
0.0,2,4.446447
1.0,7,4.452722
1.0,7,4.483305
0.0,2,4.484976
1.0,6,4.490292
0.0,2,4.492171
1.0,6,4.522147
0.0,7,4.528331
1.0,7,4.559313
1.0,6,4.564377
1.0,6,4.569813
1.0,6,4.599534
1.0,6,4.604887
0.0,3,4.607519
1.0,6,4.63754
1.0,6,4.642862
1.0,8,4.650109
0.0,3,4.677194
1.0,6,4.68229
0.0,5,4.686892
1.0,9,4.718984
1.0,6,4.724182
1.0,7,4.730373
0.0,4,4.757952
1.0,6,4.763009
1.0,6,4.768589
1.0,8,4.800009
1.0,6,4.805368
1.0,7,4.836304
0.0,5,4.840341
1.0,6,4.845825
0.0,2,4.847746
1.0,6,4.877223
1.0,6,4.882548
1.0,6,4.887794
0.0,2,4.914141
1.0,6,4.919289
1.0,6,4.924725
0.0,2,4.926342
1.0,7,4.956802
1.0,6,4.961704
1.0,9,4.994218
0.0,2,4.996054
1.0,6,5.001454
1.0,7,5.032045
0.0,5,5.036283
1.0,6,5.041638
0.0,3,5.044588
1.0,6,5.07514
1.0,7,5.081441
1.0,8,5.113122
1.0,6,5.11858
1.0,6,5.123941
0.0,3,5.151002
0.0,2,5.153021
1.0,6,5.158353
1.0,8,5.165356
0.0,2,5.192
1.0,6,5.197325
1.0,6,5.202523
1.0,7,5.234019
1.0,6,5.239337
0.0,2,5.241114
1.0,8,5.273158
1.0,6,5.278433
0.0,3,5.281046
1.0,6,5.311173
1.0,6,5.316408
1.0,6,5.32178
0.0,5,5.350652
1.0,7,5.35642
1.0,6,5.361794
1.0,6,5.390815
1.0,6,5.396003
1.0,6,5.401332
0.0,3,5.428795
1.0,7,5.434548
0.0,3,5.437299
1.0,7,5.467976
1.0,6,5.472929
0.0,5,5.47729
1.0,7,5.5077
1.0,7,5.513591
1.0,6,5.518794
0.0,3,5.545975
1.0,6,5.551382
1.0,8,5.558493
0.0,4,5.586376
1.0,6,5.59156
1.0,6,5.596808
1.0,8,5.628241
1.0,7,5.634359
0.0,2,5.636275
1.0,6,5.666192
0.0,3,5.668674
0.0,3,5.671512
1.0,6,5.676874
0.0,3,5.703488
1.0,6,5.708479
0.0,2,5.710145
1.0,6,5.715529
0.0,3,5.742477
1.0,6,5.747559
1.0,6,5.752861
0.0,2,5.754713
0.0,3,5.781692
1.0,6,5.786991
1.0,8,5.794132
0.0,3,5.821349
1.0,6,5.826771
0.0,4,5.830428
0.0,3,5.833002
0.0,5,5.862066
1.0,6,5.867171
1.0,6,5.872661
0.0,5,5.901567
0.0,3,5.904026
0.0,2,5.905571
1.0,6,5.910922
1.0,7,5.941186
1.0,6,5.946659
1.0,6,5.952064
0.0,3,5.978969
1.0,6,5.984216
1.0,6,5.989588
0.0,5,6.018519
1.0,6,6.023498
1.0,6,6.028736
1.0,7,6.05922
1.0,6,6.064361
1.0,7,6.070567
1.0,6,6.099621
1.0,6,6.104827
1.0,6,6.110226
0.0,2,6.136233
1.0,6,6.141376
0.0,4,6.144742
1.0,7,6.175675
1.0,6,6.180788
1.0,7,6.187099
0.0,3,6.214248
0.0,2,6.215883
1.0,6,6.221056
1.0,6,6.226358
0.0,3,6.253568
1.0,6,6.258518
1.0,6,6.263834
1.0,7,6.294044
1.0,6,6.299141
1.0,6,6.304521
0.0,3,6.331089
1.0,6,6.336006
1.0,7,6.342079
0.0,2,6.343848
1.0,6,6.373767
1.0,6,6.379117
1.0,8,6.410586
1.0,7,6.416531
1.0,7,6.422725
1.0,6,6.452388
1.0,6,6.457665
1.0,6,6.462788
0.0,2,6.488973
1.0,7,6.494602
0.0,3,6.497293
0.0,2,6.499231
1.0,6,6.528826
1.0,7,6.534973
1.0,6,6.540187
1.0,6,6.56976
1.0,6,6.575123
0.0,2,6.576981
1.0,7,6.607433
1.0,6,6.612642
1.0,6,6.617885
0.0,3,6.645297
1.0,6,6.650453
1.0,6,6.655789
1.0,7,6.686209
1.0,6,6.691458
1.0,6,6.696769
0.0,3,6.723895
1.0,7,6.72991
1.0,6,6.735203
1.0,7,6.765841
1.0,6,6.771069
0.0,3,6.773641
1.0,7,6.804305
1.0,6,6.809218
1.0,7,6.815508
1.0,6,6.844966
1.0,6,6.85029
1.0,6,6.855658
0.0,4,6.883564
1.0,6,6.888803
1.0,7,6.894926
1.0,6,6.924524
1.0,6,6.929882
1.0,6,6.959868
1.0,6,6.96495
1.0,7,6.97105
1.0,6,7.000902
0.0,4,7.004238
1.0,7,7.010411
1.0,6,7.040315
1.0,6,7.045425
1.0,6,7.050788
0.0,3,7.077658
1.0,6,7.08258
1.0,6,7.087398
1.0,8,7.118813
1.0,6,7.124175
1.0,6,7.129578
1.0,6,7.159057
1.0,6,7.164262
0.0,2,7.165982
0.0,5,7.194781
1.0,6,7.199709
1.0,6,7.205002
0.0,5,7.233747
1.0,6,7.238693
1.0,7,7.244937
1.0,6,7.274487
0.0,4,7.278129
1.0,6,7.283407
0.0,5,7.31228
1.0,6,7.317516
1.0,6,7.322794
1.0,8,7.354402
1.0,7,7.360473
1.0,6,7.365748
0.0,2,7.391469
1.0,6,7.396715
1.0,6,7.401902
1.0,6,7.431216
1.0,6,7.4363
1.0,6,7.44155
0.0,3,7.468499
1.0,7,7.474285
0.0,2,7.476315
1.0,6,7.481546
