# {"t_start": 1636398183.6693609, "env_id": "FrozenLake-v1"} 
r,l,t
0.0,8,0.036258
0.0,5,0.041199
0.0,11,0.079766
0.0,4,0.082827
0.0,10,0.11474
0.0,2,0.116557
0.0,13,0.151926
0.0,3,0.154484
0.0,2,0.156211
0.0,4,0.159876
0.0,8,0.191374
0.0,4,0.194639
0.0,2,0.196483
0.0,4,0.199972
1.0,17,0.237999
0.0,3,0.240413
0.0,13,0.275069
1.0,23,0.342574
0.0,9,0.349701
0.0,15,0.386734
0.0,4,0.390236
0.0,8,0.421744
0.0,6,0.426891
0.0,6,0.432135
0.0,31,0.50569
0.0,7,0.53592
0.0,2,0.537657
0.0,8,0.544737
0.0,5,0.549037
0.0,7,0.579448
0.0,10,0.587753
0.0,12,0.62173
0.0,16,0.658934
1.0,9,0.691243
0.0,4,0.694872
0.0,3,0.697601
0.0,7,0.703667
0.0,5,0.732212
0.0,4,0.735527
0.0,6,0.740748
0.0,5,0.769787
0.0,6,0.774901
0.0,5,0.779236
0.0,8,0.810377
0.0,20,0.851623
0.0,9,0.859486
0.0,2,0.885517
0.0,7,0.891488
0.0,2,0.893305
0.0,3,0.895983
0.0,2,0.897725
0.0,15,0.934283
0.0,3,0.93667
0.0,6,0.966239
0.0,3,0.968819
0.0,8,0.975679
0.0,17,1.013204
0.0,2,1.039175
0.0,4,1.042584
0.0,2,1.044154
0.0,15,1.080821
0.0,16,1.118597
0.0,34,1.195037
0.0,6,1.199973
0.0,8,1.231374
0.0,4,1.23497
0.0,21,1.27679
0.0,7,1.282875
0.0,10,1.31561
0.0,3,1.318152
0.0,2,1.3198
1.0,16,1.357601
0.0,8,1.388861
0.0,7,1.394941
0.0,2,1.39685
0.0,8,1.427749
0.0,7,1.433757
0.0,4,1.437252
0.0,25,1.505725
0.0,5,1.510048
0.0,2,1.51173
0.0,3,1.514253
0.0,7,1.544249
0.0,4,1.547527
0.0,23,1.590849
0.0,2,1.616804
0.0,12,1.626571
0.0,3,1.629162
0.0,10,1.661326
0.0,7,1.667306
0.0,8,1.69844
0.0,14,1.734556
0.0,21,1.776771
0.0,15,1.814359
0.0,22,1.856768
0.0,4,1.859969
0.0,9,1.892005
0.0,3,1.894481
0.0,4,1.89797
0.0,3,1.925418
0.0,5,1.929996
0.0,5,1.934486
0.0,4,1.938055
0.0,2,1.939915
0.0,17,1.978208
0.0,4,2.005656
0.0,4,2.009023
0.0,5,2.013459
0.0,3,2.015996
0.0,17,2.053976
0.0,3,2.081199
0.0,2,2.082887
0.0,2,2.084706
0.0,4,2.088398
0.0,6,2.093806
0.0,12,2.128469
0.0,2,2.130278
0.0,4,2.133653
0.0,6,2.162977
0.0,6,2.168346
0.0,3,2.171089
0.0,7,2.201802
0.0,3,2.204395
0.0,6,2.209577
0.0,8,2.240778
0.0,6,2.245979
0.0,2,2.247889
0.0,4,2.251414
0.0,4,2.278927
0.0,5,2.283338
0.0,3,2.286132
0.0,9,2.318918
0.0,9,2.326641
0.0,5,2.356354
0.0,5,2.360697
0.0,3,2.363463
0.0,13,2.399609
0.0,4,2.403249
0.0,4,2.40683
0.0,2,2.408717
0.0,8,2.440192
0.0,5,2.444454
0.0,10,2.477815
0.0,6,2.48314
0.0,4,2.486709
0.0,2,2.488604
0.0,5,2.517478
0.0,2,2.519336
0.0,2,2.521199
0.0,6,2.526391
0.0,7,2.557321
0.0,8,2.564419
0.0,4,2.568084
0.0,11,2.601809
0.0,2,2.60346
0.0,2,2.60514
0.0,5,2.63413
0.0,16,2.672683
0.0,4,2.676096
0.0,2,2.678037
0.0,3,2.680687
0.0,8,2.712523
0.0,3,2.715173
0.0,5,2.719792
1.0,9,2.752152
0.0,6,2.757403
0.0,2,2.759233
1.0,7,2.765728
0.0,11,2.799647
1.0,10,2.832815
0.0,5,2.837316
0.0,2,2.839296
0.0,16,2.877592
0.0,2,2.879307
1.0,9,2.911989
0.0,2,2.913976
0.0,2,2.91574
1.0,10,2.924864
0.0,7,2.955407
0.0,8,2.962605
0.0,8,2.994175
0.0,6,2.999617
0.0,2,3.001489
0.0,2,3.003322
1.0,7,3.033903
0.0,2,3.035727
0.0,6,3.041245
0.0,4,3.069456
0.0,6,3.074825
1.0,8,3.08217
0.0,7,3.113036
0.0,2,3.114864
0.0,9,3.122823
0.0,4,3.151036
0.0,7,3.157108
0.0,5,3.161582
0.0,3,3.188965
1.0,8,3.196177
1.0,9,3.228691
1.0,6,3.233969
0.0,4,3.23755
0.0,3,3.240383
0.0,5,3.269483
0.0,5,3.273812
0.0,4,3.277483
0.0,7,3.308399
1.0,9,3.316723
0.0,3,3.319512
1.0,8,3.351372
0.0,5,3.355684
0.0,2,3.357461
0.0,3,3.360229
0.0,7,3.39113
0.0,2,3.392901
0.0,5,3.397316
0.0,3,3.400172
0.0,2,3.402
1.0,13,3.437444
0.0,3,3.440025
0.0,3,3.466983
0.0,2,3.468845
1.0,7,3.47537
0.0,2,3.477354
1.0,6,3.506919
0.0,3,3.509679
0.0,2,3.511574
0.0,3,3.514349
1.0,8,3.521646
0.0,4,3.549601
0.0,5,3.554112
0.0,2,3.555993
1.0,7,3.58678
0.0,4,3.590267
1.0,6,3.595883
0.0,2,3.597779
0.0,3,3.60054
0.0,3,3.627908
0.0,3,3.630569
1.0,7,3.636958
1.0,8,3.668536
0.0,2,3.67032
0.0,2,3.672355
0.0,5,3.676893
0.0,5,3.681534
0.0,5,3.710054
0.0,3,3.712637
0.0,4,3.716242
0.0,3,3.719077
