# {"t_start": 1636398183.6855822, "env_id": "FrozenLake-v1"} 
r,l,t
0.0,2,0.014901
0.0,4,0.018565
0.0,17,0.063175
0.0,10,0.071146
0.0,2,0.096631
0.0,18,0.136313
0.0,7,0.142398
0.0,2,0.144179
0.0,8,0.175716
0.0,22,0.218346
1.0,7,0.223827
0.0,9,0.255323
0.0,2,0.256948
0.0,3,0.259398
0.0,32,0.333987
0.0,3,0.336337
0.0,4,0.339793
0.0,9,0.371892
0.0,5,0.376353
0.0,4,0.404391
0.0,5,0.408601
0.0,10,0.417297
0.0,7,0.447389
0.0,5,0.451306
0.0,8,0.481994
0.0,4,0.485169
0.0,7,0.490837
0.0,3,0.493082
0.0,11,0.527154
0.0,3,0.529857
0.0,9,0.561999
0.0,8,0.568631
1.0,11,0.602052
0.0,9,0.609479
0.0,5,0.637688
0.0,4,0.640814
0.0,3,0.643269
0.0,14,0.680143
0.0,11,0.71408
0.0,6,0.718895
0.0,6,0.724158
0.0,8,0.75583
0.0,3,0.758283
0.0,14,0.794723
0.0,6,0.799802
0.0,17,0.838425
0.0,13,0.873966
0.0,16,0.912201
0.0,2,0.913802
0.0,14,0.949584
0.0,12,0.959975
0.0,14,0.995102
0.0,8,1.025971
0.0,7,1.031663
0.0,2,1.033502
0.0,4,1.061063
0.0,9,1.068726
0.0,3,1.071206
0.0,4,1.074504
0.0,6,1.103781
0.0,6,1.108755
0.0,10,1.141369
0.0,2,1.142949
0.0,13,1.177634
0.0,2,1.179479
0.0,9,1.186796
0.0,6,1.216566
0.0,5,1.221142
0.0,3,1.223707
0.0,10,1.256396
0.0,7,1.262039
0.0,15,1.298957
0.0,11,1.333116
0.0,3,1.335421
0.0,6,1.340139
0.0,13,1.375791
0.0,9,1.383779
0.0,2,1.409586
1.0,7,1.415333
0.0,5,1.41975
0.0,6,1.448988
0.0,2,1.450551
0.0,20,1.490998
0.0,3,1.493452
0.0,18,1.532586
0.0,14,1.568782
0.0,7,1.57426
0.0,3,1.601186
0.0,4,1.604437
0.0,2,1.606094
0.0,3,1.608447
0.0,6,1.613423
0.0,9,1.644688
0.0,20,1.686042
0.0,6,1.715576
0.0,2,1.717203
0.0,3,1.719695
0.0,4,1.722994
0.0,2,1.724734
0.0,4,1.72825
0.0,10,1.761193
0.0,4,1.764716
0.0,2,1.766427
0.0,3,1.793641
0.0,4,1.797
0.0,7,1.802999
0.0,2,1.804682
0.0,3,1.807257
0.0,2,1.833098
0.0,6,1.837795
0.0,5,1.841889
0.0,8,1.872988
0.0,5,1.877063
0.0,3,1.87961
0.0,5,1.884006
0.0,3,1.911457
0.0,2,1.913335
0.0,14,1.950386
0.0,4,1.953678
0.0,12,1.987502
0.0,7,1.993324
0.0,17,2.031807
0.0,8,2.038338
0.0,5,2.067192
0.0,2,2.069057
0.0,3,2.071756
0.0,7,2.078228
0.0,3,2.105449
0.0,9,2.112807
0.0,7,2.14321
0.0,19,2.184375
0.0,3,2.186895
0.0,11,2.196469
0.0,10,2.229326
0.0,12,2.264096
0.0,6,2.269518
0.0,3,2.272173
0.0,3,2.274936
0.0,2,2.301464
0.0,4,2.304854
0.0,5,2.309138
0.0,14,2.346835
0.0,4,2.350517
0.0,5,2.354961
1.0,18,2.420444
0.0,9,2.427804
0.0,2,2.429704
0.0,3,2.432295
0.0,15,2.470031
0.0,3,2.472931
0.0,12,2.508033
0.0,4,2.511507
0.0,6,2.541615
0.0,3,2.544366
0.0,2,2.54604
0.0,17,2.585222
0.0,7,2.591274
1.0,10,2.624773
0.0,7,2.630744
0.0,4,2.658669
0.0,3,2.661335
0.0,10,2.670251
0.0,7,2.701316
0.0,5,2.70596
0.0,3,2.708647
0.0,4,2.736528
0.0,9,2.744477
0.0,2,2.74625
0.0,4,2.750077
0.0,6,2.779748
0.0,6,2.78488
0.0,4,2.78825
0.0,6,2.817972
0.0,6,2.82367
0.0,5,2.828048
0.0,5,2.856915
0.0,3,2.859446
0.0,2,2.861008
0.0,3,2.863586
0.0,5,2.867985
0.0,8,2.900067
0.0,4,2.903816
0.0,19,2.945115
1.0,14,2.982054
0.0,4,2.985837
1.0,10,3.019074
0.0,9,3.027346
0.0,3,3.054653
0.0,5,3.059193
0.0,10,3.068264
1.0,13,3.104471
0.0,3,3.107195
1.0,6,3.136993
0.0,4,3.140452
0.0,4,3.14411
0.0,2,3.145994
0.0,3,3.173413
1.0,7,3.179512
0.0,2,3.181273
0.0,5,3.185836
0.0,4,3.213841
0.0,3,3.21635
0.0,3,3.219094
0.0,5,3.223716
0.0,2,3.225607
0.0,8,3.25716
0.0,16,3.296279
0.0,6,3.30196
1.0,16,3.340756
1.0,7,3.347257
0.0,2,3.373688
0.0,3,3.376283
0.0,7,3.382619
0.0,3,3.385357
0.0,4,3.413676
1.0,6,3.418473
1.0,7,3.42431
0.0,3,3.451283
0.0,5,3.455965
0.0,6,3.461715
0.0,6,3.491313
1.0,8,3.498724
0.0,2,3.500556
0.0,2,3.50231
0.0,6,3.532102
0.0,6,3.537458
0.0,3,3.540418
0.0,11,3.574549
0.0,2,3.576346
0.0,3,3.579197
0.0,2,3.58102
0.0,4,3.584864
1.0,7,3.615825
0.0,8,3.623157
1.0,6,3.652848
1.0,6,3.658481
1.0,7,3.664846
0.0,4,3.692606
1.0,6,3.69776
0.0,5,3.702472
0.0,2,3.704371
1.0,6,3.734433
0.0,3,3.737036
0.0,3,3.739855
0.0,3,3.742643
0.0,5,3.771532
0.0,2,3.7733
1.0,8,3.780547
0.0,2,3.782157
0.0,4,3.809939
1.0,6,3.815035
1.0,6,3.82027
1.0,7,3.85121
0.0,3,3.853815
1.0,10,3.862909
1.0,8,3.893831
1.0,7,3.900246
1.0,7,3.931075
1.0,9,3.93885
1.0,8,3.970957
0.0,5,3.975557
0.0,3,3.978261
1.0,6,4.007374
0.0,2,4.009247
0.0,2,4.011065
0.0,2,4.012907
0.0,2,4.014749
1.0,7,4.021179
1.0,8,4.052429
0.0,5,4.057063
0.0,2,4.058795
0.0,2,4.060493
1.0,6,4.090293
1.0,11,4.100072
1.0,6,4.130142
0.0,2,4.131961
0.0,4,4.13546
1.0,6,4.141056
0.0,2,4.167096
0.0,4,4.170411
0.0,3,4.173244
1.0,6,4.178705
0.0,3,4.205397
1.0,6,4.210218
1.0,6,4.215316
1.0,7,4.244951
1.0,6,4.250009
0.0,2,4.2518
1.0,8,4.283569
1.0,6,4.288839
1.0,7,4.295423
0.0,3,4.323252
1.0,7,4.329545
1.0,6,4.334844
0.0,5,4.363572
0.0,4,4.366939
0.0,3,4.36951
1.0,6,4.375011
0.0,2,4.376812
0.0,2,4.403051
1.0,7,4.408948
0.0,2,4.410699
1.0,6,4.416083
0.0,2,4.442551
1.0,6,4.447935
1.0,7,4.454171
0.0,3,4.481484
1.0,6,4.486493
1.0,8,4.493695
0.0,3,4.520917
1.0,6,4.526265
0.0,3,4.528938
1.0,7,4.535255
1.0,9,4.567602
1.0,6,4.573082
0.0,3,4.600046
1.0,6,4.605557
0.0,4,4.609034
0.0,3,4.611813
1.0,6,4.641771
1.0,6,4.647158
0.0,3,4.649785
1.0,6,4.679584
1.0,7,4.685567
0.0,2,4.687484
1.0,7,4.693516
0.0,2,4.719762
1.0,7,4.725641
1.0,6,4.731056
0.0,3,4.757748
1.0,6,4.762759
1.0,8,4.770035
0.0,3,4.797335
0.0,3,4.800097
0.0,3,4.802404
0.0,2,4.804224
1.0,10,4.837654
1.0,8,4.844755
1.0,7,4.85099
0.0,2,4.876988
0.0,2,4.878652
0.0,2,4.880449
1.0,7,4.886777
0.0,5,4.915695
1.0,6,4.920835
0.0,3,4.923494
1.0,7,4.929688
1.0,6,4.959194
