# {"t_start": 1636398183.6916149, "env_id": "FrozenLake-v1"} 
r,l,t
0.0,4,0.010898
0.0,7,0.017742
0.0,3,0.020464
0.0,10,0.058158
0.0,15,0.093991
0.0,6,0.099218
0.0,33,0.176603
0.0,12,0.210818
0.0,5,0.21473
0.0,9,0.246351
0.0,3,0.248627
0.0,8,0.255036
0.0,5,0.283859
0.0,11,0.292385
0.0,3,0.294747
0.0,9,0.326444
0.0,8,0.333046
0.0,12,0.367635
0.0,3,0.370431
0.0,12,0.40533
0.0,7,0.411357
0.0,10,0.443825
0.0,10,0.476071
0.0,5,0.480012
0.0,9,0.487198
0.0,4,0.515113
0.0,7,0.521244
0.0,13,0.556886
0.0,12,0.591488
0.0,4,0.594606
0.0,9,0.601835
0.0,4,0.629402
0.0,4,0.632523
0.0,7,0.63818
0.0,3,0.640832
0.0,7,0.671419
0.0,2,0.673277
0.0,23,0.71739
1.0,16,0.755883
0.0,10,0.7888
0.0,3,0.791347
0.0,3,0.793878
0.0,7,0.824375
0.0,7,0.830037
0.0,2,0.831639
0.0,4,0.8351
0.0,13,0.870718
0.0,5,0.875154
0.0,2,0.876972
0.0,12,0.910956
0.0,5,0.915002
0.0,2,0.941312
0.0,2,0.942844
0.0,3,0.945404
0.0,7,0.951373
0.0,33,1.02666
0.0,8,1.057508
0.0,11,1.066977
0.0,2,1.068625
0.0,7,1.098631
0.0,9,1.106168
0.0,5,1.134693
0.0,2,1.136233
0.0,3,1.138592
0.0,19,1.178379
0.0,10,1.211554
0.0,2,1.213387
0.0,12,1.247963
0.0,4,1.251237
0.0,4,1.254247
0.0,3,1.256899
0.0,3,1.259432
0.0,8,1.290761
0.0,3,1.293051
0.0,10,1.326287
0.0,2,1.327976
0.0,8,1.33423
0.0,15,1.371536
1.0,12,1.406146
0.0,6,1.411166
0.0,3,1.41385
0.0,7,1.443839
0.0,9,1.450815
0.0,5,1.479155
0.0,2,1.480777
0.0,9,1.488365
0.0,9,1.520274
0.0,3,1.522655
0.0,7,1.528475
0.0,6,1.558038
0.0,4,1.561234
0.0,4,1.564507
0.0,6,1.569054
0.0,2,1.595261
0.0,2,1.596964
0.0,3,1.599337
0.0,5,1.603318
0.0,5,1.60748
0.0,9,1.638782
0.0,4,1.642144
0.0,7,1.672761
0.0,7,1.678548
0.0,6,1.683581
0.0,6,1.712977
0.0,5,1.717075
0.0,9,1.749552
0.0,7,1.755284
0.0,3,1.757889
0.0,9,1.790141
0.0,6,1.795187
0.0,4,1.798739
0.0,3,1.801353
0.0,2,1.827177
0.0,24,1.871148
0.0,4,1.87446
0.0,11,1.909214
0.0,4,1.912883
0.0,4,1.916503
0.0,5,1.94528
0.0,4,1.948501
0.0,3,1.950888
0.0,2,1.952419
0.0,4,1.955626
0.0,6,1.984944
0.0,3,1.987416
0.0,6,1.992625
0.0,5,2.021031
0.0,2,2.022677
0.0,3,2.025077
0.0,7,2.030589
0.0,4,2.058614
0.0,11,2.068631
0.0,4,2.072345
0.0,8,2.103495
0.0,2,2.105122
0.0,2,2.106934
0.0,10,2.139682
0.0,8,2.146703
1.0,13,2.182767
0.0,4,2.186165
0.0,8,2.217388
0.0,13,2.228852
0.0,4,2.256365
0.0,7,2.26273
0.0,7,2.268998
0.0,9,2.301465
0.0,5,2.30594
0.0,7,2.337343
0.0,5,2.341891
0.0,4,2.345561
0.0,4,2.349044
0.0,8,2.380676
0.0,3,2.383416
0.0,2,2.385258
0.0,8,2.416854
0.0,2,2.41862
0.0,6,2.423788
0.0,4,2.427204
1.0,7,2.457898
0.0,3,2.460578
0.0,6,2.466005
0.0,6,2.495875
0.0,12,2.506449
0.0,14,2.54376
0.0,3,2.546464
0.0,3,2.573774
0.0,2,2.575384
0.0,11,2.584447
0.0,4,2.61258
0.0,2,2.614316
0.0,4,2.617882
0.0,3,2.620673
0.0,3,2.62322
0.0,2,2.624831
0.0,8,2.6564
0.0,3,2.659085
0.0,13,2.695433
0.0,2,2.697197
0.0,4,2.700929
0.0,3,2.703573
0.0,4,2.73144
0.0,7,2.737671
0.0,5,2.742163
0.0,4,2.770564
0.0,3,2.772969
0.0,4,2.776293
0.0,5,2.780526
0.0,2,2.782409
0.0,3,2.809302
0.0,2,2.811217
0.0,3,2.813905
0.0,8,2.82124
0.0,4,2.849336
0.0,3,2.8519
0.0,7,2.857658
0.0,6,2.863
0.0,2,2.889438
1.0,6,2.895192
0.0,6,2.9005
0.0,6,2.930354
0.0,6,2.935628
0.0,7,2.941893
0.0,7,2.972658
0.0,2,2.974347
0.0,3,2.977038
0.0,3,2.979899
0.0,3,2.982596
0.0,3,3.009872
0.0,5,3.014175
0.0,8,3.021465
0.0,7,3.052224
0.0,6,3.057774
0.0,7,3.088907
1.0,9,3.096754
0.0,5,3.101271
1.0,11,3.135567
0.0,17,3.175379
0.0,2,3.17728
1.0,7,3.207937
0.0,2,3.209536
0.0,2,3.211389
0.0,5,3.216037
0.0,2,3.217792
0.0,11,3.252293
0.0,3,3.254867
1.0,7,3.261184
0.0,2,3.287797
0.0,4,3.291312
0.0,3,3.294129
0.0,6,3.299776
0.0,3,3.32713
0.0,3,3.329818
1.0,12,3.340439
0.0,4,3.368583
0.0,8,3.375734
1.0,10,3.409342
0.0,3,3.411736
1.0,8,3.418414
0.0,2,3.420086
0.0,2,3.446273
1.0,7,3.452799
0.0,11,3.487095
1.0,9,3.495489
0.0,3,3.498194
0.0,3,3.525304
0.0,5,3.529612
0.0,5,3.534513
0.0,3,3.537234
0.0,3,3.539905
0.0,5,3.568661
1.0,11,3.578922
0.0,4,3.607173
1.0,6,3.612559
0.0,3,3.615461
1.0,10,3.648739
1.0,7,3.655253
0.0,2,3.657121
0.0,2,3.658961
0.0,4,3.686709
1.0,6,3.691876
0.0,4,3.695599
0.0,2,3.697485
0.0,3,3.724803
1.0,10,3.733959
0.0,2,3.735817
0.0,3,3.738514
1.0,6,3.768251
1.0,6,3.773703
1.0,6,3.778845
0.0,4,3.80653
1.0,7,3.812568
0.0,4,3.816314
0.0,2,3.818146
1.0,9,3.850357
1.0,8,3.857919
1.0,7,3.88793
0.0,4,3.89169
1.0,6,3.89695
0.0,2,3.923428
1.0,7,3.929395
