# {"t_start": 1636380128.839628, "env_id": "FrozenLake-v0"} 
r,l,t
0.0,5,0.074537
0.0,30,0.288093
0.0,17,0.384558
0.0,4,0.392637
0.0,2,0.396711
0.0,18,0.491416
0.0,13,0.576037
0.0,9,0.593742
1.0,12,0.684349
0.0,19,0.784197
0.0,20,0.88371
0.0,14,0.96928
0.0,3,0.975764
0.0,7,1.054642
0.0,7,1.06827
0.0,4,1.076081
0.0,13,1.160858
0.0,9,1.238572
0.0,8,1.254598
0.0,4,1.262189
0.0,2,1.267271
0.0,2,1.330448
0.0,19,1.427757
0.0,5,1.437192
1.0,14,1.523179
0.0,15,1.611387
0.0,3,1.617202
0.0,8,1.633481
0.0,6,1.704481
0.0,13,1.730648
0.0,10,1.809047
0.0,9,1.885619
0.0,2,1.889866
0.0,4,1.897568
0.0,4,1.905591
0.0,2,1.909315
0.0,5,1.97984
0.0,2,1.984198
0.0,4,1.992155
0.0,8,2.008567
0.0,12,2.090282
0.0,3,2.096518
0.0,6,2.167881
0.0,11,2.190326
0.0,5,2.259226
1.0,23,2.36268
0.0,19,2.459178
0.0,15,2.547477
0.0,3,2.553845
0.0,5,2.563395
0.0,23,2.72552
0.0,10,2.746587
0.0,10,2.824883
0.0,6,2.836448
0.0,7,2.908662
0.0,6,2.920525
0.0,16,3.010326
0.0,9,3.086962
0.0,11,3.108462
0.0,9,3.185948
0.0,2,3.189942
0.0,3,3.195699
0.0,43,3.458958
0.0,2,3.46322
0.0,10,3.483236
0.0,2,3.487121
0.0,11,3.567177
0.0,17,3.658632
0.0,29,3.833392
0.0,6,3.845021
0.0,9,3.921066
0.0,7,3.935571
0.0,13,4.02015
0.0,12,4.043567
0.0,16,4.133375
0.0,3,4.197923
0.0,13,4.223604
1.0,20,4.381704
0.0,2,4.385847
0.0,41,4.602918
1.0,20,4.701695
0.0,7,4.774317
0.0,4,4.782427
0.0,17,4.875592
0.0,21,4.975853
0.0,2,4.979742
0.0,3,4.986197
0.0,3,5.051012
0.0,12,5.07526
0.0,14,5.162419
0.0,3,5.169041
0.0,4,5.236613
0.0,3,5.242713
1.0,12,5.268285
0.0,6,5.339487
0.0,3,5.345562
0.0,9,5.363323
1.0,8,5.439027
0.0,5,5.449116
0.0,3,5.455506
0.0,4,5.522675
0.0,2,5.526798
0.0,5,5.537107
0.0,2,5.541164
0.0,3,5.547887
0.0,2,5.552025
0.0,2,5.617468
1.0,11,5.64083
0.0,6,5.712742
0.0,17,5.807792
0.0,3,5.814227
0.0,12,5.839974
0.0,3,5.905658
0.0,2,5.910139
0.0,4,5.919154
0.0,4,5.927436
0.0,5,5.996746
1.0,7,6.01191
0.0,3,6.018577
1.0,8,6.093994
1.0,10,6.115753
0.0,2,6.120741
0.0,4,6.187811
0.0,3,6.194311
1.0,6,6.207108
0.0,3,6.213769
0.0,3,6.220551
0.0,4,6.288505
0.0,2,6.292765
0.0,3,6.299302
0.0,4,6.307575
0.0,4,6.316575
0.0,3,6.38145
0.0,2,6.386115
1.0,8,6.404141
0.0,7,6.478163
0.0,4,6.487551
0.0,4,6.496109
0.0,4,6.504308
0.0,4,6.571043
0.0,2,6.575491
0.0,5,6.586725
0.0,4,6.595346
0.0,7,6.670328
0.0,4,6.679761
0.0,2,6.684502
0.0,5,6.695819
0.0,6,6.76815
1.0,8,6.785487
0.0,2,6.789695
0.0,2,6.794081
1.0,6,6.866939
1.0,9,6.886864
0.0,3,6.893057
0.0,3,6.961408
0.0,2,6.966258
0.0,4,6.975338
0.0,2,6.97971
1.0,8,6.999446
0.0,6,7.071063
0.0,4,7.079537
0.0,9,7.15915
0.0,2,7.163745
0.0,7,7.179325
0.0,2,7.184011
0.0,6,7.25647
0.0,2,7.260875
1.0,7,7.275952
0.0,3,7.282398
0.0,2,7.286731
1.0,6,7.358385
1.0,8,7.376
0.0,6,7.449145
1.0,7,7.465059
1.0,7,7.48078
1.0,6,7.552551
0.0,4,7.561226
0.0,5,7.572063
0.0,7,7.647136
1.0,7,7.662497
0.0,4,7.671628
0.0,6,7.744633
0.0,2,7.749259
0.0,3,7.75625
0.0,2,7.760543
1.0,9,7.839889
0.0,3,7.846645
1.0,7,7.86211
0.0,5,7.931426
0.0,3,7.938476
1.0,6,7.951747
1.0,6,7.964383
0.0,5,8.035588
1.0,7,8.051776
1.0,6,8.064883
0.0,5,8.135442
0.0,2,8.139887
0.0,3,8.146507
0.0,4,8.155454
0.0,3,8.162278
0.0,2,8.225625
0.0,3,8.232579
0.0,4,8.241781
1.0,8,8.260061
1.0,6,8.331615
0.0,6,8.347851
0.0,3,8.355873
0.0,3,8.422314
1.0,6,8.436471
0.0,3,8.443249
0.0,4,8.4526
1.0,7,8.526467
1.0,8,8.544113
1.0,6,8.616559
0.0,3,8.623673
0.0,2,8.627954
0.0,2,8.632361
0.0,4,8.641237
0.0,2,8.645708
0.0,2,8.650215
1.0,10,8.731089
0.0,2,8.735913
1.0,8,8.813596
1.0,6,8.827009
0.0,3,8.834018
0.0,2,8.838215
0.0,3,8.844718
0.0,3,8.910403
0.0,3,8.917624
0.0,6,8.930656
0.0,3,8.937471
0.0,3,8.944114
0.0,3,9.010485
0.0,3,9.017335
1.0,6,9.030648
0.0,3,9.037368
0.0,3,9.102912
0.0,3,9.109551
0.0,2,9.114479
0.0,3,9.121613
0.0,2,9.126236
1.0,6,9.139652
0.0,2,9.203031
0.0,2,9.208091
1.0,7,9.223695
0.0,2,9.228182
0.0,5,9.297919
0.0,3,9.304877
0.0,3,9.311401
0.0,3,9.31779
1.0,6,9.331209
0.0,5,9.406107
1.0,6,9.419842
0.0,3,9.426114
0.0,3,9.433073
0.0,4,9.502139
1.0,6,9.515212
0.0,5,9.526333
0.0,3,9.532862
0.0,2,9.597441
0.0,6,9.61089
1.0,7,9.626403
0.0,3,9.693437
1.0,6,9.706691
1.0,6,9.719841
0.0,3,9.726508
0.0,3,9.792282
0.0,3,9.798737
1.0,6,9.81203
0.0,3,9.818609
0.0,3,9.82516
0.0,3,9.891593
1.0,7,9.906866
1.0,6,9.919452
0.0,5,9.989566
0.0,3,9.995907
0.0,2,10.000657
0.0,5,10.011082
1.0,6,10.08333
0.0,3,10.089781
0.0,4,10.098427
0.0,3,10.10522
0.0,3,10.111485
0.0,3,10.176676
1.0,7,10.192253
1.0,6,10.205202
0.0,2,10.209611
0.0,2,10.273451
0.0,3,10.279922
1.0,6,10.293358
1.0,6,10.306268
0.0,2,10.36893
0.0,3,10.375806
1.0,6,10.389571
0.0,2,10.394209
0.0,3,10.401165
0.0,3,10.468422
0.0,2,10.472768
0.0,2,10.477089
0.0,3,10.485919
0.0,5,10.49704
0.0,3,10.503789
1.0,6,10.575152
0.0,2,10.579892
0.0,2,10.584291
0.0,3,10.591155
0.0,3,10.597493
0.0,3,10.663976
0.0,2,10.668511
0.0,2,10.673152
0.0,4,10.681758
0.0,5,10.692961
0.0,3,10.759213
0.0,3,10.766243
0.0,3,10.772839
0.0,3,10.779498
1.0,6,10.792745
0.0,3,10.858734
0.0,3,10.865708
0.0,3,10.872621
0.0,3,10.879199
0.0,3,10.886028
0.0,2,10.890499
1.0,6,10.962728
0.0,3,10.969212
0.0,5,10.980018
0.0,6,11.052228
0.0,3,11.058504
0.0,3,11.065325
0.0,5,11.076654
0.0,5,11.146002
0.0,3,11.153394
0.0,5,11.164393
1.0,6,11.177933
0.0,3,11.243154
1.0,9,11.263195
1.0,8,11.339979
1.0,7,11.355533
0.0,3,11.361992
0.0,3,11.368895
1.0,8,11.445582
0.0,2,11.450513
0.0,5,11.461173
0.0,3,11.467787
0.0,3,11.533769
0.0,3,11.540946
0.0,3,11.547352
0.0,3,11.554353
1.0,7,11.569345
0.0,2,11.634464
1.0,12,11.662117
0.0,2,11.6665
0.0,3,11.731926
1.0,6,11.745733
0.0,5,11.756873
0.0,3,11.76368
0.0,3,11.828779
0.0,3,11.83549
1.0,6,11.848324
0.0,3,11.855206
0.0,5,11.924859
0.0,3,11.931463
1.0,7,11.947019
0.0,5,11.958263
0.0,2,12.021035
0.0,3,12.02775
0.0,3,12.034326
1.0,8,12.051621
1.0,6,12.123801
0.0,3,12.130288
1.0,7,12.145585
0.0,3,12.210914
0.0,2,12.215931
0.0,5,12.227066
1.0,6,12.239959
0.0,2,12.244317
0.0,5,12.321968
0.0,3,12.328551
0.0,3,12.334853
1.0,7,12.350317
0.0,2,12.413659
1.0,6,12.427221
0.0,3,12.43395
0.0,3,12.440257
0.0,3,12.446898
0.0,3,12.512752
0.0,5,12.523444
0.0,3,12.530115
0.0,3,12.536721
0.0,3,12.54322
0.0,5,12.61329
0.0,3,12.619776
0.0,2,12.624376
0.0,3,12.63101
0.0,3,12.637481
0.0,3,12.702862
