# {"t_start": 1636398183.683143, "env_id": "FrozenLake-v1"} 
r,l,t
0.0,4,4.250559
0.0,2,4.252156
1.0,10,4.28571
0.0,2,4.287401
1.0,8,4.294449
0.0,5,4.299361
0.0,2,4.326301
1.0,6,4.331562
0.0,4,4.335104
0.0,2,4.336866
1.0,6,4.366542
1.0,6,4.371634
1.0,8,4.378961
0.0,4,4.406875
1.0,6,4.412034
1.0,6,4.417431
1.0,6,4.447363
1.0,7,4.453676
0.0,2,4.455417
1.0,12,4.490388
1.0,6,4.495746
0.0,3,4.522949
0.0,2,4.524862
1.0,6,4.530155
1.0,7,4.536446
1.0,6,4.56627
1.0,7,4.572515
0.0,2,4.574349
1.0,6,4.604078
1.0,7,4.610318
0.0,3,4.612966
0.0,3,4.615833
1.0,7,4.646433
1.0,6,4.651911
1.0,9,4.684375
1.0,6,4.689567
0.0,2,4.691422
1.0,8,4.722787
0.0,2,4.724362
0.0,5,4.728663
1.0,6,4.734094
1.0,6,4.763281
1.0,6,4.768396
1.0,8,4.800326
1.0,7,4.80633
1.0,6,4.811703
0.0,3,4.838949
1.0,6,4.844036
1.0,7,4.850327
1.0,6,4.879913
1.0,6,4.885242
0.0,5,4.88979
1.0,6,4.919529
1.0,6,4.924646
0.0,2,4.926537
1.0,9,4.958931
1.0,6,4.963897
1.0,6,4.969019
0.0,3,4.996086
1.0,6,5.001422
0.0,3,5.004207
1.0,6,5.009542
1.0,7,5.040037
0.0,2,5.041643
1.0,7,5.048085
0.0,3,5.075836
1.0,6,5.081471
1.0,7,5.087768
1.0,8,5.119619
1.0,6,5.124876
1.0,6,5.130252
1.0,6,5.160079
1.0,6,5.165449
1.0,6,5.195628
1.0,6,5.200968
1.0,6,5.206135
1.0,8,5.238505
1.0,6,5.243879
1.0,6,5.249336
1.0,7,5.280208
1.0,7,5.286419
0.0,5,5.31562
1.0,6,5.320883
1.0,6,5.326264
1.0,7,5.356893
1.0,7,5.36264
1.0,7,5.369023
1.0,6,5.397731
1.0,6,5.403243
0.0,3,5.405856
0.0,3,5.43331
1.0,6,5.438289
0.0,2,5.439971
0.0,2,5.441725
1.0,8,5.47338
1.0,7,5.479189
1.0,6,5.484516
0.0,3,5.511239
1.0,6,5.516265
1.0,6,5.52155
1.0,7,5.552382
1.0,6,5.557742
1.0,7,5.563897
1.0,7,5.594341
1.0,9,5.602214
0.0,3,5.628984
1.0,6,5.634423
1.0,6,5.639835
1.0,6,5.669742
1.0,6,5.67512
