# {"t_start": 1636398183.68192, "env_id": "FrozenLake-v1"} 
r,l,t
0.0,5,0.021038
0.0,2,0.022833
0.0,4,0.026955
0.0,4,0.030584
0.0,16,0.07283
0.0,11,0.105864
0.0,14,0.142065
0.0,3,0.1448
0.0,7,0.150871
0.0,11,0.184979
0.0,9,0.217085
0.0,5,0.220884
0.0,9,0.227989
0.0,12,0.261861
0.0,5,0.266066
0.0,7,0.296344
0.0,14,0.33185
0.0,5,0.335766
0.0,12,0.370363
0.0,11,0.379657
0.0,4,0.407711
0.0,8,0.414461
0.0,6,0.419724
0.0,11,0.45312
0.0,7,0.458501
0.0,22,0.525253
0.0,4,0.528777
0.0,7,0.534911
0.0,12,0.569522
0.0,4,0.572847
0.0,11,0.606189
0.0,8,0.612763
0.0,22,0.679761
0.0,4,0.683402
0.0,7,0.689482
0.0,16,0.727492
0.0,7,0.758247
0.0,15,0.795552
0.0,3,0.79796
0.0,9,0.805737
0.0,16,0.843471
0.0,3,0.846178
0.0,12,0.880856
0.0,2,0.88271
0.0,4,0.886251
0.0,6,0.915562
0.0,3,0.917959
0.0,2,0.919515
0.0,15,0.956407
0.0,12,0.990696
0.0,4,0.993794
0.0,8,1.000004
0.0,10,1.032571
0.0,4,1.035915
0.0,7,1.066013
0.0,4,1.069435
0.0,11,1.103008
0.0,3,1.105377
0.0,4,1.108715
1.0,11,1.14237
0.0,10,1.150279
0.0,11,1.183644
0.0,6,1.188483
0.0,3,1.190959
0.0,6,1.220751
0.0,4,1.224439
0.0,5,1.228814
0.0,14,1.264358
0.0,7,1.270451
0.0,11,1.304171
0.0,3,1.306586
0.0,7,1.33728
0.0,3,1.339648
0.0,8,1.34616
0.0,8,1.377382
0.0,5,1.381646
0.0,14,1.41775
0.0,15,1.454703
0.0,2,1.456269
0.0,5,1.460081
0.0,11,1.493306
0.0,7,1.499292
0.0,7,1.529556
0.0,4,1.532767
0.0,7,1.538589
0.0,4,1.56655
0.0,6,1.571336
0.0,2,1.572947
0.0,10,1.605423
0.0,4,1.608641
0.0,5,1.612615
0.0,5,1.616808
0.0,7,1.646498
0.0,4,1.649805
0.0,9,1.682038
0.0,4,1.685186
0.0,2,1.687003
0.0,4,1.690197
0.0,5,1.718874
0.0,8,1.725422
0.0,5,1.729819
0.0,7,1.760406
0.0,2,1.762006
0.0,9,1.769723
0.0,2,1.771591
0.0,13,1.807194
0.0,11,1.840412
0.0,10,1.848483
0.0,8,1.879548
0.0,4,1.882971
0.0,2,1.884623
0.0,23,1.954537
0.0,2,1.956206
0.0,3,1.958596
1.0,10,1.990798
0.0,11,2.000124
0.0,10,2.032745
0.0,8,2.039051
0.0,4,2.042478
0.0,4,2.070466
1.0,8,2.077878
0.0,13,2.113636
0.0,4,2.117054
0.0,4,2.120387
0.0,9,2.152368
0.0,9,2.160481
0.0,4,2.188537
0.0,12,2.199015
0.0,12,2.233526
0.0,2,2.235479
0.0,6,2.264866
0.0,5,2.269052
0.0,3,2.271954
0.0,10,2.305654
0.0,7,2.311652
1.0,10,2.345826
0.0,4,2.349232
0.0,3,2.352108
0.0,6,2.357373
0.0,5,2.386309
0.0,3,2.389008
0.0,6,2.394401
0.0,16,2.432991
0.0,2,2.43471
0.0,5,2.463629
0.0,4,2.467128
0.0,8,2.474303
0.0,21,2.542346
0.0,3,2.544863
0.0,2,2.546828
0.0,3,2.549376
0.0,5,2.553927
0.0,6,2.58391
0.0,4,2.586978
0.0,2,2.588575
0.0,2,2.59028
0.0,2,2.591931
0.0,7,2.622714
0.0,2,2.624453
0.0,9,2.632498
0.0,2,2.634086
0.0,9,2.666518
0.0,18,2.707386
0.0,2,2.709293
0.0,7,2.739755
1.0,8,2.746798
1.0,7,2.753301
0.0,6,2.783054
0.0,2,2.784742
0.0,3,2.787208
0.0,5,2.791592
0.0,8,2.823152
0.0,2,2.824965
0.0,2,2.826904
0.0,9,2.859484
1.0,8,2.866085
0.0,2,2.867753
0.0,9,2.900608
0.0,3,2.903289
0.0,6,2.908829
0.0,5,2.93795
0.0,7,2.944031
0.0,5,2.948401
0.0,8,2.98011
1.0,7,2.986307
0.0,2,2.988162
0.0,5,3.017449
0.0,2,3.019082
0.0,5,3.023351
0.0,3,3.026165
1.0,11,3.060525
0.0,5,3.065123
0.0,6,3.070738
0.0,4,3.09905
1.0,18,3.139536
0.0,5,3.143773
0.0,3,3.146567
0.0,3,3.14923
0.0,5,3.178466
1.0,9,3.186513
0.0,5,3.190949
0.0,6,3.22063
0.0,8,3.227992
0.0,4,3.256161
0.0,11,3.266106
1.0,6,3.296055
0.0,3,3.298756
0.0,3,3.301557
0.0,3,3.304369
0.0,3,3.307083
0.0,2,3.309021
0.0,3,3.336371
0.0,7,3.342395
1.0,7,3.348817
1.0,11,3.383083
0.0,4,3.386837
0.0,4,3.390503
1.0,10,3.423452
0.0,4,3.426788
0.0,2,3.428485
0.0,4,3.456404
0.0,3,3.459269
0.0,3,3.462066
0.0,2,3.464054
0.0,5,3.468593
1.0,6,3.498262
1.0,8,3.505617
0.0,5,3.53453
0.0,4,3.538098
0.0,3,3.540729
0.0,3,3.543654
1.0,6,3.549164
0.0,4,3.577034
1.0,6,3.582528
0.0,2,3.58431
1.0,8,3.616404
1.0,8,3.623599
0.0,2,3.625593
0.0,2,3.627345
0.0,2,3.629163
0.0,4,3.657084
1.0,7,3.663589
1.0,6,3.669104
0.0,2,3.695205
0.0,3,3.697623
1.0,6,3.702954
1.0,8,3.734967
1.0,9,3.743199
1.0,8,3.774747
0.0,3,3.777517
0.0,3,3.78021
0.0,2,3.782039
1.0,8,3.81323
0.0,3,3.815803
1.0,7,3.821821
0.0,4,3.825469
0.0,2,3.827405
0.0,2,3.853746
1.0,9,3.861539
0.0,4,3.86533
0.0,3,3.892106
1.0,6,3.897176
1.0,10,3.906222
0.0,2,3.932691
1.0,9,3.940409
0.0,2,3.942172
0.0,2,3.943971
0.0,3,3.97145
1.0,6,3.977144
1.0,10,3.985934
0.0,2,4.011595
0.0,2,4.013494
0.0,2,4.015291
1.0,8,4.02269
1.0,6,4.052426
0.0,2,4.054242
1.0,9,4.06214
1.0,6,4.091781
1.0,8,4.099101
1.0,9,4.131556
1.0,7,4.137926
0.0,3,4.140668
0.0,2,4.142548
0.0,3,4.169587
1.0,6,4.174716
0.0,2,4.17656
1.0,8,4.18393
1.0,6,4.212764
0.0,2,4.214435
0.0,4,4.217718
0.0,3,4.220327
0.0,3,4.246568
0.0,2,4.248294
1.0,8,4.255123
1.0,6,4.260487
1.0,6,4.290325
1.0,8,4.297457
1.0,9,4.331014
1.0,6,4.336294
0.0,3,4.339094
0.0,3,4.366082
1.0,10,4.374663
1.0,7,4.405511
0.0,3,4.408069
0.0,5,4.412244
1.0,6,4.417695
0.0,3,4.444833
1.0,8,4.452153
1.0,6,4.457481
0.0,3,4.484797
1.0,6,4.489854
0.0,2,4.491562
1.0,7,4.497901
1.0,6,4.527882
1.0,6,4.533204
1.0,8,4.565054
1.0,6,4.570089
0.0,6,4.575541
1.0,6,4.605269
1.0,6,4.610616
0.0,2,4.612365
0.0,2,4.614157
1.0,7,4.645097
0.0,5,4.649562
1.0,8,4.656756
1.0,10,4.689822
1.0,6,4.695166
0.0,3,4.722187
1.0,6,4.727164
1.0,6,4.732547
1.0,8,4.763714
0.0,3,4.766036
1.0,8,4.773322
0.0,3,4.800657
0.0,2,4.802427
1.0,6,4.807521
0.0,3,4.810245
0.0,5,4.814623
0.0,2,4.840989
0.0,2,4.842902
1.0,6,4.84809
0.0,2,4.849851
1.0,6,4.879419
1.0,6,4.884683
1.0,12,4.91987
0.0,5,4.924104
1.0,6,4.929566
1.0,9,4.961789
1.0,7,4.967444
1.0,6,4.997278
1.0,6,5.002612
1.0,7,5.008923
1.0,6,5.038621
1.0,6,5.04371
1.0,6,5.049249
0.0,2,5.051224
1.0,7,5.082661
1.0,6,5.088118
1.0,7,5.118821
0.0,5,5.123482
1.0,6,5.128821
0.0,5,5.157708
0.0,4,5.161262
1.0,7,5.167539
0.0,5,5.19682
0.0,2,5.198596
1.0,6,5.203934
1.0,6,5.209196
0.0,2,5.210989
1.0,6,5.241438
1.0,8,5.248663
1.0,7,5.27974
0.0,2,5.281399
1.0,6,5.286774
1.0,6,5.316811
1.0,7,5.322962
1.0,6,5.328379
0.0,3,5.331031
1.0,8,5.362164
1.0,6,5.367539
0.0,5,5.395849
1.0,6,5.400828
1.0,6,5.406185
1.0,6,5.43627
1.0,8,5.442915
1.0,6,5.448375
0.0,2,5.474573
1.0,6,5.479545
1.0,7,5.485706
0.0,3,5.51243
1.0,6,5.517457
0.0,3,5.520203
1.0,6,5.525476
1.0,6,5.555347
1.0,6,5.560671
0.0,3,5.563345
0.0,5,5.592088
1.0,6,5.597278
0.0,5,5.601687
1.0,7,5.632101
0.0,2,5.633936
1.0,6,5.63919
