# {"t_start": 1636380128.864408, "env_id": "FrozenLake-v0"} 
r,l,t
0.0,18,0.170705
0.0,25,0.280501
0.0,6,0.292355
0.0,4,0.362857
0.0,29,0.479742
0.0,6,0.550308
0.0,10,0.570037
0.0,6,0.648352
0.0,17,0.743932
0.0,4,0.751949
0.0,12,0.835528
0.0,18,0.929577
0.0,7,0.943496
0.0,4,0.952019
0.0,4,1.024164
0.0,4,1.032869
0.0,18,1.126765
0.0,10,1.1475
0.0,11,1.228751
0.0,10,1.308644
0.0,3,1.315001
0.0,3,1.321011
1.0,11,1.402024
0.0,7,1.415315
0.0,6,1.427195
0.0,8,1.501306
0.0,10,1.520732
0.0,12,1.603595
0.0,11,1.684727
0.0,7,1.698965
0.0,10,1.777361
1.0,31,1.958278
0.0,9,1.976759
0.0,17,2.068787
0.0,15,2.158655
0.0,6,2.170329
0.0,3,2.23538
0.0,5,2.245312
0.0,6,2.256643
0.0,13,2.340902
0.0,33,2.523687
0.0,7,2.537419
0.0,12,2.619445
0.0,2,2.623524
0.0,3,2.629472
0.0,14,2.71638
0.0,27,2.886953
0.0,10,2.906726
0.0,2,2.910871
0.0,24,3.074642
0.0,5,3.085039
0.0,9,3.162229
0.0,11,3.184593
0.0,7,3.258109
0.0,16,3.348649
0.0,6,3.360662
0.0,10,3.439427
0.0,7,3.453639
0.0,5,3.463413
0.0,14,3.549013
0.0,14,3.634932
0.0,6,3.647028
1.0,30,3.823028
0.0,2,3.82728
0.0,8,3.90172
0.0,3,3.907507
0.0,6,3.919849
0.0,18,4.014298
1.0,23,4.176385
0.0,11,4.197829
0.0,3,4.203815
0.0,2,4.267324
0.0,9,4.285179
0.0,10,4.364519
0.0,14,4.466823
0.0,8,4.485185
0.0,10,4.562755
0.0,11,4.585302
0.0,2,4.589184
1.0,8,4.663969
0.0,5,4.67404
0.0,2,4.677829
0.0,4,4.685618
0.0,17,4.778599
0.0,4,4.845953
0.0,9,4.863809
0.0,4,4.871496
0.0,5,4.940039
0.0,3,4.946037
0.0,3,4.95204
0.0,12,5.034881
1.0,23,5.141032
0.0,6,5.21295
0.0,6,5.225394
0.0,5,5.235821
0.0,7,5.309428
0.0,7,5.323682
0.0,6,5.335717
0.0,2,5.339521
1.0,13,5.425564
0.0,6,5.496773
1.0,11,5.51994
0.0,5,5.591458
0.0,7,5.606577
0.0,5,5.617099
1.0,7,5.691225
0.0,6,5.704101
1.0,10,5.784528
0.0,3,5.790488
0.0,7,5.805573
0.0,2,5.809919
0.0,2,5.814095
0.0,8,5.89077
0.0,4,5.899694
0.0,5,5.91003
1.0,9,5.98816
1.0,7,6.003183
0.0,2,6.007295
0.0,2,6.070668
0.0,3,6.07727
1.0,7,6.092632
0.0,4,6.101234
0.0,4,6.168368
0.0,2,6.172614
0.0,3,6.179319
0.0,3,6.185713
0.0,6,6.199187
1.0,8,6.27562
0.0,5,6.286357
1.0,9,6.364603
0.0,3,6.371482
0.0,2,6.376018
0.0,3,6.38281
0.0,3,6.389277
