# {"t_start": 1636380128.855106, "env_id": "FrozenLake-v0"} 
r,l,t
0.0,3,0.052304
0.0,5,0.074125
0.0,11,0.181918
0.0,3,0.18815
0.0,14,0.275427
0.0,10,0.295802
0.0,11,0.380122
0.0,17,0.472926
0.0,12,0.555571
0.0,9,0.573137
0.0,15,0.669856
0.0,7,0.684418
0.0,14,0.773615
0.0,3,0.779812
0.0,4,0.847115
0.0,16,0.936785
0.0,8,0.952685
0.0,6,0.965821
0.0,10,1.049724
0.0,14,1.135956
0.0,9,1.154697
0.0,10,1.233544
0.0,10,1.313827
0.0,4,1.322211
0.0,7,1.336437
0.0,8,1.411208
0.0,35,1.596793
0.0,8,1.612779
0.0,10,1.691856
0.0,8,1.708152
0.0,5,1.776566
0.0,18,1.871183
0.0,7,1.885257
0.0,5,1.894687
0.0,9,1.973741
0.0,4,1.981488
0.0,14,2.068009
0.0,12,2.151239
0.0,4,2.159624
0.0,5,2.169763
0.0,2,2.173696
0.0,5,2.242517
0.0,5,2.252561
0.0,5,2.261931
0.0,34,2.446499
0.0,8,2.520583
0.0,4,2.529014
0.0,8,2.544894
0.0,15,2.632723
0.0,4,2.640499
0.0,4,2.70703
0.0,13,2.733795
0.0,3,2.798506
0.0,19,2.89405
0.0,2,2.898243
0.0,26,3.007518
0.0,13,3.09163
0.0,4,3.099967
0.0,7,3.173347
0.0,32,3.355784
0.0,5,3.365565
0.0,11,3.44663
0.0,27,3.558197
0.0,3,3.563618
0.0,7,3.636
0.0,4,3.64413
0.0,9,3.720528
0.0,12,3.744696
0.0,8,3.818854
0.0,8,3.834398
0.0,9,3.910907
0.0,4,3.918729
0.0,5,3.929035
0.0,5,3.998042
0.0,7,4.011684
0.0,2,4.015749
0.0,10,4.093448
0.0,2,4.097419
0.0,11,4.118802
0.0,4,4.185568
0.0,3,4.191484
1.0,11,4.213013
0.0,21,4.373703
0.0,6,4.397264
0.0,9,4.480427
0.0,3,4.486493
0.0,8,4.50197
0.0,4,4.509677
1.0,9,4.586367
0.0,8,4.602273
0.0,9,4.679278
0.0,19,4.776118
0.0,36,4.965249
0.0,10,5.044068
1.0,7,5.05861
0.0,8,5.133208
0.0,7,5.147864
1.0,13,5.234543
0.0,10,5.25571
0.0,3,5.320894
0.0,6,5.33287
0.0,2,5.337006
0.0,6,5.34871
0.0,5,5.418545
0.0,3,5.424521
0.0,6,5.436816
1.0,10,5.516673
0.0,2,5.520527
0.0,4,5.529129
0.0,7,5.605047
0.0,3,5.611021
0.0,11,5.634928
1.0,8,5.711303
0.0,3,5.717767
0.0,3,5.723955
0.0,4,5.790933
1.0,6,5.804477
1.0,10,5.825389
0.0,2,5.889165
0.0,7,5.904693
0.0,5,5.915319
0.0,5,5.98456
0.0,4,5.993119
0.0,2,5.997302
0.0,3,6.00401
0.0,4,6.012384
0.0,4,6.079795
0.0,2,6.08444
0.0,5,6.095017
0.0,4,6.104072
0.0,3,6.110422
1.0,13,6.197076
0.0,3,6.203802
0.0,5,6.273945
0.0,6,6.287012
0.0,4,6.295468
0.0,4,6.304508
1.0,10,6.385106
0.0,5,6.396223
0.0,3,6.461534
0.0,2,6.466183
1.0,13,6.494133
0.0,9,6.572258
0.0,4,6.580881
0.0,4,6.590133
0.0,7,6.665291
0.0,5,6.676904
1.0,12,6.761909
0.0,8,6.779459
0.0,3,6.785949
0.0,2,6.850206
0.0,3,6.856844
0.0,4,6.865699
0.0,4,6.874499
0.0,5,6.947232
0.0,3,6.954298
0.0,7,6.971324
0.0,5,6.982518
0.0,3,7.047774
1.0,8,7.065076
1.0,7,7.080693
0.0,5,7.151653
0.0,3,7.158403
1.0,7,7.173561
0.0,2,7.177797
0.0,2,7.242043
1.0,7,7.257046
0.0,2,7.261429
1.0,7,7.334981
1.0,11,7.359321
0.0,3,7.365857
0.0,3,7.432312
0.0,2,7.437398
0.0,3,7.443891
0.0,2,7.448143
0.0,2,7.45284
0.0,2,7.457398
0.0,2,7.462235
0.0,6,7.533419
1.0,8,7.550926
0.0,3,7.557493
0.0,5,7.628157
1.0,6,7.641655
0.0,3,7.647965
0.0,6,7.661305
0.0,2,7.725751
1.0,7,7.741625
1.0,6,7.755159
0.0,6,7.827684
0.0,4,7.836641
0.0,5,7.847614
1.0,7,7.921813
0.0,4,7.930516
0.0,3,7.937292
0.0,3,7.943599
0.0,3,7.949786
0.0,3,8.01668
0.0,2,8.021171
0.0,3,8.028154
0.0,4,8.037236
0.0,4,8.045894
0.0,4,8.113798
0.0,2,8.118739
0.0,2,8.123068
0.0,3,8.129868
1.0,6,8.143236
0.0,3,8.208767
0.0,3,8.215824
0.0,4,8.225133
0.0,3,8.231683
0.0,2,8.236596
0.0,2,8.241022
0.0,3,8.306361
0.0,3,8.312932
0.0,4,8.322896
0.0,5,8.336741
0.0,5,8.407978
0.0,3,8.414944
0.0,2,8.419729
0.0,3,8.426532
1.0,6,8.440506
0.0,5,8.509523
1.0,8,8.527289
0.0,3,8.534543
0.0,3,8.54115
0.0,2,8.604871
0.0,3,8.611145
0.0,5,8.622258
1.0,7,8.638048
0.0,2,8.701319
0.0,3,8.707882
0.0,2,8.712401
1.0,10,8.735322
0.0,2,8.799144
0.0,3,8.806014
0.0,3,8.812576
0.0,2,8.817101
0.0,2,8.821577
0.0,3,8.82793
0.0,3,8.893573
0.0,3,8.900701
1.0,8,8.918726
0.0,2,8.923079
0.0,3,8.92963
1.0,6,9.0029
0.0,4,9.011711
1.0,9,9.090722
0.0,3,9.097642
0.0,3,9.105003
0.0,3,9.111974
1.0,8,9.188941
1.0,6,9.202387
0.0,3,9.209265
1.0,6,9.222563
0.0,2,9.285716
