# {"t_start": 1636380128.8270762, "env_id": "FrozenLake-v0"} 
r,l,t
0.0,2,0.072903
0.0,21,0.217189
0.0,3,0.223523
0.0,14,0.310582
0.0,2,0.314535
0.0,8,0.330586
0.0,11,0.415537
0.0,11,0.495738
0.0,11,0.517936
0.0,5,0.586495
0.0,35,0.784168
0.0,9,0.80284
0.0,8,0.878144
0.0,7,0.892201
0.0,39,1.092484
0.0,2,1.154897
0.0,6,1.166949
0.0,8,1.183739
0.0,4,1.250959
0.0,15,1.340672
0.0,15,1.37157
0.0,11,1.451531
0.0,7,1.465373
0.0,9,1.541432
0.0,17,1.633942
0.0,3,1.639699
0.0,8,1.714529
0.0,4,1.722966
0.0,2,1.726939
0.0,4,1.735077
0.0,7,1.807539
0.0,11,1.829695
0.0,3,1.835534
0.0,4,1.902206
0.0,6,1.914254
0.0,5,1.923835
0.0,24,2.091128
0.0,16,2.182666
0.0,8,2.198795
0.0,3,2.204748
0.0,4,2.271558
0.0,3,2.277697
0.0,5,2.287263
0.0,8,2.361357
0.0,13,2.387007
0.0,3,2.393448
0.0,17,2.485603
0.0,4,2.552108
0.0,12,2.575649
0.0,4,2.642664
0.0,9,2.659685
0.0,12,2.741976
0.0,2,2.746545
0.0,6,2.758929
0.0,9,2.835298
0.0,7,2.848792
0.0,3,2.854513
0.0,5,2.923099
0.0,11,2.945023
0.0,17,3.036655
0.0,11,3.116597
0.0,22,3.220724
0.0,10,3.300782
0.0,17,3.392626
0.0,4,3.400664
0.0,3,3.40644
0.0,7,3.480096
0.0,8,3.495619
0.0,6,3.566126
0.0,26,3.675237
0.0,19,3.771601
0.0,7,3.843643
0.0,16,3.933352
0.0,7,3.94793
0.0,6,3.96011
0.0,11,4.040778
0.0,8,4.055965
0.0,3,4.120356
0.0,6,4.132149
0.0,4,4.139868
0.0,12,4.222466
0.0,5,4.232085
0.0,3,4.23802
0.0,3,4.302958
0.0,8,4.319584
0.0,11,4.40038
0.0,7,4.426392
0.0,9,4.509573
0.0,9,4.527133
0.0,3,4.53291
0.0,8,4.607412
0.0,7,4.621283
0.0,24,4.786701
0.0,8,4.80294
0.0,3,4.808853
0.0,3,4.814846
0.0,3,4.879812
0.0,28,4.994298
0.0,5,5.063336
0.0,13,5.089689
0.0,8,5.164434
0.0,4,5.172853
1.0,7,5.187774
0.0,2,5.251182
0.0,3,5.257254
0.0,14,5.345592
0.0,13,5.371884
0.0,6,5.442878
0.0,6,5.455541
0.0,10,5.535066
0.0,4,5.543427
0.0,6,5.55583
0.0,2,5.560106
0.0,3,5.627029
0.0,2,5.632012
0.0,5,5.642281
1.0,6,5.655281
0.0,7,5.729617
1.0,12,5.75515
0.0,4,5.822818
1.0,18,5.920302
0.0,4,5.929322
0.0,2,5.933774
0.0,11,6.015617
0.0,7,6.03097
1.0,10,6.111189
0.0,3,6.117889
0.0,3,6.124058
0.0,4,6.133083
0.0,4,6.200093
0.0,3,6.206567
1.0,9,6.226164
0.0,3,6.232865
0.0,5,6.302881
0.0,4,6.311553
0.0,4,6.319982
0.0,7,6.393828
0.0,3,6.400603
0.0,2,6.405462
0.0,2,6.409712
0.0,7,6.425292
1.0,6,6.497653
0.0,3,6.50421
1.0,7,6.518944
0.0,2,6.523313
0.0,2,6.585654
0.0,4,6.594292
0.0,3,6.601286
0.0,4,6.610169
1.0,7,6.68526
0.0,2,6.689771
0.0,2,6.694283
0.0,4,6.703652
1.0,9,6.782725
0.0,3,6.788779
1.0,7,6.804158
0.0,4,6.812902
0.0,2,6.876791
0.0,5,6.888234
0.0,3,6.894627
0.0,6,6.907416
1.0,6,6.983358
0.0,3,6.989848
0.0,3,6.997922
0.0,2,7.002413
1.0,10,7.083404
1.0,8,7.100893
0.0,4,7.168716
0.0,2,7.173809
1.0,7,7.189398
0.0,3,7.196301
0.0,5,7.266131
0.0,3,7.273266
0.0,2,7.277528
0.0,3,7.283966
0.0,3,7.290536
0.0,4,7.299077
0.0,3,7.364122
1.0,11,7.388304
1.0,8,7.466495
0.0,3,7.472921
0.0,4,7.48206
0.0,3,7.488862
0.0,2,7.49304
0.0,4,7.560321
0.0,5,7.571458
1.0,9,7.59108
0.0,8,7.668506
0.0,2,7.672744
1.0,6,7.686179
0.0,5,7.756924
0.0,3,7.763976
0.0,4,7.772771
0.0,2,7.777427
0.0,2,7.781912
0.0,5,7.852227
1.0,7,7.867815
0.0,2,7.872058
0.0,3,7.879062
0.0,3,7.943672
1.0,6,7.957287
0.0,2,7.961762
0.0,5,7.972633
0.0,3,7.978917
0.0,2,8.043103
0.0,5,8.054985
0.0,3,8.061493
0.0,5,8.072678
0.0,3,8.138361
0.0,4,8.147835
1.0,6,8.161052
0.0,4,8.169992
0.0,3,8.23541
1.0,8,8.254084
0.0,3,8.260784
1.0,11,8.343911
1.0,6,8.360252
0.0,5,8.372464
0.0,5,8.444043
0.0,3,8.451135
0.0,2,8.455595
1.0,7,8.471523
0.0,2,8.534564
0.0,2,8.538657
0.0,4,8.548081
0.0,2,8.552461
0.0,3,8.558783
0.0,4,8.567956
0.0,3,8.633909
1.0,7,8.649055
0.0,4,8.658106
0.0,2,8.662544
0.0,3,8.727812
1.0,9,8.748296
0.0,3,8.755218
0.0,3,8.762001
1.0,7,8.837301
0.0,4,8.846281
0.0,3,8.852735
0.0,3,8.859336
0.0,5,8.929938
0.0,2,8.934529
0.0,3,8.940814
1.0,6,8.954273
0.0,3,9.020508
1.0,6,9.034117
1.0,6,9.047553
0.0,2,9.05192
0.0,7,9.126865
1.0,7,9.143243
0.0,5,9.212882
1.0,6,9.226711
0.0,5,9.238431
0.0,3,9.244787
0.0,3,9.310213
0.0,5,9.321557
0.0,2,9.325799
0.0,3,9.332389
0.0,6,9.345794
0.0,2,9.41365
0.0,3,9.42077
0.0,5,9.432235
0.0,5,9.443041
1.0,9,9.523049
1.0,6,9.536512
0.0,3,9.542998
0.0,3,9.609716
0.0,4,9.619159
1.0,6,9.632142
0.0,2,9.636601
0.0,3,9.644058
0.0,3,9.710707
0.0,2,9.714886
0.0,3,9.721283
0.0,3,9.727691
1.0,6,9.74105
0.0,2,9.804652
0.0,3,9.811044
0.0,3,9.817605
0.0,3,9.824391
0.0,2,9.828604
1.0,7,9.903939
0.0,3,9.910213
0.0,2,9.914756
0.0,2,9.919221
0.0,5,9.929734
0.0,2,9.934332
0.0,2,9.997506
0.0,3,10.004071
0.0,3,10.010551
1.0,6,10.023454
0.0,5,10.093368
0.0,5,10.104507
0.0,2,10.108685
0.0,2,10.113114
0.0,3,10.119917
0.0,3,10.126181
0.0,5,10.195986
0.0,5,10.206908
1.0,6,10.219998
0.0,5,10.290057
0.0,5,10.301107
0.0,2,10.305633
1.0,6,10.3186
0.0,2,10.381202
0.0,3,10.388118
0.0,3,10.394714
0.0,3,10.401928
0.0,4,10.410951
0.0,3,10.477894
1.0,7,10.494196
0.0,2,10.500782
1.0,7,10.5162
0.0,2,10.578994
0.0,5,10.58998
0.0,3,10.596695
0.0,3,10.603525
0.0,3,10.609889
0.0,3,10.676318
0.0,3,10.683299
1.0,8,10.70088
1.0,8,10.778592
1.0,6,10.791869
0.0,3,10.798389
0.0,5,10.868573
0.0,3,10.875695
1.0,6,10.889285
1.0,6,10.902811
0.0,3,10.968293
0.0,3,10.975031
0.0,3,10.98153
0.0,2,10.985882
0.0,2,10.99012
1.0,7,11.064567
1.0,7,11.079952
0.0,2,11.084837
1.0,6,11.098049
0.0,2,11.1608
1.0,6,11.17454
0.0,3,11.181581
0.0,3,11.18817
0.0,3,11.194859
0.0,3,11.260539
1.0,7,11.275603
1.0,9,11.354673
0.0,3,11.361115
1.0,6,11.374393
0.0,2,11.379121
0.0,2,11.383543
0.0,3,11.449156
0.0,4,11.457981
1.0,6,11.471295
0.0,3,11.47779
0.0,5,11.548702
0.0,5,11.559704
0.0,3,11.566707
0.0,5,11.577346
0.0,3,11.644402
1.0,6,11.658399
0.0,5,11.670283
0.0,5,11.681013
0.0,2,11.744282
0.0,3,11.751334
0.0,5,11.762504
0.0,5,11.773818
0.0,3,11.83845
0.0,3,11.845553
1.0,6,11.858418
1.0,6,11.872073
1.0,6,11.943754
0.0,3,11.950731
1.0,6,11.963899
0.0,4,12.030993
0.0,2,12.035907
0.0,3,12.042242
0.0,5,12.053213
1.0,6,12.066414
0.0,2,12.129005
0.0,2,12.133803
0.0,5,12.144751
0.0,5,12.155998
0.0,3,12.162505
0.0,3,12.228328
1.0,7,12.243788
1.0,6,12.25665
1.0,6,12.336558
0.0,3,12.343076
0.0,5,12.353937
1.0,8,12.430643
0.0,5,12.441633
1.0,6,12.454785
0.0,2,12.459251
0.0,2,12.522582
1.0,9,12.542433
1.0,6,12.555575
0.0,2,12.618679
0.0,5,12.629892
0.0,5,12.641131
0.0,3,12.647681
0.0,3,12.712678
0.0,3,12.719714
0.0,3,12.726085
0.0,3,12.73295
0.0,2,12.737269
1.0,6,12.809637
1.0,6,12.822928
0.0,3,12.829567
0.0,3,12.83632
1.0,12,12.921512
0.0,3,12.928254
0.0,3,12.935042
0.0,3,12.941835
0.0,3,13.007563
0.0,3,13.013829
0.0,3,13.020309
0.0,3,13.026966
0.0,3,13.033384
0.0,3,13.098332
1.0,6,13.111979
1.0,8,13.129707
0.0,3,13.195196
1.0,6,13.208781
1.0,10,13.230533
0.0,2,13.294071
1.0,6,13.307472
0.0,3,13.314134
1.0,8,13.391104
0.0,6,13.404593
0.0,5,13.41537
1.0,7,13.489519
0.0,5,13.500121
0.0,3,13.506613
1.0,6,13.519832
0.0,2,13.582613
1.0,8,13.600107
0.0,2,13.60446
0.0,5,13.615018
0.0,2,13.677698
0.0,3,13.684737
0.0,2,13.688932
0.0,5,13.700086
0.0,3,13.706787
0.0,3,13.772025
1.0,7,13.787713
0.0,3,13.794153
0.0,3,13.800827
0.0,5,13.870718
0.0,3,13.877245
0.0,5,13.888322
1.0,7,13.903959
0.0,2,13.966889
0.0,2,13.971696
0.0,3,13.978158
0.0,5,13.989151
0.0,4,13.998146
1.0,6,14.069641
0.0,3,14.076114
0.0,5,14.087176
0.0,3,14.093791
0.0,3,14.159009
0.0,3,14.165782
1.0,6,14.178841
0.0,4,14.187448
0.0,2,14.19179
0.0,2,14.255793
0.0,3,14.26233
0.0,3,14.269174
0.0,3,14.275724
