# {"t_start": 1636380128.849524, "env_id": "FrozenLake-v0"} 
r,l,t
0.0,15,0.111977
0.0,5,0.188782
0.0,4,0.196923
0.0,2,0.201419
0.0,2,0.205351
0.0,2,0.209089
0.0,18,0.304497
0.0,5,0.376912
0.0,19,0.473692
0.0,10,0.493469
0.0,4,0.560334
0.0,10,0.580005
0.0,3,0.585996
0.0,16,0.685133
0.0,29,0.864169
0.0,2,0.867977
0.0,12,0.949241
0.0,2,0.953579
0.0,8,0.970228
0.0,26,1.144803
0.0,9,1.163569
0.0,10,1.242476
0.0,3,1.248606
0.0,2,1.252432
0.0,10,1.333094
0.0,6,1.345553
0.0,7,1.418012
0.0,14,1.503885
0.0,2,1.507883
0.0,8,1.523154
0.0,9,1.599473
0.0,16,1.690162
0.0,4,1.698798
0.0,8,1.715042
0.0,8,1.789561
0.0,4,1.797186
0.0,10,1.875984
0.0,7,1.890001
0.0,8,1.906174
0.0,6,1.978547
0.0,22,2.080569
0.0,6,2.092646
0.0,26,2.263147
0.0,48,2.533821
0.0,16,2.624331
0.0,10,2.643471
0.0,8,2.717823
0.0,5,2.72851
0.0,9,2.805372
0.0,8,2.820779
0.0,15,2.908834
0.0,16,2.998607
0.0,7,3.012337
0.0,4,3.079212
0.0,11,3.101028
0.0,7,3.173897
0.0,2,3.178159
0.0,12,3.202646
0.0,3,3.26812
0.0,7,3.282454
0.0,11,3.362562
0.0,3,3.368574
0.0,25,3.477469
0.0,2,3.481313
0.0,6,3.551711
0.0,30,3.727324
0.0,8,3.743671
0.0,5,3.753336
0.0,6,3.823654
0.0,16,3.913349
0.0,23,4.018626
0.0,9,4.094146
1.0,10,4.113699
0.0,7,4.186133
0.0,5,4.196293
0.0,12,4.278578
0.0,3,4.285274
0.0,28,4.413908
0.0,5,4.487387
0.0,6,4.499248
0.0,6,4.510756
0.0,9,4.587162
0.0,3,4.593292
0.0,9,4.669828
0.0,10,4.690024
0.0,4,4.69774
0.0,5,4.766517
0.0,4,4.774762
0.0,8,4.790673
0.0,5,4.859646
0.0,15,4.948223
0.0,3,4.954029
0.0,5,4.964031
0.0,2,4.968098
0.0,2,4.972158
0.0,3,4.978911
0.0,8,5.05313
0.0,14,5.14028
0.0,4,5.148651
0.0,5,5.159348
0.0,7,5.233024
1.0,13,5.260509
1.0,16,5.35174
0.0,6,5.423004
0.0,7,5.43736
