# {"t_start": 1636398183.6823812, "env_id": "FrozenLake-v1"} 
r,l,t
0.0,30,0.071471
0.0,8,0.101846
0.0,8,0.108907
0.0,7,0.139067
0.0,3,0.14163
0.0,3,0.144367
0.0,16,0.182711
0.0,9,0.190513
0.0,7,0.220449
0.0,22,0.262178
0.0,10,0.29513
0.0,6,0.299725
0.0,10,0.332175
0.0,24,0.376466
0.0,15,0.414026
0.0,16,0.451845
0.0,3,0.454212
0.0,37,0.533608
0.0,10,0.566556
0.0,4,0.569904
0.0,9,0.601944
0.0,3,0.604253
0.0,3,0.60648
0.0,5,0.610622
0.0,5,0.639048
0.0,2,0.640592
0.0,6,0.645252
0.0,11,0.679327
0.0,4,0.682971
0.0,2,0.684759
0.0,5,0.689054
0.0,13,0.724515
0.0,9,0.756914
0.0,14,0.768886
1.0,11,0.802668
0.0,6,0.807742
0.0,6,0.837183
0.0,3,0.839752
0.0,5,0.843892
0.0,4,0.871798
0.0,10,0.880422
0.0,2,0.882274
0.0,9,0.9143
0.0,5,0.918277
0.0,9,0.950143
0.0,3,0.952494
0.0,13,0.987869
0.0,5,0.991789
0.0,5,0.995697
0.0,6,1.00033
0.0,2,1.026285
0.0,9,1.033654
0.0,13,1.068998
0.0,8,1.075772
0.0,12,1.109975
0.0,13,1.14507
0.0,3,1.147432
0.0,9,1.178947
0.0,4,1.182167
0.0,2,1.184021
0.0,9,1.191464
0.0,4,1.219466
0.0,11,1.229214
0.0,13,1.263923
0.0,8,1.295642
0.0,11,1.304487
0.0,4,1.307855
0.0,5,1.336845
0.0,10,1.344743
0.0,3,1.347455
0.0,9,1.37954
0.0,5,1.383991
0.0,3,1.386679
0.0,7,1.416537
0.0,3,1.419097
0.0,5,1.423498
0.0,5,1.451854
0.0,7,1.457391
0.0,5,1.461246
0.0,2,1.462847
0.0,6,1.491946
0.0,11,1.501359
0.0,2,1.527532
0.0,24,1.571691
0.0,12,1.605775
0.0,9,1.612942
0.0,11,1.646062
0.0,5,1.65016
0.0,5,1.654475
0.0,7,1.684754
0.0,5,1.688927
0.0,10,1.721666
0.0,7,1.727601
0.0,2,1.729387
0.0,8,1.76073
0.0,4,1.76392
0.0,2,1.765855
0.0,6,1.771156
0.0,3,1.798116
0.0,5,1.802391
0.0,3,1.80495
0.0,12,1.839167
0.0,7,1.844783
0.0,7,1.875104
0.0,5,1.879113
0.0,3,1.881602
0.0,3,1.884188
0.0,6,1.914322
0.0,27,1.962064
0.0,2,1.963686
0.0,3,1.990362
0.0,3,1.992801
0.0,4,1.996147
0.0,9,2.003922
0.0,3,2.030694
0.0,6,2.035502
0.0,5,2.039418
0.0,2,2.041097
0.0,6,2.070939
0.0,5,2.075574
0.0,2,2.077443
0.0,11,2.111593
0.0,8,2.118234
0.0,5,2.146942
0.0,4,2.150122
0.0,13,2.186513
0.0,2,2.188101
0.0,14,2.224547
0.0,18,2.26443
0.0,5,2.268616
0.0,4,2.272411
0.0,14,2.309431
0.0,8,2.316584
0.0,11,2.351677
0.0,5,2.356087
0.0,6,2.385872
0.0,6,2.391354
0.0,4,2.394947
0.0,4,2.423266
0.0,8,2.429848
0.0,3,2.432558
0.0,2,2.434275
0.0,4,2.462392
0.0,2,2.464065
0.0,4,2.4676
0.0,9,2.475721
0.0,4,2.503833
0.0,2,2.505537
0.0,5,2.510057
0.0,3,2.512642
1.0,7,2.543572
0.0,3,2.546392
0.0,5,2.550654
0.0,2,2.552536
0.0,9,2.585058
0.0,15,2.622281
0.0,3,2.624989
0.0,3,2.627638
1.0,18,2.667802
0.0,5,2.67229
0.0,7,2.703303
0.0,5,2.707967
1.0,6,2.713235
0.0,9,2.745517
0.0,7,2.751915
0.0,2,2.753866
0.0,4,2.781835
0.0,7,2.787751
0.0,3,2.790235
0.0,9,2.822718
0.0,3,2.825514
0.0,3,2.828314
0.0,2,2.830079
0.0,3,2.832724
0.0,7,2.863122
0.0,6,2.868064
0.0,8,2.900173
0.0,2,2.902011
0.0,2,2.903913
0.0,2,2.90578
0.0,3,2.908394
0.0,7,2.939166
0.0,2,2.940864
0.0,2,2.942528
0.0,5,2.947013
0.0,11,2.981265
0.0,7,2.987728
0.0,7,3.018646
0.0,4,3.021985
0.0,5,3.026616
0.0,3,3.02929
0.0,7,3.060091
0.0,6,3.065616
0.0,4,3.069326
0.0,4,3.097699
0.0,4,3.101139
0.0,3,3.103788
0.0,4,3.107302
0.0,2,3.109032
0.0,11,3.143338
1.0,9,3.176141
1.0,6,3.181465
0.0,4,3.185151
0.0,4,3.188704
1.0,9,3.221098
0.0,2,3.222867
1.0,6,3.228488
0.0,5,3.25748
0.0,3,3.260023
0.0,2,3.261992
0.0,3,3.264695
0.0,6,3.270016
0.0,3,3.297474
0.0,2,3.299135
0.0,2,3.301122
0.0,11,3.335935
0.0,4,3.339465
1.0,10,3.348382
0.0,4,3.376582
1.0,6,3.38172
0.0,3,3.384432
0.0,2,3.386401
0.0,5,3.415637
1.0,8,3.422172
1.0,10,3.455043
0.0,5,3.459721
0.0,3,3.462504
1.0,10,3.495925
0.0,4,3.499762
1.0,6,3.505182
0.0,5,3.534094
0.0,3,3.536723
0.0,5,3.541272
1.0,10,3.574892
1.0,10,3.583876
0.0,2,3.58584
1.0,8,3.61771
0.0,3,3.620522
0.0,3,3.623165
0.0,6,3.628728
0.0,2,3.654817
0.0,2,3.656647
1.0,7,3.663154
0.0,2,3.664962
0.0,5,3.693951
1.0,7,3.699787
1.0,8,3.707206
0.0,4,3.73551
0.0,2,3.737241
0.0,2,3.738983
0.0,5,3.743657
0.0,6,3.773462
0.0,2,3.775322
0.0,3,3.777989
0.0,2,3.779784
1.0,7,3.78588
0.0,2,3.787691
0.0,2,3.813728
1.0,7,3.819622
1.0,8,3.826968
0.0,2,3.853308
0.0,3,3.855767
0.0,5,3.860114
0.0,2,3.862027
1.0,8,3.893392
1.0,6,3.898519
0.0,2,3.900431
0.0,3,3.90312
0.0,4,3.931342
0.0,3,3.933866
0.0,2,3.935644
1.0,6,3.940848
1.0,6,3.971013
0.0,3,3.973783
1.0,6,3.979282
1.0,8,4.010126
1.0,9,4.018567
0.0,3,4.021345
1.0,8,4.052867
1.0,6,4.057887
1.0,9,4.09047
0.0,2,4.092254
1.0,6,4.097749
0.0,3,4.1004
0.0,5,4.129195
1.0,8,4.136591
1.0,6,4.142113
0.0,3,4.16915
0.0,3,4.171604
1.0,8,4.178829
0.0,2,4.180601
1.0,6,4.209956
0.0,3,4.212327
0.0,2,4.213996
1.0,7,4.219891
0.0,3,4.24613
1.0,11,4.255568
0.0,2,4.257453
0.0,2,4.259182
1.0,9,4.291618
1.0,6,4.297029
0.0,2,4.299161
1.0,7,4.33058
1.0,7,4.336734
0.0,2,4.338658
0.0,2,4.340456
1.0,6,4.369711
1.0,6,4.375083
1.0,6,4.405078
0.0,5,4.409213
1.0,6,4.414514
1.0,7,4.44533
1.0,6,4.45081
1.0,9,4.458849
0.0,2,4.485286
1.0,7,4.491125
1.0,6,4.496483
0.0,3,4.523685
0.0,2,4.5256
1.0,6,4.530892
0.0,4,4.534505
1.0,7,4.565436
0.0,3,4.567938
1.0,6,4.573251
1.0,7,4.603851
1.0,6,4.609316
0.0,2,4.611056
0.0,6,4.61657
1.0,8,4.648015
0.0,2,4.650024
0.0,2,4.651764
1.0,11,4.685979
0.0,2,4.687582
1.0,7,4.693839
1.0,6,4.723526
1.0,6,4.728504
0.0,4,4.73211
0.0,3,4.734831
1.0,7,4.764809
1.0,9,4.77289
0.0,2,4.774772
0.0,3,4.801989
0.0,2,4.803844
0.0,3,4.806176
1.0,9,4.81419
1.0,6,4.844065
0.0,3,4.846584
1.0,6,4.852006
0.0,3,4.878982
1.0,9,4.886962
0.0,2,4.888715
1.0,6,4.918578
1.0,6,4.923665
0.0,5,4.928188
1.0,6,4.958057
0.0,4,4.961351
1.0,6,4.966239
0.0,5,4.970688
1.0,6,5.000347
1.0,7,5.006734
1.0,7,5.037347
1.0,7,5.043278
1.0,6,5.048818
0.0,3,5.076571
1.0,7,5.083109
1.0,9,5.091164
0.0,2,5.117493
0.0,5,5.122114
1.0,6,5.127321
1.0,9,5.159988
1.0,9,5.167944
1.0,6,5.198158
0.0,2,5.199869
1.0,7,5.20593
0.0,4,5.209683
1.0,6,5.24016
1.0,6,5.245512
0.0,2,5.247225
1.0,7,5.278365
1.0,6,5.283585
1.0,6,5.288935
0.0,2,5.290787
1.0,6,5.320756
1.0,7,5.327
1.0,7,5.357632
1.0,6,5.362563
0.0,2,5.364405
0.0,2,5.36623
0.0,3,5.368839
1.0,6,5.397684
0.0,3,5.400392
1.0,7,5.406586
0.0,3,5.434046
1.0,6,5.439028
0.0,2,5.440711
1.0,6,5.446139
0.0,3,5.473214
1.0,6,5.47822
0.0,2,5.479918
1.0,7,5.486187
1.0,6,5.515414
1.0,6,5.520604
0.0,3,5.523182
1.0,6,5.553111
1.0,8,5.560234
1.0,6,5.56552
0.0,2,5.591651
0.0,2,5.593408
1.0,6,5.598579
1.0,6,5.603837
0.0,3,5.63071
1.0,6,5.636126
1.0,7,5.642481
0.0,4,5.670481
0.0,2,5.672327
1.0,6,5.677657
1.0,6,5.683008
1.0,6,5.712181
0.0,2,5.713773
1.0,6,5.718952
0.0,5,5.747747
1.0,6,5.752864
1.0,6,5.75813
1.0,8,5.789709
1.0,6,5.795076
1.0,7,5.801287
0.0,2,5.827533
1.0,6,5.832994
1.0,6,5.838256
1.0,6,5.868198
1.0,6,5.873321
1.0,6,5.878828
0.0,3,5.906011
1.0,7,5.911703
1.0,6,5.917071
0.0,3,5.919647
1.0,6,5.949161
1.0,7,5.955585
1.0,8,5.986976
1.0,6,5.992215
1.0,6,5.997517
1.0,6,6.026984
1.0,6,6.032136
0.0,3,6.034867
1.0,6,6.06452
1.0,6,6.069602
0.0,2,6.071417
1.0,6,6.076728
1.0,7,6.10668
1.0,7,6.112885
0.0,2,6.114677
0.0,3,6.141524
1.0,6,6.146654
0.0,4,6.150009
1.0,6,6.180007
1.0,6,6.185074
1.0,6,6.190374
0.0,5,6.219428
1.0,7,6.225259
0.0,2,6.227216
1.0,7,6.233335
0.0,2,6.259738
1.0,6,6.264718
1.0,6,6.269981
1.0,6,6.29931
1.0,6,6.30438
1.0,6,6.309771
0.0,3,6.336329
1.0,6,6.341291
1.0,7,6.347368
1.0,6,6.377332
1.0,6,6.382593
1.0,6,6.387826
0.0,3,6.414992
1.0,6,6.420016
0.0,2,6.421692
1.0,6,6.427044
0.0,2,6.428897
1.0,6,6.458543
1.0,7,6.46466
0.0,5,6.49335
0.0,3,6.495842
1.0,6,6.50076
1.0,6,6.506234
1.0,6,6.535645
1.0,6,6.541102
1.0,6,6.546353
0.0,2,6.572613
1.0,6,6.577762
1.0,7,6.584009
0.0,3,6.610862
1.0,6,6.615998
1.0,6,6.621326
1.0,7,6.652204
1.0,6,6.657444
1.0,6,6.662781
0.0,3,6.689654
1.0,6,6.6948
1.0,6,6.700114
1.0,8,6.731731
1.0,6,6.737024
1.0,6,6.742339
1.0,6,6.771966
1.0,6,6.777193
1.0,6,6.782419
1.0,6,6.812135
1.0,6,6.817318
1.0,7,6.847882
1.0,7,6.85388
1.0,6,6.859252
0.0,3,6.886246
1.0,6,6.891348
1.0,6,6.896735
1.0,7,6.927436
1.0,6,6.932551
1.0,6,6.937868
0.0,3,6.965065
1.0,6,6.970153
1.0,6,6.97542
0.0,5,7.004389
1.0,6,7.009518
1.0,6,7.014861
1.0,7,7.045606
1.0,6,7.05069
1.0,6,7.056032
0.0,3,7.082909
1.0,6,7.08788
1.0,6,7.092702
1.0,7,7.123168
1.0,6,7.128549
1.0,7,7.134816
1.0,6,7.164344
1.0,6,7.169523
1.0,6,7.174886
1.0,6,7.204179
1.0,6,7.209399
1.0,6,7.238983
1.0,6,7.24396
1.0,7,7.250224
1.0,6,7.279784
1.0,7,7.286064
1.0,6,7.291377
1.0,6,7.321072
1.0,6,7.326376
0.0,3,7.328995
1.0,6,7.358834
1.0,6,7.364052
1.0,6,7.369306
0.0,3,7.395932
1.0,6,7.401118
0.0,2,7.402899
1.0,6,7.408073
0.0,3,7.434678
1.0,6,7.439642
0.0,3,7.442441
1.0,6,7.447692
1.0,6,7.477163
1.0,6,7.482473
1.0,6,7.48775
1.0,6,7.517268
1.0,6,7.522667
1.0,6,7.552237
1.0,6,7.557303
1.0,6,7.562634
1.0,7,7.593236
1.0,8,7.600015
1.0,6,7.605279
0.0,2,7.631484
1.0,6,7.63683
1.0,6,7.642446
1.0,6,7.672252
0.0,3,7.674754
0.0,2,7.676604
1.0,7,7.682749
0.0,3,7.70956
1.0,6,7.71455
1.0,6,7.71979
0.0,5,7.748369
1.0,6,7.753752
1.0,6,7.759099
1.0,7,7.789534
1.0,6,7.794471
1.0,6,7.799787
0.0,3,7.826971
1.0,6,7.832244
1.0,6,7.837404
1.0,7,7.868258
1.0,6,7.873539
1.0,6,7.878801
0.0,3,7.905704
1.0,6,7.91088
1.0,6,7.9161
1.0,7,7.946515
1.0,6,7.951643
1.0,7,7.957805
1.0,6,7.986548
1.0,6,7.991771
1.0,8,8.023464
1.0,6,8.028433
1.0,6,8.033708
1.0,6,8.063357
1.0,6,8.068497
1.0,6,8.073842
0.0,3,8.101065
1.0,6,8.106029
1.0,6,8.111295
1.0,7,8.14192
1.0,6,8.146904
1.0,6,8.152146
0.0,3,8.179399
1.0,6,8.184708
1.0,6,8.190066
1.0,7,8.220215
1.0,6,8.225174
1.0,6,8.230498
0.0,3,8.257653
1.0,6,8.262938
1.0,6,8.268184
1.0,7,8.298805
1.0,6,8.303707
1.0,6,8.309029
0.0,3,8.336083
1.0,8,8.343013
1.0,6,8.348306
0.0,3,8.374941
1.0,6,8.380171
1.0,6,8.385466
1.0,7,8.417341
1.0,6,8.422746
1.0,6,8.428009
0.0,3,8.455202
1.0,6,8.460155
1.0,6,8.465421
1.0,7,8.496226
1.0,6,8.501484
1.0,6,8.506727
0.0,3,8.533557
1.0,6,8.538657
1.0,6,8.543965
1.0,7,8.57467
1.0,6,8.579676
1.0,6,8.585039
0.0,3,8.612093
1.0,6,8.617305
1.0,6,8.62258
1.0,7,8.653117
1.0,6,8.658373
1.0,6,8.66356
0.0,3,8.690659
1.0,6,8.695577
1.0,7,8.701797
1.0,6,8.731273
1.0,6,8.736102
1.0,6,8.74129
0.0,3,8.768241
1.0,6,8.773281
1.0,6,8.778576
1.0,7,8.809202
1.0,6,8.814344
1.0,6,8.819538
0.0,3,8.84642
1.0,6,8.851733
1.0,6,8.856941
1.0,7,8.886994
1.0,6,8.892025
1.0,6,8.897243
0.0,3,8.92441
1.0,6,8.92965
1.0,6,8.934994
1.0,7,8.965583
1.0,6,8.970575
1.0,6,8.975853
0.0,3,9.003194
1.0,6,9.008414
1.0,6,9.01364
1.0,7,9.043985
1.0,6,9.049227
1.0,6,9.05446
0.0,3,9.081419
0.0,3,9.084141
1.0,6,9.089358
1.0,6,9.094537
1.0,6,9.1242
1.0,6,9.129463
1.0,6,9.134647
1.0,6,9.163801
1.0,6,9.169066
1.0,6,9.198936
0.0,2,9.200779
1.0,6,9.205891
1.0,6,9.211171
0.0,3,9.238132
1.0,6,9.243195
1.0,6,9.248512
1.0,7,9.27899
1.0,6,9.284162
1.0,6,9.289504
0.0,3,9.316774
1.0,6,9.321779
1.0,6,9.32711
1.0,7,9.357415
1.0,6,9.362441
1.0,6,9.36772
0.0,3,9.39456
1.0,6,9.399811
1.0,6,9.405028
0.0,5,9.434031
1.0,6,9.438968
1.0,7,9.445119
1.0,6,9.475006
1.0,6,9.480371
1.0,6,9.485666
0.0,3,9.512613
1.0,6,9.517884
1.0,6,9.523125
1.0,7,9.55394
1.0,6,9.558905
1.0,6,9.564168
0.0,3,9.59129
1.0,6,9.596438
1.0,6,9.601711
1.0,7,9.632523
1.0,6,9.637767
1.0,6,9.643028
0.0,3,9.67017
1.0,6,9.675094
1.0,6,9.680289
1.0,7,9.711109
1.0,6,9.716333
1.0,6,9.721564
0.0,3,9.748635
1.0,6,9.753892
1.0,6,9.759117
1.0,7,9.789886
1.0,7,9.796017
1.0,6,9.801277
1.0,6,9.831022
1.0,6,9.836224
1.0,6,9.841403
1.0,6,9.871043
1.0,6,9.876315
0.0,2,9.878293
1.0,6,9.907938
1.0,6,9.91321
1.0,6,9.918464
0.0,3,9.945479
1.0,6,9.950666
1.0,6,9.955939
1.0,7,9.986726
1.0,6,9.992076
1.0,6,9.997434
0.0,3,10.025364
1.0,6,10.0307
1.0,6,10.035941
1.0,7,10.066636
1.0,6,10.07162
1.0,6,10.07698
0.0,3,10.104098
1.0,6,10.10931
1.0,6,10.114546
1.0,7,10.145319
1.0,6,10.15047
1.0,6,10.155762
0.0,3,10.182749
1.0,6,10.188003
1.0,6,10.193329
1.0,7,10.224074
1.0,6,10.229324
1.0,6,10.234555
0.0,3,10.261296
1.0,7,10.267352
1.0,6,10.272646
1.0,6,10.302351
1.0,6,10.307538
1.0,6,10.312808
0.0,3,10.339645
1.0,6,10.344764
1.0,6,10.350153
1.0,7,10.38095
1.0,6,10.386023
1.0,6,10.391287
0.0,3,10.418103
1.0,6,10.423089
1.0,6,10.428394
1.0,7,10.459259
1.0,6,10.464358
1.0,6,10.469638
0.0,3,10.496631
1.0,6,10.501587
1.0,6,10.506942
0.0,5,10.535563
1.0,6,10.540925
1.0,6,10.546234
1.0,7,10.576896
1.0,6,10.581919
1.0,6,10.587169
0.0,3,10.613969
1.0,6,10.619246
1.0,6,10.624468
1.0,7,10.655129
1.0,6,10.660061
1.0,6,10.665386
0.0,3,10.692095
1.0,6,10.697253
1.0,6,10.702565
1.0,7,10.734045
1.0,6,10.73911
1.0,6,10.744335
0.0,3,10.771496
1.0,6,10.776634
1.0,6,10.78187
1.0,7,10.812428
0.0,2,10.814288
1.0,6,10.819526
1.0,6,10.824786
1.0,6,10.854891
1.0,6,10.86018
1.0,6,10.889685
1.0,6,10.894884
1.0,6,10.900141
1.0,7,10.930837
1.0,6,10.936064
1.0,6,10.941312
0.0,3,10.968256
1.0,6,10.973401
1.0,6,10.97868
1.0,7,11.009138
1.0,6,11.014213
1.0,6,11.019458
0.0,3,11.046092
1.0,6,11.051167
1.0,6,11.056445
1.0,7,11.086853
1.0,6,11.091898
1.0,6,11.097156
0.0,3,11.12434
1.0,6,11.12942
1.0,6,11.134657
1.0,7,11.165494
1.0,6,11.170586
1.0,6,11.175815
0.0,3,11.202795
1.0,6,11.207753
1.0,6,11.212996
1.0,7,11.24405
1.0,6,11.249342
1.0,6,11.254543
0.0,3,11.281543
1.0,6,11.286517
1.0,6,11.291854
1.0,7,11.322587
1.0,6,11.327928
1.0,6,11.333206
0.0,3,11.360132
1.0,6,11.36503
1.0,6,11.370275
1.0,7,11.400746
1.0,6,11.406056
1.0,6,11.411239
0.0,3,11.454084
1.0,6,11.460259
1.0,6,11.466084
0.0,5,11.522386
1.0,6,11.529316
1.0,6,11.535572
1.0,7,11.568206
1.0,6,11.573405
1.0,6,11.578615
0.0,3,11.605162
1.0,6,11.610049
1.0,6,11.615257
1.0,7,11.645756
1.0,6,11.650643
1.0,6,11.655837
0.0,3,11.682867
1.0,6,11.688071
1.0,7,11.694248
1.0,6,11.723828
1.0,6,11.728683
1.0,6,11.733994
0.0,3,11.761209
1.0,6,11.766484
1.0,6,11.771791
1.0,7,11.802505
1.0,6,11.807473
1.0,6,11.812763
0.0,3,11.839888
1.0,6,11.84503
1.0,6,11.85029
1.0,7,11.880939
1.0,6,11.886242
1.0,6,11.891532
0.0,3,11.919457
1.0,6,11.924884
1.0,6,11.930192
1.0,7,11.96101
1.0,6,11.966084
1.0,6,11.971296
0.0,3,11.997958
1.0,6,12.003145
1.0,6,12.008348
1.0,7,12.038512
1.0,6,12.043786
1.0,6,12.048989
0.0,3,12.07605
1.0,6,12.081213
1.0,6,12.086675
1.0,7,12.11803
1.0,6,12.123287
1.0,6,12.128518
0.0,3,12.155478
1.0,6,12.160666
1.0,6,12.165916
1.0,7,12.196311
1.0,6,12.201572
1.0,6,12.206835
0.0,3,12.23385
1.0,6,12.239024
1.0,6,12.244301
1.0,7,12.275955
1.0,6,12.281301
1.0,6,12.286541
0.0,3,12.313593
1.0,6,12.318509
1.0,6,12.323634
1.0,7,12.354382
1.0,6,12.359592
1.0,6,12.364776
0.0,3,12.391897
1.0,6,12.397027
1.0,6,12.402232
1.0,7,12.433042
1.0,6,12.438243
1.0,6,12.443633
0.0,3,12.470968
1.0,6,12.476336
1.0,6,12.481582
0.0,5,12.510746
1.0,6,12.515916
1.0,6,12.521165
1.0,7,12.551711
1.0,6,12.556981
1.0,6,12.562265
0.0,3,12.589223
1.0,6,12.594389
1.0,6,12.599607
1.0,7,12.630429
