# {"t_start": 1636398183.67811, "env_id": "FrozenLake-v1"} 
r,l,t
0.0,5,0.024784
0.0,17,0.069539
0.0,7,0.074909
0.0,10,0.106961
0.0,4,0.110502
0.0,9,0.142446
0.0,4,0.145818
0.0,16,0.184359
0.0,2,0.185972
0.0,21,0.227788
0.0,15,0.264043
0.0,2,0.265612
0.0,7,0.29615
0.0,11,0.304683
0.0,21,0.346067
0.0,8,0.377288
0.0,7,0.383403
0.0,8,0.414909
0.0,3,0.417351
0.0,6,0.422541
0.0,15,0.459194
0.0,19,0.498718
0.0,10,0.531705
0.0,4,0.535169
0.0,6,0.540354
0.0,2,0.566765
0.0,6,0.571704
0.0,6,0.576586
0.0,13,0.611459
0.0,4,0.614828
0.0,4,0.64241
0.0,11,0.651223
0.0,2,0.652984
0.0,9,0.685324
0.0,11,0.694988
0.0,11,0.728715
0.0,9,0.7611
0.0,7,0.767175
0.0,2,0.76885
0.0,5,0.773079
0.0,3,0.8001
0.0,8,0.806867
0.0,7,0.837393
0.0,8,0.843937
0.0,11,0.877823
0.0,10,0.886439
0.0,2,0.888192
0.0,4,0.91621
0.0,4,0.919309
0.0,2,0.920907
0.0,15,0.957551
0.0,11,0.96702
0.0,2,0.992864
0.0,2,0.994446
0.0,24,1.037858
0.0,13,1.073186
0.0,6,1.078319
0.0,21,1.120055
0.0,8,1.150859
0.0,8,1.157052
0.0,5,1.185527
0.0,3,1.188226
0.0,10,1.196513
0.0,2,1.222712
0.0,8,1.229917
0.0,3,1.232536
0.0,2,1.234322
0.0,2,1.236022
0.0,5,1.264317
0.0,5,1.268105
0.0,5,1.272377
0.0,12,1.306962
1.0,20,1.348092
0.0,7,1.378673
0.0,3,1.381113
0.0,4,1.384589
0.0,4,1.38819
1.0,16,1.426073
0.0,6,1.455295
0.0,22,1.497058
0.0,4,1.500567
0.0,10,1.533303
0.0,18,1.572749
0.0,5,1.576698
0.0,8,1.607283
0.0,15,1.619669
0.0,9,1.651045
0.0,9,1.658671
0.0,2,1.684973
0.0,2,1.686679
0.0,4,1.689788
0.0,9,1.697488
0.0,3,1.724286
0.0,5,1.728438
0.0,11,1.762515
0.0,7,1.768109
0.0,2,1.769992
0.0,10,1.803173
0.0,6,1.808226
0.0,6,1.813465
0.0,5,1.841856
0.0,7,1.847291
0.0,5,1.851297
0.0,4,1.879304
0.0,3,1.881716
0.0,4,1.885005
0.0,6,1.890207
0.0,13,1.926777
0.0,10,1.959952
0.0,9,1.967089
0.0,4,1.994512
0.0,14,2.006506
0.0,6,2.035705
0.0,4,2.038918
0.0,6,2.043581
0.0,7,2.074198
0.0,9,2.082523
0.0,3,2.085168
0.0,12,2.119788
0.0,2,2.12159
0.0,9,2.153538
0.0,3,2.156094
0.0,5,2.160572
0.0,2,2.162428
0.0,5,2.191481
1.0,16,2.229569
0.0,2,2.231261
0.0,14,2.267788
0.0,5,2.27199
0.0,7,2.2784
0.0,4,2.28204
0.0,2,2.30859
1.0,10,2.317087
0.0,9,2.350391
0.0,8,2.357604
0.0,5,2.362022
1.0,9,2.39457
0.0,2,2.396434
0.0,5,2.400903
0.0,4,2.429097
