# {"t_start": 1636398183.6749241, "env_id": "FrozenLake-v1"} 
r,l,t
0.0,12,0.0348
0.0,2,0.036612
0.0,4,0.06954
0.0,15,0.081407
0.0,4,0.108468
0.0,9,0.116238
0.0,7,0.146401
0.0,8,0.153483
0.0,9,0.185844
0.0,5,0.190063
0.0,2,0.191858
0.0,10,0.224764
0.0,9,0.231716
0.0,3,0.234081
0.0,2,0.235754
0.0,2,0.261817
0.0,7,0.267163
0.0,8,0.273854
0.0,2,0.300077
0.0,4,0.303252
0.0,9,0.3102
0.0,17,0.348327
0.0,3,0.375653
0.0,6,0.380427
0.0,5,0.384716
0.0,13,0.420482
0.0,2,0.422375
0.0,2,0.424032
0.0,3,0.426629
0.0,22,0.493067
0.0,8,0.499329
0.0,4,0.502628
0.0,5,0.531313
0.0,2,0.533097
0.0,15,0.570702
0.0,4,0.573919
0.0,11,0.607638
0.0,7,0.613096
0.0,20,0.653406
0.0,2,0.655245
0.0,7,0.685713
0.0,3,0.688456
0.0,22,0.731847
0.0,6,0.736934
0.0,4,0.765129
0.0,7,0.771153
0.0,14,0.807443
1.0,12,0.84217
0.0,16,0.880009
0.0,2,0.881757
0.0,2,0.883312
0.0,3,0.885967
0.0,5,0.890454
0.0,2,0.892215
0.0,4,0.920163
0.0,15,0.956665
0.0,6,0.96162
0.0,10,0.970155
0.0,4,0.997585
0.0,6,1.002217
0.0,7,1.007673
0.0,4,1.035461
0.0,3,1.037869
0.0,10,1.046254
0.0,2,1.072125
0.0,5,1.076307
0.0,6,1.081434
0.0,8,1.112283
0.0,14,1.148463
0.0,7,1.153994
0.0,3,1.156401
0.0,12,1.190547
0.0,6,1.195374
0.0,11,1.229448
0.0,9,1.237455
0.0,2,1.239156
0.0,12,1.273107
0.0,15,1.31008
0.0,4,1.313455
0.0,4,1.341666
0.0,5,1.345711
0.0,5,1.349601
0.0,3,1.352072
0.0,2,1.3539
0.0,13,1.389445
0.0,4,1.393155
1.0,12,1.427322
0.0,16,1.464719
1.0,14,1.500198
0.0,2,1.502105
0.0,2,1.503703
0.0,4,1.50703
0.0,16,1.544606
0.0,8,1.575868
0.0,5,1.579835
0.0,4,1.583008
0.0,2,1.584553
0.0,8,1.61551
0.0,17,1.653356
0.0,14,1.689803
0.0,4,1.692909
0.0,9,1.700605
0.0,3,1.727423
0.0,6,1.732332
0.0,5,1.736719
0.0,10,1.769718
0.0,2,1.771246
0.0,5,1.775788
1.0,8,1.807215
0.0,3,1.809737
0.0,2,1.811325
0.0,4,1.814906
0.0,6,1.844173
0.0,6,1.848841
0.0,3,1.851238
0.0,3,1.853655
0.0,4,1.881621
0.0,8,1.888144
0.0,5,1.89245
0.0,3,1.919905
0.0,2,1.921658
0.0,4,1.925372
0.0,10,1.934389
0.0,4,1.96228
0.0,3,1.964736
1.0,17,2.002714
0.0,16,2.040389
0.0,3,2.04286
1.0,10,2.07569
0.0,5,2.080157
0.0,3,2.082873
0.0,6,2.088285
0.0,29,2.161913
0.0,4,2.165564
0.0,7,2.196274
0.0,4,2.199833
0.0,2,2.201481
0.0,3,2.204052
0.0,7,2.234379
0.0,8,2.241428
0.0,2,2.24334
0.0,3,2.245888
0.0,4,2.273398
0.0,2,2.275128
0.0,3,2.277816
0.0,3,2.280609
0.0,3,2.283289
0.0,2,2.285151
0.0,13,2.321116
0.0,16,2.360735
0.0,4,2.364275
0.0,4,2.39237
0.0,7,2.398668
0.0,12,2.433871
0.0,15,2.471388
0.0,6,2.476699
0.0,4,2.480249
0.0,10,2.513832
0.0,16,2.552744
0.0,10,2.561688
0.0,3,2.589166
0.0,2,2.590785
0.0,10,2.598758
0.0,3,2.601495
0.0,7,2.632317
0.0,2,2.634022
0.0,2,2.63592
0.0,3,2.638534
0.0,4,2.641831
0.0,11,2.676113
0.0,3,2.67875
0.0,6,2.708776
1.0,19,2.750135
0.0,2,2.75188
0.0,6,2.757365
0.0,2,2.759189
0.0,3,2.786709
0.0,3,2.789145
0.0,3,2.79158
0.0,9,2.799456
0.0,7,2.82997
0.0,5,2.834783
0.0,2,2.836506
0.0,6,2.866379
0.0,4,2.869683
0.0,7,2.875405
0.0,3,2.878135
1.0,10,2.912277
0.0,11,2.946476
0.0,5,2.950835
0.0,4,2.954346
0.0,3,2.957079
0.0,3,2.984473
1.0,7,2.99046
0.0,2,2.992292
0.0,2,2.994092
0.0,2,2.995964
0.0,2,2.997796
0.0,7,3.028394
0.0,10,3.037534
0.0,3,3.064908
0.0,7,3.071109
0.0,5,3.075698
0.0,6,3.105904
0.0,7,3.111984
0.0,2,3.113772
0.0,3,3.116385
0.0,4,3.14472
0.0,7,3.150641
1.0,12,3.186221
0.0,4,3.189683
1.0,7,3.195984
0.0,8,3.227483
0.0,4,3.231128
0.0,2,3.233081
0.0,3,3.23582
0.0,10,3.269344
0.0,7,3.275618
