# {"t_start": 1636398183.675432, "env_id": "FrozenLake-v1"} 
r,l,t
0.0,12,0.034321
1.0,12,0.073734
0.0,14,0.10871
0.0,11,0.118246
0.0,7,0.148456
0.0,2,0.15021
0.0,10,0.18374
0.0,6,0.18861
0.0,4,0.192253
0.0,2,0.193967
0.0,10,0.226511
0.0,2,0.228119
0.0,8,0.234381
0.0,14,0.269974
0.0,8,0.301238
0.0,8,0.307319
0.0,15,0.343671
0.0,2,0.345311
1.0,9,0.377507
0.0,9,0.385198
0.0,7,0.415716
0.0,8,0.422675
1.0,20,0.463371
0.0,6,0.492591
0.0,5,0.496524
0.0,3,0.498852
0.0,6,0.503728
0.0,4,0.531626
0.0,6,0.536848
0.0,27,0.608785
0.0,2,0.610343
0.0,7,0.615699
0.0,2,0.617448
0.0,2,0.619153
0.0,7,0.649015
0.0,2,0.650581
0.0,22,0.694231
0.0,3,0.696774
0.0,16,0.73472
0.0,6,0.764653
0.0,7,0.770676
0.0,5,0.774909
0.0,7,0.805317
0.0,7,0.811313
0.0,9,0.843208
0.0,8,0.84986
0.0,3,0.852556
0.0,26,0.923543
0.0,3,0.925923
0.0,11,0.959335
0.0,11,0.968766
0.0,14,1.004096
0.0,2,1.00568
0.0,3,1.03231
0.0,11,1.041357
0.0,5,1.045778
0.0,9,1.077559
0.0,4,1.080956
0.0,9,1.112568
0.0,9,1.120205
1.0,25,1.189012
0.0,4,1.192442
0.0,20,1.234307
0.0,16,1.27176
0.0,16,1.309601
0.0,4,1.312973
0.0,5,1.341989
0.0,12,1.351589
0.0,3,1.35431
0.0,3,1.38131
0.0,3,1.383733
0.0,2,1.385545
0.0,30,1.459534
0.0,4,1.46266
0.0,2,1.464237
0.0,15,1.50071
0.0,8,1.50738
0.0,3,1.534373
0.0,12,1.544135
0.0,3,1.546705
0.0,5,1.575386
1.0,15,1.611799
0.0,2,1.613463
0.0,6,1.618223
0.0,6,1.623155
0.0,15,1.659515
0.0,2,1.661306
0.0,5,1.690101
0.0,4,1.69335
0.0,8,1.700125
0.0,2,1.726146
0.0,9,1.733631
0.0,8,1.765106
0.0,14,1.777062
0.0,6,1.806739
0.0,5,1.810846
0.0,2,1.812694
0.0,6,1.842039
0.0,15,1.853937
0.0,6,1.883567
0.0,7,1.889382
0.0,6,1.919425
0.0,4,1.923029
0.0,3,1.925767
0.0,6,1.931143
0.0,2,1.933059
0.0,8,1.964255
1.0,9,1.971327
0.0,11,2.004741
0.0,7,2.010757
0.0,7,2.040746
0.0,10,2.048885
0.0,6,2.078687
0.0,4,2.082392
0.0,10,2.116054
0.0,5,2.119987
0.0,13,2.155344
0.0,3,2.15796
1.0,10,2.16686
0.0,2,2.193335
0.0,2,2.194942
0.0,10,2.203571
0.0,3,2.206243
0.0,4,2.233898
0.0,5,2.238136
0.0,4,2.241882
0.0,2,2.243674
0.0,3,2.270412
0.0,7,2.276366
0.0,3,2.27925
0.0,6,2.284677
0.0,2,2.311204
0.0,11,2.320636
0.0,3,2.323431
0.0,3,2.351378
0.0,6,2.356555
0.0,5,2.361159
0.0,7,2.391889
0.0,18,2.432525
0.0,6,2.4375
0.0,8,2.469192
0.0,8,2.47622
0.0,9,2.509065
0.0,7,2.515192
0.0,8,2.522102
