# {"t_start": 1636398183.689714, "env_id": "FrozenLake-v1"} 
r,l,t
0.0,3,0.01186
0.0,3,0.014517
0.0,5,0.019578
0.0,2,0.021441
0.0,3,0.024035
0.0,2,0.055238
0.0,20,0.094983
0.0,4,0.098489
0.0,6,0.103599
0.0,26,0.174899
0.0,10,0.18355
0.0,2,0.209648
0.0,8,0.215845
0.0,14,0.251291
0.0,3,0.253626
0.0,4,0.256899
0.0,2,0.25866
0.0,9,0.290421
0.0,7,0.295843
0.0,7,0.325969
0.0,6,0.330682
0.0,14,0.367011
0.0,4,0.370539
0.0,16,0.40889
0.0,12,0.443323
0.0,3,0.445671
0.0,4,0.448762
0.0,7,0.47877
0.0,8,0.485015
0.0,23,0.529188
0.0,6,0.55875
0.0,10,0.567055
0.0,5,0.595716
0.0,8,0.602063
0.0,4,0.605416
0.0,4,0.632859
0.0,9,0.640044
0.0,3,0.642692
0.0,5,0.671479
0.0,7,0.67792
0.0,17,0.71664
0.0,12,0.751795
0.0,10,0.760284
0.0,2,0.761893
0.0,3,0.788956
0.0,4,0.792265
0.0,10,0.800813
0.0,2,0.827056
0.0,3,0.829378
0.0,5,0.833501
0.0,5,0.837879
0.0,7,0.868187
0.0,2,0.869932
0.0,8,0.877011
0.0,6,0.906548
0.0,3,0.908888
0.0,37,0.987915
0.0,2,0.989492
0.0,6,1.018501
0.0,12,1.02852
0.0,11,1.062031
0.0,5,1.06628
0.0,13,1.101305
0.0,13,1.136553
0.0,4,1.139684
0.0,8,1.145868
0.0,7,1.176232
0.0,22,1.219649
0.0,12,1.253867
0.0,2,1.255343
0.0,6,1.260363
0.0,11,1.294166
0.0,2,1.295961
0.0,13,1.33138
0.0,3,1.333713
0.0,3,1.336093
0.0,12,1.370896
0.0,4,1.374227
0.0,2,1.376148
0.0,10,1.408813
0.0,30,1.481852
0.0,4,1.485019
0.0,4,1.488589
0.0,28,1.560723
0.0,2,1.562381
0.0,7,1.567897
0.0,4,1.570915
0.0,4,1.598826
0.0,5,1.602833
0.0,6,1.60767
0.0,4,1.635279
0.0,2,1.636876
0.0,4,1.639849
0.0,5,1.643998
1.0,14,1.680407
0.0,7,1.686325
0.0,3,1.713141
0.0,16,1.751414
0.0,7,1.757147
0.0,12,1.79198
0.0,4,1.795438
0.0,3,1.798021
0.0,12,1.832193
0.0,4,1.835315
0.0,6,1.840194
0.0,8,1.871324
0.0,8,1.878218
0.0,9,1.911069
0.0,11,1.945531
0.0,3,1.947992
0.0,5,1.952018
0.0,2,1.953502
0.0,5,1.957469
0.0,5,1.986025
0.0,6,1.991051
0.0,3,1.993677
0.0,16,2.030848
0.0,3,2.033275
0.0,3,2.060472
0.0,4,2.063999
0.0,19,2.105355
0.0,4,2.108797
0.0,4,2.112104
0.0,10,2.144957
0.0,6,2.150393
0.0,8,2.18205
0.0,9,2.189901
0.0,14,2.226271
0.0,20,2.268114
0.0,8,2.299977
0.0,7,2.30592
0.0,5,2.31057
0.0,5,2.340033
0.0,5,2.344764
0.0,6,2.350024
0.0,10,2.383503
0.0,4,2.387117
0.0,3,2.389794
0.0,9,2.422122
0.0,3,2.424728
0.0,9,2.457147
0.0,16,2.496061
0.0,7,2.502294
0.0,2,2.503973
0.0,6,2.509147
0.0,2,2.535781
0.0,2,2.537569
0.0,4,2.54111
0.0,2,2.542842
0.0,2,2.544716
0.0,2,2.546555
0.0,11,2.58036
