# {"t_start": 1636398183.678723, "env_id": "FrozenLake-v1"} 
r,l,t
0.0,12,0.0311
0.0,9,0.068166
0.0,2,0.069693
0.0,14,0.104723
0.0,16,0.142662
0.0,8,0.149744
0.0,6,0.154915
0.0,5,0.183776
0.0,11,0.193229
0.0,4,0.221023
0.0,9,0.227971
0.0,9,0.259585
0.0,10,0.26749
0.0,7,0.298012
0.0,8,0.304097
0.0,30,0.377459
0.0,2,0.379212
0.0,6,0.384507
0.0,4,0.412491
0.0,42,0.495608
0.0,6,0.500484
0.0,4,0.5284
1.0,8,0.535454
0.0,3,0.538031
0.0,18,0.577566
0.0,7,0.60785
0.0,17,0.645775
0.0,8,0.65241
0.0,4,0.680337
0.0,3,0.682881
0.0,2,0.684739
0.0,14,0.721436
0.0,4,0.724612
0.0,13,0.760514
0.0,6,0.765611
0.0,2,0.767435
0.0,9,0.799518
1.0,9,0.807207
0.0,9,0.83919
0.0,11,0.848379
0.0,3,0.875382
0.0,20,0.917155
0.0,8,0.923426
0.0,12,0.957876
0.0,12,0.992286
0.0,4,0.995384
0.0,6,1.00007
0.0,5,1.00393
0.0,2,1.029884
0.0,3,1.032478
0.0,8,1.039053
0.0,5,1.067547
0.0,2,1.069156
0.0,11,1.078523
0.0,4,1.106132
0.0,8,1.112725
0.0,4,1.116102
0.0,23,1.183359
0.0,12,1.193232
0.0,13,1.229334
0.0,10,1.262083
0.0,8,1.268519
0.0,4,1.271792
0.0,2,1.27359
0.0,14,1.309728
1.0,26,1.380525
0.0,3,1.383134
1.0,6,1.388524
0.0,2,1.390254
0.0,2,1.416063
0.0,11,1.425488
0.0,5,1.453863
0.0,3,1.456311
0.0,4,1.459416
0.0,19,1.49916
0.0,3,1.501658
0.0,12,1.535911
0.0,9,1.543467
0.0,4,1.571269
0.0,4,1.574481
0.0,3,1.576929
0.0,14,1.612585
0.0,9,1.619913
0.0,12,1.653758
0.0,4,1.657114
0.0,4,1.685161
0.0,6,1.69011
0.0,5,1.694235
0.0,6,1.7237
0.0,8,1.730395
0.0,6,1.735602
0.0,3,1.762813
1.0,8,1.76941
0.0,6,1.774727
0.0,3,1.801696
0.0,2,1.803497
0.0,8,1.810337
0.0,9,1.842023
0.0,6,1.846703
0.0,7,1.877086
0.0,4,1.880322
0.0,9,1.887744
0.0,7,1.918828
0.0,8,1.926198
0.0,13,1.961737
0.0,14,1.997402
0.0,10,2.005918
0.0,3,2.032627
0.0,5,2.036687
0.0,2,2.038335
0.0,2,2.039833
0.0,12,2.074498
0.0,4,2.078185
0.0,4,2.081938
0.0,9,2.114424
0.0,4,2.117562
0.0,7,2.123522
0.0,7,2.153684
0.0,6,2.159074
0.0,4,2.162804
1.0,8,2.194248
0.0,12,2.22899
0.0,6,2.234027
0.0,8,2.241277
0.0,5,2.269652
0.0,5,2.274096
0.0,6,2.279576
0.0,2,2.281455
0.0,10,2.314751
0.0,16,2.354196
0.0,14,2.391275
0.0,5,2.395848
0.0,4,2.399447
0.0,7,2.43013
0.0,3,2.432674
0.0,7,2.438727
0.0,11,2.472979
0.0,10,2.506647
