# {"t_start": 1636380128.852227, "env_id": "FrozenLake-v0"} 
r,l,t
0.0,5,0.063583
0.0,28,0.212649
0.0,27,0.389279
0.0,23,0.493833
0.0,16,0.584028
0.0,16,0.683226
0.0,9,0.762099
0.0,2,0.766359
0.0,3,0.772491
0.0,14,0.860247
0.0,4,0.867983
0.0,8,0.941617
0.0,15,1.036126
0.0,2,1.040828
0.0,3,1.046775
0.0,6,1.058331
0.0,12,1.140773
0.0,19,1.238378
0.0,8,1.255562
0.0,9,1.333064
0.0,16,1.423508
0.0,12,1.505925
0.0,22,1.6078
0.0,19,1.705006
0.0,14,1.791371
0.0,2,1.795275
0.0,2,1.799197
0.0,3,1.805641
0.0,12,1.888041
0.0,6,1.900059
0.0,9,1.978461
0.0,4,1.986757
0.0,13,2.070788
0.0,8,2.086615
0.0,27,2.259263
0.0,6,2.271155
0.0,3,2.276612
0.0,2,2.339425
0.0,5,2.348941
0.0,3,2.355037
0.0,3,2.360808
0.0,16,2.451374
0.0,3,2.457476
0.0,7,2.529823
0.0,7,2.543991
0.0,4,2.5518
0.0,13,2.63551
0.0,7,2.707968
0.0,12,2.732817
0.0,6,2.803583
0.0,5,2.813211
0.0,17,2.904941
0.0,9,2.922861
0.0,3,2.987402
0.0,21,3.086639
0.0,6,3.099117
0.0,3,3.104837
0.0,14,3.192138
0.0,6,3.264196
0.0,12,3.288138
0.0,16,3.378312
0.0,10,3.457834
0.0,3,3.463753
0.0,5,3.473484
1.0,31,3.651119
0.0,5,3.66116
0.0,17,3.753451
0.0,11,3.833259
0.0,19,3.929896
0.0,17,4.022402
0.0,7,4.094149
0.0,3,4.10021
0.0,12,4.123499
0.0,2,4.186384
0.0,13,4.211827
0.0,10,4.291428
0.0,16,4.391506
0.0,16,4.49132
0.0,8,4.506828
0.0,2,4.510631
0.0,4,4.57733
1.0,26,4.688058
0.0,9,4.764551
0.0,4,4.772858
0.0,9,4.790636
0.0,2,4.853644
0.0,5,4.863886
0.0,5,4.873983
1.0,8,4.948077
0.0,8,4.964077
0.0,19,5.06141
1.0,8,5.135986
0.0,9,5.155339
0.0,8,5.231055
0.0,3,5.237323
0.0,3,5.243866
0.0,5,5.254553
